Sample	(<i>Z</i>)-butanethiol-<i>S</i>-oxide biosynthesis	(R)- and (S)-3-hydroxybutyrate biosynthesis	1,5-anhydrofructose degradation	2-aminoethylphosphonate degradation I	2-aminoethylphosphonate degradation II	3-methylbutanol biosynthesis	<i>Methanobacterium thermoautotrophicum</i> biosynthetic metabolism	<i>all-trans</i>-farnesol biosynthesis	<i>trans, trans</i>-farnesyl diphosphate biosynthesis	AEROBIC-RESPIRATION	AMINE-DEG	ANAEROBIC-RESPIRATION	AROMATIC-COMPOUNDS-BIOSYN	AROMATIC-COMPOUNDS-DEGRADATION	Acetoin-Biosynthesis	Acetyl-CoA-Biosynthesis	Acetyl-CoA-Butyrate	Acid-Resistance	Activation	Alcohol-Degradation	Aldehyde-Degradation	Amino-Acid-Biosynthesis	Amino-Acid-Degradation	Aminoacyl-tRNAs-Charging	Antibiotic-Resistance	Arsenate-Detoxification	Butanediol-Biosynthesis	C1-COMPOUNDS	C4 photosynthetic carbon assimilation cycle, NAD-ME type	C4 photosynthetic carbon assimilation cycle, NADP-ME type	C4 photosynthetic carbon assimilation cycle, PEPCK type	CARBOXYLATES-DEG	CHEMOAUTOTROPHIC-ENERGY-METABOLISM	CHLORINATED-COMPOUNDS-DEG	Carbohydrates-Biosynthesis	Carbohydrates-Degradation	Cell-Structure-Biosynthesis	Cofactor-Biosynthesis	Cyanide-Detoxification	Electron-Transfer	Entner-Duodoroff-Pathways	Fatty-Acid-and-Lipid-Degradation	GLYCOLYSIS-VARIANTS	HORMONE-DEG	HORMONE-SYN	Hydrogen-Production	Interconversion	Lipid-Biosynthesis	METHANOGENESIS	Mercury-Detoxification	Metabolic-Regulators	NADH repair	NUCLEO-DEG	Noncarbon-Nutrients	Nucleotide-Biosynthesis	OTHER-ENERGY	Other-Degradation	Other-biosynthesis	Pentose-Phosphate-Cycle	Polyamine-Biosynthesis	Polymer-Degradation	Protein-Degradation	Protein-Modification	Pyruvate-Degradation	Rubisco shunt	SECONDARY-METABOLITE-BIOSYNTHESIS	SECONDARY-METABOLITE-DEGRADATION	Siderophores-Biosynthesis	Steroids-Degradation	TCA-VARIANTS	anaerobic energy metabolism (invertebrates, cytosol)	anaerobic energy metabolism (invertebrates, mitochondrial)	ascorbate glutathione cycle	benzoate fermentation (to acetate and cyclohexane carboxylate)	bisabolene biosynthesis	chitin degradation to ethanol	citrulline biosynthesis	crotonate fermentation (to acetate and cyclohexane carboxylate)	detoxification of reactive carbonyls in chloroplasts	ethylene biosynthesis IV	ethylene glycol biosynthesis	ethylmalonyl pathway	farnesylcysteine salvage pathway	fluoroacetate degradation	glutathione-mediated detoxification II	glyoxylate cycle	heterolactic fermentation	isopropanol biosynthesis	lactate biosynthesis (archaea)	long chain fatty acid ester synthesis for microdiesel production	methyl ketone biosynthesis	methylaspartate cycle	mixed acid fermentation	mycothiol-mediated detoxification	oxidized GTP and dGTP detoxification	photorespiration	photosynthesis light reactions	photosynthetic 3-hydroxybutyrate biosynthesis	pyruvate fermentation to hexanol	sedoheptulose bisphosphate bypass	succinate fermentation to butyrate	superoxide radicals degradation	superpathway of C28 brassinosteroid biosynthesis	superpathway of glycolysis and Entner-Doudoroff	superpathway of glyoxylate cycle and fatty acid degradation
ERR209069	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	9.0	3.0	5.0	17.0	3.0	1.0	1.0	2.0	2.0	10.0	5.0	63.0	48.0	1.0	2.0	1.0	2.0	12.0	1.0	1.0	1.0	11.0	2.0	4.0	75.0	42.0	23.0	102.0	0.0	0.0	0.0	7.0	8.0	1.0	7.0	1.0	1.0	45.0	1.0	0.0	1.0	0.0	15.0	35.0	39.0	1.0	5.0	9.0	4.0	15.0	22.0	0.0	1.0	15.0	1.0	158.0	34.0	3.0	1.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0
ERR209070	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	3.0	10.0	3.0	6.0	19.0	3.0	0.0	1.0	2.0	2.0	11.0	5.0	67.0	53.0	1.0	2.0	1.0	2.0	13.0	1.0	1.0	1.0	13.0	2.0	3.0	75.0	43.0	22.0	103.0	0.0	0.0	0.0	11.0	8.0	2.0	7.0	2.0	1.0	44.0	1.0	0.0	1.0	1.0	18.0	31.0	39.0	1.0	6.0	10.0	4.0	18.0	22.0	0.0	1.0	15.0	1.0	160.0	35.0	0.0	1.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
ERR209071	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	10.0	5.0	6.0	21.0	3.0	0.0	1.0	2.0	2.0	10.0	5.0	69.0	54.0	1.0	3.0	1.0	2.0	13.0	1.0	1.0	1.0	11.0	2.0	4.0	79.0	46.0	22.0	102.0	1.0	0.0	0.0	7.0	8.0	1.0	9.0	2.0	1.0	44.0	1.0	0.0	1.0	1.0	18.0	32.0	39.0	1.0	6.0	9.0	4.0	15.0	25.0	2.0	1.0	15.0	1.0	157.0	36.0	3.0	1.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
ERR209072	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	12.0	3.0	6.0	16.0	3.0	0.0	1.0	2.0	2.0	11.0	5.0	66.0	51.0	1.0	2.0	0.0	2.0	13.0	1.0	1.0	1.0	12.0	3.0	3.0	74.0	43.0	21.0	101.0	1.0	0.0	0.0	11.0	8.0	2.0	8.0	3.0	1.0	44.0	2.0	1.0	1.0	1.0	19.0	34.0	39.0	1.0	6.0	12.0	4.0	15.0	23.0	2.0	1.0	15.0	1.0	156.0	35.0	3.0	1.0	8.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
ERR209082	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	3.0	5.0	3.0	5.0	15.0	3.0	0.0	1.0	1.0	2.0	7.0	4.0	60.0	40.0	1.0	3.0	0.0	2.0	10.0	1.0	1.0	1.0	12.0	2.0	1.0	61.0	37.0	22.0	86.0	0.0	0.0	0.0	4.0	7.0	1.0	7.0	3.0	1.0	40.0	2.0	0.0	1.0	0.0	14.0	27.0	37.0	0.0	4.0	8.0	4.0	13.0	20.0	0.0	1.0	15.0	1.0	149.0	29.0	0.0	1.0	8.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
ERR209083	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	5.0	3.0	5.0	10.0	3.0	0.0	1.0	1.0	2.0	8.0	4.0	58.0	39.0	1.0	3.0	0.0	2.0	11.0	1.0	1.0	1.0	12.0	3.0	1.0	70.0	36.0	23.0	95.0	1.0	1.0	2.0	6.0	7.0	1.0	7.0	2.0	1.0	43.0	1.0	0.0	1.0	0.0	18.0	27.0	37.0	0.0	5.0	9.0	4.0	15.0	21.0	2.0	1.0	15.0	1.0	148.0	32.0	0.0	1.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
ERR209084	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	3.0	10.0	3.0	7.0	11.0	3.0	0.0	0.0	1.0	2.0	9.0	4.0	59.0	40.0	1.0	3.0	0.0	2.0	11.0	1.0	1.0	0.0	11.0	3.0	1.0	68.0	34.0	23.0	104.0	1.0	0.0	0.0	6.0	8.0	1.0	7.0	3.0	1.0	45.0	2.0	0.0	1.0	0.0	16.0	23.0	38.0	0.0	5.0	8.0	4.0	19.0	21.0	2.0	0.0	14.0	1.0	145.0	31.0	0.0	1.0	8.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
ERR209085	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	3.0	7.0	3.0	6.0	16.0	3.0	1.0	1.0	2.0	2.0	10.0	3.0	62.0	43.0	1.0	2.0	0.0	2.0	9.0	1.0	1.0	1.0	11.0	2.0	3.0	69.0	39.0	21.0	91.0	0.0	0.0	0.0	7.0	8.0	1.0	7.0	2.0	1.0	43.0	1.0	0.0	1.0	0.0	16.0	28.0	39.0	1.0	3.0	10.0	4.0	17.0	22.0	0.0	0.0	15.0	1.0	153.0	34.0	0.0	1.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
ERR209088	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	3.0	13.0	3.0	7.0	19.0	3.0	1.0	1.0	2.0	2.0	11.0	5.0	67.0	51.0	1.0	2.0	0.0	2.0	14.0	1.0	1.0	1.0	15.0	4.0	3.0	75.0	44.0	24.0	112.0	0.0	0.0	2.0	18.0	8.0	2.0	8.0	4.0	1.0	46.0	2.0	0.0	1.0	1.0	21.0	34.0	40.0	1.0	5.0	15.0	4.0	20.0	24.0	0.0	1.0	15.0	1.0	159.0	36.0	0.0	4.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0
ERR209096	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	20.0	7.0	7.0	20.0	3.0	1.0	1.0	2.0	2.0	11.0	5.0	68.0	55.0	1.0	1.0	2.0	2.0	14.0	1.0	1.0	1.0	15.0	3.0	3.0	73.0	42.0	19.0	106.0	0.0	1.0	1.0	10.0	8.0	3.0	11.0	3.0	1.0	51.0	2.0	0.0	1.0	0.0	19.0	38.0	37.0	0.0	8.0	12.0	4.0	20.0	21.0	0.0	1.0	15.0	1.0	170.0	35.0	6.0	3.0	8.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
