"","ERR209376","ERR209378","ERR209953","ERR209336","ERR209085","ERR209164","ERR209088","ERR209298","ERR209375","ERR209310","ERR209096","ERR210202","ERR209487","ERR209118","ERR209160","ERR209266","ERR209379","ERR209415","ERR209371","ERR210263","ERR209448","ERR209354","ERR209380","ERR209296","ERR209300","ERR209373","ERR209299","ERR209286","ERR209287","ERR209223","ERR209312"
"1.1.1.1",4,1,0,2,4,3,10,3,2,4,5,0,4,5,2,2,3,5,8,0,6,2,0,8,3,0,3,6,4,3,0
"1.1.1.2",0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.3",5,2,0,0,10,5,19,3,2,16,9,0,0,14,4,1,2,9,21,0,10,6,1,14,3,0,2,8,2,10,2
"1.1.1.6",0,0,0,0,1,2,1,0,0,4,5,0,0,3,1,2,0,0,5,0,0,0,0,0,0,0,0,2,2,0,1
"1.1.1.8",1,1,1,0,3,3,3,0,1,9,2,0,1,3,1,0,0,2,2,0,3,0,1,4,1,0,0,1,0,1,0
"1.1.1.14",0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
"1.1.1.22",12,15,6,3,34,15,42,15,22,53,21,3,12,48,42,7,10,30,67,2,22,15,13,49,21,1,11,41,7,31,5
"1.1.1.23",7,2,3,5,10,5,18,2,6,18,11,1,7,29,9,1,2,10,17,1,6,5,0,16,7,1,4,6,1,11,1
"1.1.1.25",1,1,0,2,2,4,5,0,2,6,3,0,0,5,4,0,0,5,10,0,4,0,0,7,0,0,0,3,1,5,1
"1.1.1.27",2,4,0,4,4,9,13,2,3,17,10,0,4,12,9,0,6,2,15,0,7,4,4,12,5,0,2,5,1,9,5
"1.1.1.28",3,2,5,1,11,2,24,4,6,18,14,0,2,22,6,4,4,5,18,0,3,7,2,19,4,1,4,13,5,5,0
"1.1.1.31",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.37",3,1,3,1,0,1,8,1,3,6,2,1,1,3,3,4,2,3,7,1,0,3,1,2,2,2,1,3,2,1,1
"1.1.1.38",5,1,2,3,15,8,21,3,4,26,12,1,3,25,10,6,2,15,16,0,9,3,2,16,2,1,2,12,3,10,0
"1.1.1.41",0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.42",7,3,2,3,21,11,39,4,6,32,16,2,5,32,8,2,5,14,21,2,12,8,4,31,9,2,1,14,5,15,0
"1.1.1.44",2,0,3,0,1,3,9,2,2,10,7,0,3,20,3,4,0,9,15,0,3,11,0,11,1,0,1,11,4,1,0
"1.1.1.49",0,0,1,0,0,0,2,1,0,2,0,0,0,4,1,0,0,4,4,0,0,2,0,0,1,0,0,2,0,0,0
"1.1.1.67",0,0,0,0,0,2,1,0,0,0,3,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,1,3,0,0
"1.1.1.77",3,4,2,2,6,3,5,1,2,14,8,0,5,13,6,3,4,4,7,1,5,0,1,9,4,1,0,4,1,3,1
"1.1.1.85",3,0,3,4,5,6,11,0,5,14,14,1,1,18,13,4,1,11,15,0,8,4,1,16,4,0,1,11,3,10,1
"1.1.1.86",2,1,1,0,2,6,8,2,1,7,5,1,2,15,3,2,2,4,7,1,1,1,1,8,1,0,1,5,4,6,1
"1.1.1.87",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.95",4,2,1,1,11,4,16,0,6,10,5,1,1,16,7,3,2,5,8,0,3,3,1,6,3,0,1,8,6,5,0
"1.1.1.100",3,3,0,0,10,2,17,2,4,12,7,1,1,12,4,0,3,9,13,0,3,4,4,14,4,0,2,9,4,7,4
"1.1.1.103",1,1,1,0,6,1,12,0,2,8,2,0,1,9,3,6,0,6,6,1,1,2,2,3,3,0,0,6,2,3,0
"1.1.1.107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.117",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.1.1.125",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"1.1.1.132",0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0
"1.1.1.133",4,1,1,0,4,5,11,1,4,11,3,1,4,13,5,1,1,8,10,1,7,5,0,10,3,1,2,6,4,7,0
"1.1.1.157",1,1,1,0,1,4,5,4,1,3,3,1,2,2,2,1,2,0,10,0,4,0,2,2,3,1,2,4,1,4,0
"1.1.1.188",0,0,0,0,1,0,3,0,0,2,1,0,0,2,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,1
"1.1.1.193",0,0,0,0,0,1,3,1,0,1,0,0,0,1,1,0,0,0,2,1,1,2,0,1,1,0,0,1,0,1,0
"1.1.1.202",1,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,1,0,0,3,0,0,0,1,0,2,0
"1.1.1.205",16,10,5,3,32,21,58,10,15,58,34,0,7,65,14,6,14,23,51,3,15,9,12,47,27,3,9,32,14,29,4
"1.1.1.251",0,0,0,0,0,1,0,0,0,0,4,0,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0
"1.1.1.262",3,1,1,0,3,2,5,0,2,6,2,0,1,5,2,3,3,4,5,0,2,4,1,4,1,1,2,3,0,0,0
