"","ERR209782","SRR5983300","SRR5936030","SRR5946907","SRR5946749","SRR5946674","SRR5946714","SRR5946754","SRR5946733","SRR5983268","SRR5946862","SRR5946927","SRR5946968","SRR5947102","SRR5946702","SRR5983270","SRR5946630","SRR5936219","SRR5946963","SRR5983437","SRR5983299","SRR5983400","SRR5935865","SRR5935996","SRR5946962","SRR5946881","SRR5936167","SRR5983391","ERR210422","SRR5935777","SRR5936111","SRR5947080","SRR5935789","SRR5983326","SRR5935898","SRR5983406","SRR5946894","SRR5946716","SRR5983393","SRR5935923","SRR5946685","SRR5947834","SRR5946943","SRR5935904","SRR5935875","SRR5935931","SRR5946627","SRR5983327","SRR5947869","SRR5983446","SRR5936190","SRR5946657","SRR5983284","SRR5935767","SRR5983355","SRR5983291","SRR5936199","ERR209799","SRR5935792","SRR5946892","SRR5983403","SRR5946675","SRR5946799","SRR5947056","SRR5947846","SRR5946873","ERR209764","SRR5947025","SRR5983275","SRR5946961","SRR5983294","SRR5936092","SRR5983297","SRR5947843","SRR5983282","SRR5983264"
"1.1.1.1",11,4,4,3,2,1,10,4,5,19,3,4,5,3,0,5,8,1,2,13,10,5,6,7,4,5,8,5,0,5,0,1,1,11,6,4,2,3,4,7,2,3,3,3,3,15,2,16,7,4,0,3,6,1,5,4,8,6,6,6,9,7,0,0,13,6,13,9,2,13,4,7,4,5,8,1
"1.1.1.2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1.1.1.3",9,14,8,7,2,3,11,5,9,36,10,7,12,7,4,6,14,4,2,17,11,9,8,11,8,13,12,10,0,8,7,3,3,11,10,3,2,8,6,10,6,9,12,5,9,5,6,7,18,7,1,8,5,2,7,4,14,15,14,13,20,7,1,0,13,8,33,18,2,14,5,16,9,5,14,1
"1.1.1.6",3,1,5,4,0,0,6,1,6,10,5,5,4,3,0,2,5,1,1,5,1,4,3,11,0,6,6,1,0,3,2,1,0,4,1,0,0,1,5,5,3,3,5,3,2,4,3,11,4,5,0,3,1,0,1,0,7,2,7,7,4,2,0,0,4,0,11,8,1,5,5,5,1,2,0,0
"1.1.1.8",6,3,3,1,0,3,2,1,7,16,5,5,3,3,3,2,8,1,1,9,4,3,1,3,1,4,6,3,0,3,2,2,0,1,3,1,2,3,2,4,3,3,2,0,6,1,1,3,6,5,0,3,1,1,1,2,11,4,4,3,9,0,0,0,5,2,9,2,3,1,3,8,4,0,3,0
"1.1.1.14",0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,3,1,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,2,1,1,0,1,1,4,0,0,1,0,1,0,1,4,0,1,2,1,0,0,3,0,2,0,0,1,0,1,1,2,1,0
"1.1.1.22",39,23,17,8,14,18,20,23,14,41,14,11,8,11,6,33,33,2,2,42,50,39,39,13,41,23,20,28,0,7,19,6,9,38,5,8,24,13,18,9,19,39,23,15,32,20,16,46,51,19,9,18,37,22,15,15,27,25,26,22,44,31,6,1,23,21,47,33,11,16,2,22,27,12,50,16
"1.1.1.23",18,12,5,4,2,7,8,5,5,12,6,6,10,9,7,11,14,0,2,21,11,16,8,12,5,8,9,9,1,3,7,5,1,17,3,2,5,9,6,6,6,6,4,10,11,9,0,16,14,8,1,6,13,4,5,6,18,9,10,11,26,18,3,0,10,5,15,14,4,9,5,14,16,2,17,6
"1.1.1.25",6,3,1,3,0,0,2,0,5,10,4,6,7,1,1,1,4,1,0,7,6,3,3,3,1,1,7,4,0,2,5,1,0,3,1,2,2,2,1,3,2,1,3,1,3,3,0,9,3,0,1,1,2,1,3,1,10,2,1,8,7,8,0,0,3,3,6,5,1,4,3,3,3,0,0,0
"1.1.1.27",18,9,6,2,5,1,9,3,12,18,15,8,14,6,1,2,17,1,0,17,8,7,1,8,3,9,8,9,0,9,3,2,3,6,12,5,3,5,5,10,7,1,5,7,6,8,3,12,12,10,0,5,7,4,7,3,18,6,14,10,11,9,0,0,7,4,23,15,0,15,8,9,3,5,12,2
