EC_number 	 Annotation 	 GOterm
EC:1.-.-.- 	" oxidoreductase activity "	GO:16491
EC:1.1.-.- 	" oxidoreductase activity, acting on CH-OH group of donors "	GO:16614
EC:1.1.1.- 	" oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor "	GO:16616
EC:1.1.1.1 	" alcohol dehydrogenase (NAD+) activity "	GO:4022
EC:1.1.1.10 	" L-xylulose reductase (NADPH) activity "	GO:50038
EC:1.1.1.100 	" 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity "	GO:4316
EC:1.1.1.102 	" 3-dehydrosphinganine reductase activity "	GO:47560
EC:1.1.1.103 	" L-threonine 3-dehydrogenase activity "	GO:8743
EC:1.1.1.104 	" 4-oxoproline reductase activity "	GO:16617
EC:1.1.1.105 	" all-trans-retinol dehydrogenase (NAD+) activity "	GO:4745
EC:1.1.1.106 	" pantoate 4-dehydrogenase activity "	GO:50166
EC:1.1.1.107 	" pyridoxal 4-dehydrogenase activity "	GO:50235
EC:1.1.1.108 	" carnitine 3-dehydrogenase activity "	GO:47728
EC:1.1.1.11 	" D-arabinitol 4-dehydrogenase activity "	GO:47813
EC:1.1.1.111 	" 3-(imidazol-5-yl)lactate dehydrogenase activity "	GO:19155
EC:1.1.1.112 	" indanol dehydrogenase activity "	GO:47718
EC:1.1.1.113 	" L-xylose 1-dehydrogenase activity "	GO:50037
EC:1.1.1.114 	" apiose 1-reductase activity "	GO:47674
EC:1.1.1.115 	" ribose 1-dehydrogenase (NADP+) activity "	GO:50259
EC:1.1.1.116 	" D-arabinose 1-dehydrogenase (NAD+) activity "	GO:47816
EC:1.1.1.118 	" glucose 1-dehydrogenase (NAD+) activity "	GO:47934
EC:1.1.1.119 	" glucose 1-dehydrogenase (NADP+) activity "	GO:47935
EC:1.1.1.12 	" L-arabinitol 4-dehydrogenase activity "	GO:50019
EC:1.1.1.120 	" galactose 1-dehydrogenase (NADP+) activity "	GO:47910
EC:1.1.1.121 	" aldose 1-dehydrogenase activity "	GO:47640
EC:1.1.1.122 	" D-threo-aldose 1-dehydrogenase activity "	GO:47834
EC:1.1.1.123 	" sorbose 5-dehydrogenase (NADP+) activity "	GO:50287
EC:1.1.1.124 	" fructose 5-dehydrogenase (NADP+) activity "	GO:47903
EC:1.1.1.125 	" 2-deoxy-D-gluconate 3-dehydrogenase activity "	GO:8678
EC:1.1.1.126 	" 2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase activity "	GO:47000
EC:1.1.1.127 	" 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity "	GO:47001
EC:1.1.1.129 	" L-threonate 3-dehydrogenase activity "	GO:50036
EC:1.1.1.13 	" L-arabinitol 2-dehydrogenase activity "	GO:47002
EC:1.1.1.130 	" 3-dehydro-L-gulonate 2-dehydrogenase activity "	GO:47559
EC:1.1.1.131 	" mannuronate reductase activity "	GO:50090
EC:1.1.1.132 	" GDP-mannose 6-dehydrogenase activity "	GO:47919
EC:1.1.1.133 	" dTDP-4-dehydrorhamnose reductase activity "	GO:8831
EC:1.1.1.134 	" dTDP-6-deoxy-L-talose 4-dehydrogenase activity "	GO:47003
EC:1.1.1.135 	" GDP-6-deoxy-D-talose 4-dehydrogenase activity "	GO:47916
EC:1.1.1.136 	" UDP-N-acetylglucosamine 6-dehydrogenase activity "	GO:47004
EC:1.1.1.137 	" ribitol-5-phosphate 2-dehydrogenase activity "	GO:50256
EC:1.1.1.138 	" mannitol 2-dehydrogenase (NADP+) activity "	GO:50085
EC:1.1.1.14 	" L-iditol 2-dehydrogenase activity "	GO:3939
EC:1.1.1.140 	" sorbitol-6-phosphate 2-dehydrogenase activity "	GO:9010
EC:1.1.1.141 	" 15-hydroxyprostaglandin dehydrogenase (NAD+) activity "	GO:16404
EC:1.1.1.142 	" D-pinitol dehydrogenase activity "	GO:47832
EC:1.1.1.143 	" sequoyitol dehydrogenase activity "	GO:50280
EC:1.1.1.144 	" perillyl-alcohol dehydrogenase (NAD+) activity "	GO:18457
EC:1.1.1.145 	" 3-beta-hydroxy-delta5-steroid dehydrogenase activity "	GO:3854
EC:1.1.1.147 	" 16-alpha-hydroxysteroid dehydrogenase activity "	GO:47005
EC:1.1.1.148 	" estradiol 17-alpha-dehydrogenase activity "	GO:47881
EC:1.1.1.149 	" 17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity "	GO:47006
EC:1.1.1.15 	" D-iditol 2-dehydrogenase activity "	GO:47824
EC:1.1.1.150 	" pregnan-21-ol dehydrogenase (NAD+) activity "	GO:47007
EC:1.1.1.151 	" pregnan-21-ol dehydrogenase (NADP+) activity "	GO:47008
EC:1.1.1.152 	" 3-alpha-hydroxy-5-beta-androstane-17-one 3-alpha-dehydrogenase activity "	GO:47009
EC:1.1.1.153 	" sepiapterin reductase activity "	GO:4757
EC:1.1.1.154 	" ureidoglycolate dehydrogenase activity "	GO:9040
EC:1.1.1.156 	" glycerol 2-dehydrogenase (NADP+) activity "	GO:47953
EC:1.1.1.157 	" 3-hydroxybutyryl-CoA dehydrogenase activity "	GO:8691
EC:1.1.1.159 	" cholate 7-alpha-dehydrogenase activity "	GO:8709
EC:1.1.1.16 	" galactitol 2-dehydrogenase activity "	GO:47713
EC:1.1.1.160 	" dihydrobunolol dehydrogenase activity "	GO:47855
EC:1.1.1.162 	" erythrulose reductase activity "	GO:47880
EC:1.1.1.163 	" cyclopentanol dehydrogenase activity "	GO:55041
EC:1.1.1.164 	" hexadecanol (NAD+) dehydrogenase activity "	GO:47978
EC:1.1.1.165 	" 2-alkyn-1-ol dehydrogenase activity "	GO:47535
EC:1.1.1.166 	" hydroxycyclohexanecarboxylate dehydrogenase activity "	GO:47010
EC:1.1.1.167 	" hydroxymalonate dehydrogenase activity "	GO:47993
EC:1.1.1.168 	" 2-dehydropantolactone reductase (A-specific) activity "	GO:47011
EC:1.1.1.169 	" 2-dehydropantoate 2-reductase activity "	GO:8677
EC:1.1.1.17 	" mannitol-1-phosphate 5-dehydrogenase activity "	GO:8926
EC:1.1.1.172 	" 2-oxoadipate reductase activity "	GO:47550
EC:1.1.1.173 	" L-rhamnose 1-dehydrogenase activity "	GO:50034
EC:1.1.1.174 	" cyclohexane-1,2-diol dehydrogenase activity "	GO:47795
EC:1.1.1.175 	" D-xylose 1-dehydrogenase (NAD+) activity "	GO:47838
EC:1.1.1.176 	" cholate 12-alpha dehydrogenase activity "	GO:47013
EC:1.1.1.177 	" glycerol-3-phosphate 1-dehydrogenase [NADP+] activity "	GO:47014
EC:1.1.1.178 	" 3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity "	GO:47015
EC:1.1.1.179 	" D-xylose 1-dehydrogenase (NADP+) activity "	GO:47837
EC:1.1.1.18 	" inositol 2-dehydrogenase (NAD+) activity "	GO:50112
EC:1.1.1.181 	" cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity "	GO:47016
EC:1.1.1.183 	" geraniol dehydrogenase activity "	GO:47924
EC:1.1.1.184 	" carbonyl reductase (NADPH) activity "	GO:4090
EC:1.1.1.185 	" L-glycol dehydrogenase activity "	GO:50026
EC:1.1.1.186 	" dTDP-galactose 6-dehydrogenase activity "	GO:33701
EC:1.1.1.187 	" GDP-4-dehydro-D-rhamnose reductase activity "	GO:42356
EC:1.1.1.189 	" prostaglandin-E2 9-reductase activity "	GO:50221
EC:1.1.1.19 	" L-glucuronate reductase activity "	GO:47939
EC:1.1.1.190 	" indole-3-acetaldehyde reductase (NADH) activity "	GO:47018
EC:1.1.1.191 	" indole-3-acetaldehyde reductase (NADPH) activity "	GO:47019
EC:1.1.1.192 	" long-chain-alcohol dehydrogenase activity "	GO:50060
EC:1.1.1.193 	" 5-amino-6-(5-phosphoribosylamino)uracil reductase activity "	GO:8703
EC:1.1.1.194 	" coniferyl-alcohol dehydrogenase activity "	GO:50268
EC:1.1.1.196 	" 15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity "	GO:47020
EC:1.1.1.197 	" 15-hydroxyprostaglandin dehydrogenase (NADP+) activity "	GO:47021
EC:1.1.1.198 	" (+)-borneol dehydrogenase activity "	GO:47500
EC:1.1.1.199 	" (S)-usnate reductase activity "	GO:46998
EC:1.1.1.2 	" alcohol dehydrogenase (NADP+) activity "	GO:8106
EC:1.1.1.20 	" glucuronolactone reductase activity "	GO:47941
EC:1.1.1.200 	" aldose-6-phosphate reductase (NADPH) activity "	GO:47641
EC:1.1.1.201 	" 7-beta-hydroxysteroid dehydrogenase (NADP+) activity "	GO:47022
EC:1.1.1.202 	" 1,3-propanediol dehydrogenase activity "	GO:47516
EC:1.1.1.203 	" uronate dehydrogenase activity "	GO:50388
EC:1.1.1.205 	" IMP dehydrogenase activity "	GO:3938
EC:1.1.1.206 	" tropine dehydrogenase activity "	GO:50356
EC:1.1.1.207 	" (-)-menthol dehydrogenase activity "	GO:47504
EC:1.1.1.208 	" (+)-neomenthol dehydrogenase activity "	GO:47501
EC:1.1.1.209 	" androsterone dehydrogenase activity "	GO:47023
EC:1.1.1.21 	" aldose reductase (NADPH) activity "	GO:4032
EC:1.1.1.210 	" 5alpha-androstane-3beta,17beta-diol dehydrogenase activity "	GO:47024
EC:1.1.1.211 	" long-chain-3-hydroxyacyl-CoA dehydrogenase activity "	GO:16509
EC:1.1.1.212 	" 3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity "	GO:47025
EC:1.1.1.213 	" androsterone dehydrogenase (A-specific) activity "	GO:47026
EC:1.1.1.214 	" 2-dehydropantolactone reductase (B-specific) activity "	GO:19141
EC:1.1.1.215 	" gluconate 2-dehydrogenase activity "	GO:8873
EC:1.1.1.216 	" farnesol dehydrogenase activity "	GO:47886
EC:1.1.1.217 	" benzyl-2-methyl-hydroxybutyrate dehydrogenase activity "	GO:47027
EC:1.1.1.218 	" morphine 6-dehydrogenase activity "	GO:50109
EC:1.1.1.219 	" dihydrokaempferol 4-reductase activity "	GO:45552
EC:1.1.1.22 	" UDP-glucose 6-dehydrogenase activity "	GO:3979
EC:1.1.1.220 	" 6-pyruvoyltetrahydropterin 2'-reductase activity "	GO:47028
EC:1.1.1.221 	" vomifoliol 4'-dehydrogenase activity "	GO:50396
EC:1.1.1.223 	" isopiperitenol dehydrogenase activity "	GO:18458
EC:1.1.1.224 	" mannose-6-phosphate 6-reductase activity "	GO: 0050088
EC:1.1.1.225 	" chlordecone reductase activity "	GO:47743
EC:1.1.1.226 	" 4-hydroxycyclohexanecarboxylate dehydrogenase activity "	GO:47030
EC:1.1.1.227 	" (-)-borneol dehydrogenase activity "	GO:47503
EC:1.1.1.228 	" (+)-sabinol dehydrogenase activity "	GO:47502
EC:1.1.1.229 	" diethyl 2-methyl-3-oxosuccinate reductase activity "	GO:47031
EC:1.1.1.23 	" histidinol dehydrogenase activity "	GO:4399
EC:1.1.1.230 	" 3-alpha-hydroxyglycyrrhetinate dehydrogenase activity "	GO:47032
EC:1.1.1.231 	" 15-hydroxyprostaglandin-I dehydrogenase (NADP+) activity "	GO:47033
EC:1.1.1.232 	" 15-hydroxyicosatetraenoate dehydrogenase activity "	GO:47034
EC:1.1.1.233 	" N-acylmannosamine 1-dehydrogenase activity "	GO:50123
EC:1.1.1.234 	" flavanone 4-reductase activity "	GO:47890
EC:1.1.1.235 	" 8-oxocoformycin reductase activity "	GO:47599
EC:1.1.1.236 	" tropinone reductase activity "	GO:50358
EC:1.1.1.238 	" 3alpha,7alpha,12beta-trihydroxy-5beta-cholanate dehydrogenase activity "	GO:47521
EC:1.1.1.239 	" testosterone dehydrogenase (NAD+) activity "	GO:47035
EC:1.1.1.24 	" quinate 3-dehydrogenase (NAD+) activity "	GO:30266
EC:1.1.1.240 	" N-acetylhexosamine 1-dehydrogenase activity "	GO:50120
EC:1.1.1.241 	" 6-endo-hydroxycineole dehydrogenase activity "	GO:45481
EC:1.1.1.243 	" carveol dehydrogenase activity "	GO:18459
EC:1.1.1.244 	" methanol dehydrogenase (NAD+) activity "	GO:50093
EC:1.1.1.245 	" cyclohexanol dehydrogenase activity "	GO:18460
EC:1.1.1.247 	" codeinone reductase (NADPH) activity "	GO:47036
EC:1.1.1.248 	" salutaridine reductase (NADPH) activity "	GO:47037
EC:1.1.1.25 	" shikimate 3-dehydrogenase (NADP+) activity "	GO:4764
EC:1.1.1.250 	" D-arabinitol 2-dehydrogenase activity "	GO:47038
EC:1.1.1.251 	" galactitol-1-phosphate 5-dehydrogenase activity "	GO:8868
EC:1.1.1.252 	" tetrahydroxynaphthalene reductase activity "	GO:47039
EC:1.1.1.254 	" (S)-carnitine 3-dehydrogenase activity "	GO:47041
EC:1.1.1.255 	" mannitol dehydrogenase activity "	GO:46029
EC:1.1.1.256 	" fluoren-9-ol dehydrogenase activity "	GO:18461
EC:1.1.1.257 	" 4-(hydroxymethyl)benzenesulfonate dehydrogenase activity "	GO:18462
EC:1.1.1.258 	" 6-hydroxyhexanoate dehydrogenase activity "	GO:18463
EC:1.1.1.259 	" 3-hydroxypimeloyl-CoA dehydrogenase activity "	GO:18464
EC:1.1.1.26 	" glyoxylate reductase (NADH) activity "	GO:47964
EC:1.1.1.260 	" sulcatone reductase activity "	GO:50491
EC:1.1.1.261 	" glycerol-1-phosphate dehydrogenase [NAD(P)+] activity "	GO:50492
EC:1.1.1.262 	" 4-hydroxythreonine-4-phosphate dehydrogenase activity "	GO:50570
EC:1.1.1.263 	" 1,5-anhydro-D-fructose reductase activity "	GO:50571
EC:1.1.1.264 	" L-idonate 5-dehydrogenase activity "	GO:50572
EC:1.1.1.265 	" 3-methylbutanal reductase [NAD(P)H] activity "	GO:46568
EC:1.1.1.266 	" dTDP-4-dehydro-6-deoxyglucose reductase activity "	GO:50573
EC:1.1.1.267 	" 1-deoxy-D-xylulose-5-phosphate reductoisomerase activity "	GO:30604
EC:1.1.1.268 	" 2-(R)-hydroxypropyl-CoM dehydrogenase activity "	GO:50574
EC:1.1.1.269 	" 2-(S)-hydroxypropyl-CoM dehydrogenase activity "	GO:50575
EC:1.1.1.27 	" L-lactate dehydrogenase activity "	GO:4459
EC:1.1.1.270 	" 3-keto sterol reductase activity "	GO:253
EC:1.1.1.271 	" GDP-L-fucose synthase activity "	GO:50577
EC:1.1.1.272 	" (R)-2-hydroxyacid dehydrogenase activity "	GO:50578
EC:1.1.1.273 	" vellosimine dehydrogenase activity "	GO:50579
EC:1.1.1.274 	" 2,5-didehydrogluconate reductase activity "	GO:50580
EC:1.1.1.275 	" (+)-trans-carveol dehydrogenase activity "	GO:33702
EC:1.1.1.276 	" serine 3-dehydrogenase activity "	GO:31132
EC:1.1.1.277 	" 3beta-hydroxy-5beta-steroid dehydrogenase activity "	GO:33703
EC:1.1.1.278 	" 3beta-hydroxy-5alpha-steroid dehydrogenase activity "	GO:33704
EC:1.1.1.279 	" (R)-3-hydroxyacid-ester dehydrogenase activity "	GO:47108
EC:1.1.1.28 	" D-lactate dehydrogenase activity "	GO:8720
EC:1.1.1.280 	" (S)-3-hydroxyacid-ester dehydrogenase activity "	GO:47109
EC:1.1.1.281 	" GDP-4-dehydro-6-deoxy-D-mannose reductase activity "	GO:33705
EC:1.1.1.283 	" methylglyoxal reductase (NADPH) activity "	GO:43892
EC:1.1.1.284 	" S-(hydroxymethyl)glutathione dehydrogenase (NAD(P)+) activity "	GO:51903
EC:1.1.1.285 	" 3''-deamino-3''-oxonicotianamine reductase activity "	GO:33707
EC:1.1.1.286 	" isocitrate-homoisocitrate dehydrogenase activity "	GO:33708
EC:1.1.1.288 	" xanthoxin dehydrogenase (NAD+) activity "	GO:10301
EC:1.1.1.289 	" sorbose reductase activity "	GO:32115
EC:1.1.1.29 	" glycerate dehydrogenase activity "	GO:8465
EC:1.1.1.290 	" 4-phosphoerythronate dehydrogenase activity "	GO:33711
EC:1.1.1.291 	" 2-hydroxymethylglutarate dehydrogenase activity "	GO:43718
EC:1.1.1.292 	" 1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) activity "	GO:33712
EC:1.1.1.294 	" chlorophyll(ide) b reductase activity "	GO:34256
EC:1.1.1.295 	" momilactone-A synthase activity "	GO:102960
EC:1.1.1.298 	" 3-hydroxypropionate dehydrogenase (NADP+) activity "	GO:35527
EC:1.1.1.3 	" homoserine dehydrogenase activity "	GO:4412
EC:1.1.1.30 	" 3-hydroxybutyrate dehydrogenase activity "	GO:3858
EC:1.1.1.300 	" all-trans-retinol dehydrogenase (NADP+) activity "	GO:52650
EC:1.1.1.305 	" UDP-glucuronic acid dehydrogenase activity "	GO:99618
EC:1.1.1.306 	" mycothiol-dependent formaldehyde dehydrogenase activity "	GO:50607
EC:1.1.1.31 	" 3-hydroxyisobutyrate dehydrogenase activity "	GO:8442
EC:1.1.1.310 	" S-sulfolactate dehydrogenase activity "	GO:102155
EC:1.1.1.311 	" 1-phenylethanol dehydrogenase activity "	GO:18449
EC:1.1.1.312 	" 4-carboxy-2-hydroxymuconate semialdehyde hemiacetal dehydrogenase activity "	GO:50606
EC:1.1.1.315 	" 11-cis-retinol dehydrogenase "	GO:106429
EC:1.1.1.316 	" L-galactose dehydrogenase activity "	GO:10349
EC:1.1.1.320 	" benzil reductase [(S)-benzoin-forming] activity "	GO:102306
EC:1.1.1.324 	" 8-hydroxygeraniol dehydrogenase activity "	GO:102311
EC:1.1.1.326 	" zerumbone synthase activity "	GO:102069
EC:1.1.1.327 	" 5-exo-hydroxycamphor dehydrogenase activity "	GO:18452
EC:1.1.1.330 	" very-long-chain 3-oxoacyl-CoA reductase activity "	GO:141040
EC:1.1.1.336 	" UDP-N-acetyl-D-mannosamine dehydrogenase activity "	GO:89714
EC:1.1.1.337 	" L-2-hydroxycarboxylate dehydrogenase (NAD+) activity "	GO:102443
EC:1.1.1.34 	" hydroxymethylglutaryl-CoA reductase (NADPH) activity "	GO:4420
