sample	Group	Biosynthesis	Degradation_Utilization_Assimilation	Detoxification	Generation_of_Precursor_Metabolites_and_Energy	Glycan_Pathways	Macromolecule_Modification	Superpathways	Transport
train_10	H	0.00354552144	0.000595232	0	0.00043864058	1.416425e-05	9.48964e-05	1.259954e-05	0
train_100	NP	0.045594481295	0.008862313792	0	0.008194544609	0.00029334917	0.00142390253	0.0005758273	0.000132711
train_1000	H	0.03835796195	0.0069371667547	0	0.00392616037	0.0001438966	0.00113641	0.00032882495	1.98338e-05
train_1001	H	0.041203059685	0.006766107737	0	0.005088872675	0.00016193093	0.001464175	0.00025413583	2.8787e-05
train_1002	H	0.040798192547	0.006418967864	0	0.00510694159	9.657009e-05	0.001358694	0.0003908283	6.72078e-05
train_1003	H	0.053716482135	0.011226099101	0	0.008151020579	0.00021002279	0.001282931	0.0004724132	3.72132e-05
train_1004	H	0.036152503261	0.00576847698	0	0.00392739841	4.6401368e-05	0.0011841468	0.0002640543	3.28732e-05
train_1005	H	0.03903856832	0.009783404681	0	0.004964971465	0.00038112734	0.0009735219	0.0003935969	4.20762e-06
train_1006	H	0.041224652451	0.006863893249	0	0.004997796506	0.00023485743	0.0011679085	0.0003811428	3.22332e-05
train_1007	H	0.045517677664	0.008990203773	0	0.005583656839	0.000318680976	0.0011446382	0.0003846863	3.28364e-05
train_1008	H	0.044477413862	0.0078120894689	0	0.005114848449	0.00023179026	0.0011030823	0.00019043549	1.1227e-05
train_1009	H	0.040983538822	0.00797745505	0	0.00386762173	0.0001861775	0.00115476803	0.00023851518	9.36562e-06
train_101	NP	0.042246001176	0.01269616316	0	0.008997963765	0.000290743	0.000829011	0.001111849	7.05668e-05
train_1010	H	0.038919150427	0.008877591202	0	0.00673605439	0.0002881011	0.0008977447	0.0007554083	2.56406e-05
train_1011	H	0.04340499458	0.008938720417	0	0.00650955153	0.00037781724	0.0010886562	0.0004464127	2.77246e-05
train_1012	H	0.044668647808	0.012536612838	0	0.00900242957	0.0004061649	0.000947411	0.001265192	1.68993e-05
train_1013	H	0.040634896569	0.006470287258	0	0.004268216461	0.0002125343	0.0011195577	0.00017978665	1.45546e-05
train_1014	H	0.043189224176	0.007804923821	0	0.005511199692	0.00030261588	0.0010802891	0.0003606468	3.21128e-05
train_1015	H	0.036630570583	0.006369367858	0	0.00467204262	0.000143663276	0.0011936173	0.0002571193	2.99865e-05
train_1016	H	0.03720883509	0.00653576339	0	0.00443753302	0.0001343349	0.000963824	0.0001560258	2.45255e-05
train_1017	H	0.03972852378	0.00681146905	0	0.00442454872	0.0001453494	0.00123865389	0.00016740472	5.46263e-06
train_1018	H	0.04052965721	0.00556646425	0	0.00338878045	3.79619e-05	0.0013548521	0.0001258864	3.10738e-05
train_1019	H	0.043430681904	0.00709555599	0	0.004736309959	0.000193588012	0.0011866764	0.00026404398	2.58159e-05
train_102	NP	0.048256349031	0.009896522737	0	0.007630160517	0.0002151883	0.0013473819	0.0003491344	0.000112408
train_1020	H	0.038055028155	0.005259457317	0	0.003772475868	8.82608e-05	0.0014052946	0.00017446718	2.7719e-05
train_1021	H	0.040455365346	0.008033160036	0	0.00538113186	0.00027549594	0.0010218353	0.0003472022	2.56997e-05
train_1022	H	0.034154723181	0.005830579952	0	0.00332690086	0.000237463	0.00096180863	0.00013334247	1.12921e-05
train_1023	H	0.04166835159	0.0053878997	0	0.00355481934	5.39654e-05	0.0016479034	9.410499e-05	2.72285e-05
train_1024	H	0.04029989111	0.009614341807	0	0.00754598068	0.00023613538	0.00104981	0.0008432385	0.000123997
train_1025	H	0.04447583044	0.00772974835	0	0.00420567175	0.000256276	0.0011741059	0.0002657674	1.53917e-05
train_1026	H	0.036052852693	0.008648405094	0	0.00755688524	0.0002507565	0.001033466	0.0006995327	6.06416e-05
train_1027	H	0.04357633093	0.013401496281	0	0.01048682025	0.0003652817	0.00094064867	0.001405397	1.88246e-05
train_1028	H	0.034925664384	0.007273243862	0	0.00628375976	0.0002334244	0.0011004992	0.0005775695	4.00956e-05
train_1029	H	0.04155408327	0.0076881139007	0	0.00601925057	0.000154572087	0.0010520398	0.00037997341	5.73567e-05
train_103	NP	0.043934425737	0.009153275514	0	0.007949701347	0.00023000955	0.001229282	0.0008057227	0.000137632
train_1030	H	0.04230268313	0.007248720922	0	0.00474364806	0.00013681039	0.0013134836	0.00012538941	2.62487e-05
train_1031	H	0.04042335998	0.0089018191	0	0.0073086277	0.0001964537	0.001199841	0.0007884586	5.75003e-05
train_1032	H	0.04115435363	0.006609631545	0	0.003951749	0.000239947	0.00127270891	0.00018772566	1.39037e-05
train_1033	H	0.042338216164	0.011787403806	0	0.00972892203	0.0003947309	0.000900744	0.001157358	3.1565e-05
train_1034	H	0.042016915022	0.007850516224	0	0.00455258954	0.00028981597	0.0012890375	0.00023478008	9.92614e-06
train_1035	H	0.03560469315	0.005601596679	0	0.00451252843	6.244139e-05	0.00121685467	0.0003103292	4.87973e-05
train_1036	H	0.04218609137	0.00768813574	0	0.0043676237	0.00028486652	0.0012453966	0.00021595847	1.76999e-05
train_1037	H	0.030629413696	0.005634684354	0	0.004363256566	0.00011763552	0.0009907255	0.0003042566	4.15737e-05
train_1038	H	0.03696112629	0.0071465406	0	0.005068845266	0.0001723156	0.0011013799	0.0002929417	5.33291e-05
train_1039	H	0.03097114589	0.00536971416	0	0.00457379845	0.0001251731	0.0012727153	0.0002651215	4.77809e-05
train_104	NP	0.046225146247	0.0081990017868	0	0.007350043306	0.0002990687	0.001578368	0.000441029448	0.000182836
train_1040	H	0.03701972509	0.00675498873	0	0.00493754893	0.00011569492	0.00130938912	0.00026691138	5.87258e-05
train_1041	MD	0.03426463943	0.00640567343	0	0.00517414807	0.00013337542	0.001158924	0.00027828127	8.78883e-05
train_1042	H	0.02331515815	0.00411517455	0	0.00351993963	0.0001089976	0.0008419852	0.00012510503	2.70376e-05
train_1043	H	0.034197646078	0.006431336245	0	0.005347083498	0.00014952131	0.00103192782	0.00039361977	5.7171e-05
train_1044	MD	0.036244531349	0.006241861071	0	0.00587308132	0.0001038167	0.0011597425	0.000248905523	6.19971e-05
train_1045	H	0.03819750053	0.009932349524	0	0.00744454046	0.0002453668	0.000994085	0.000780959	8.99917e-05
train_1046	H	0.04216758639	0.008649761579	0	0.005715689346	0.000231523771	0.001332491	0.00039432128	7.15315e-05
train_1047	H	0.042439558009	0.0089120215905	0	0.005860746362	0.0002131045	0.001311520968	0.00042948395	5.92345e-05
train_1048	MD	0.03794827116	0.006867229658	0	0.005241524841	0.00016356953	0.0010457145	0.00022708129	3.05061e-05
train_1049	MD	0.03863582915	0.006954088459	0	0.00615661533	0.0002273358	0.00112108148	0.00041644613	8.87039e-05
train_105	NP	0.044026025781	0.007585586853	0	0.006413869311	0.00012001246	0.0015583881	0.00027383895	9.17615e-05
train_1050	H	0.03981315633	0.00719406899	0	0.00529931644	0.0001939839	0.00129443289	0.00038863792	6.6442e-05
train_1051	H	0.0304991404	0.005641714829	0	0.00444862382	0.0001346573	0.0011650125	0.00027051813	4.35232e-05
train_1052	H	0.043252131468	0.014269972561	0	0.010345165119	0.0003242565	0.000978156	0.001419278	7.41781e-05
train_1053	H	0.03771371621	0.00658673718	0	0.00553662016	0.0001158023	0.0011794265	0.00024215754	4.0355e-05
train_1054	H	0.040120798404	0.007602607011	0	0.005501785292	0.000211673446	0.00128673714	0.00037903591	8.53537e-05
train_1055	MD	0.03932701039	0.009354071612	0	0.00747612197	0.00021050428	0.0011091874	0.0007727217	8.80815e-05
train_1056	MD	0.03569303117	0.008210344802	0	0.00581391715	0.000345468077	0.0008372781	0.0005133279	5.01666e-05
train_1057	H	0.03348474561	0.00812615981	0	0.006397511914	0.0001679905	0.0009775867	0.0006661661	5.70869e-05
train_1058	H	0.0343492272	0.006582057	0	0.00508033745	0.0001139443	0.0011343383	0.00027670714	3.5882e-05
