,Biosynthesis_of_Cofactors_and_Vitamins,Carbohydrate_metabolism,Cellular_Structure_and_Modification_of_Macromolecules,Central_metabolism_and_energy,Lipid_metabolism,Metabolism_of_Alcohols_and_Aldehydes,Metabolism_of_Aromatic_Compounds_and_Xenobiotics,Metabolism_of_Carboxylic_Acids,Metabolism_of_amino_acids_and_derivatives,None,Nucleotide_and_Nucleic_Acid_Metabolism,Signaling_and_Regulation_Metabolism,Specialized_and_Miscellaneous_Routes,group
train_2,0.0019095849,0.00096183576,0.0008426365,0.000935749522,0.00072714044,1.792718e-05,0.0002642835,0.00045732071,0.0025864006,0.0004096323,0.0029754992599999998,2.29248e-06,0.00097791582,H
train_3,0.00201614041,0.00088888055,0.0007799551,0.0010711429,0.0012823157369999999,4.58708e-05,0.00016838132,0.000363796493,0.0025969743,0.00037093559,0.002941173,1.156363e-05,0.001106191161,H
train_6,0.00208985994,0.00104818573,0.00086986661,0.00128881374,0.00085545315,5.9593e-06,0.00029910929,0.0004336856,0.00304407801,0.00041421217,0.00301506933,1.01046e-05,0.00116304596,H
train_7,0.0019025993570000001,0.00092527359,0.00078914068,0.001081377429,0.001122828343,4.2082897e-05,5.442737e-05,0.000402692717,0.002291540206,0.00036013951,0.002761457399,8.08092e-06,0.001056096617,H
train_10,0.00067104761,0.00026189763,0.00026948638,0.00033188458,0.00028040611,7.46097e-06,8.350969e-05,0.00013509686,0.00087924573,0.00011096685,0.00098204488,0.0,0.00030199081,H
train_11,0.00051532626,0.00029949223699999997,0.00025890559,0.000417648899,0.000266657176,2.5102777e-05,8.157714e-05,0.000118683182,0.000732921078,0.00013371741,0.00084030885,3.59153e-06,0.00032582368100000003,H
train_12,0.00050447289,0.00024174839,0.00024708758,0.00036126774,0.0002887452,1.2676585e-05,6.025715e-05,0.00011029769,0.000701336062,0.000131068138,0.00089691805,1.3308e-06,0.00031743895,H
train_13,0.00195002804,0.00107365259,0.0008585284,0.0011952099599999999,0.00101931887,1.9776680000000002e-05,0.00031270688,0.00040107138,0.00275552605,0.00038291175000000003,0.00318307647,4.62597e-06,0.00125547795,H
train_15,0.00128638531,0.00059749562,0.00061043051,0.0007828936100000001,0.00034894164,2.9048287000000002e-05,0.00010863581000000001,0.000302947964,0.00192786291,0.0002800006,0.00233315236,0.0,0.000666264663,H
train_18,0.00041190048,0.00021817416,0.00025110211,0.00029486094,0.00017943958,7.62431e-06,4.845992e-05,8.7418865e-05,0.00067295746,0.0001158532,0.00090488147,2.28303e-06,0.00027835905999999997,MBD
train_19,0.00046429728,0.00026328730999999997,0.00023510537,0.00048682631,0.00015809248,4.55353e-06,7.501249e-05,0.00011259178000000001,0.0008328887,0.00014087331,0.00090328512,0.0,0.0003129439,MBD
train_20,0.0005852416400000001,0.00025688102,0.00033415124,0.000303017118,0.00064439779,4.00374e-06,3.344329e-05,0.00016022402,0.0011282260199999999,0.00015984854,0.0011969649,1.21053e-06,0.00035191542,MBD
train_24,0.00058021507,0.00024331812,0.00024063733000000002,0.00027880292,0.00025467658,0.0,2.88614e-05,7.540662e-05,0.00070747098,0.00011390995,0.000825821546,0.0,0.00026686478,MBD
train_25,0.000564681155,0.00028182221,0.00026562106,0.000310104871,0.00019972225,1.004855e-05,2.413327e-05,0.00013894086,0.000829696394,0.00014089388,0.00104465711,1.4392e-06,0.000297926088,MBD
train_26,0.00077297002,0.00039951709,0.00027321238,0.00058340052,0.00055482945,4.9075126000000005e-05,0.000106548613,0.00018250803,0.000927621234,0.000160630669,0.00104150592,6.84052e-06,0.000450950513,MBD
