"","train_4034","train_4036","train_4038","train_4041","train_4042","train_4047","train_4053","train_4055","train_4058","train_4059","train_4060","train_4061","train_4062","train_4064","train_4067","train_4069","train_4080","train_4116","train_4121","train_4125","train_4128","train_4129","train_4131","train_4132","train_4135","train_4144","train_4145"
"Bacteroides_vulgatus",0.62466,3.07847,3.27811,0.01143,24.07885,0.03413,12.77874,7.03787,44.79947,2.45044,5.9319,3.32203,2.27689,0.56701,0.50603,1.04349,29.59402,5.72925,4.30925,3.52368,1.48017,3.0558,18.58117,0.46247,6.27255,3.13128,6.84908
"Roseburia_faecis",0.69793,0,0,0.36044,0.06423,2.62439,0.04179,1.58967,0,1.2891,2.35116,0.15412,4.68984,4.92271,8.81549,0.52596,0,0.14025,7.41876,0.41747,0.18842,0.91782,0.8864,1.10172,0.1153,4.0462,0.00041
"Ruminococcus_gnavus",0.49488,0,0.71101,0.01643,1.02485,0.66076,0.09137,0.29167,1.77145,0,0.02507,0.00222,0,0,0.00469,0.00409,2.76873,0.00687,2.31143,1.76272,0,0.00485,0.58466,0,0.04544,0.00821,3.0813
"Roseburia_intestinalis",0.0043,0.02035,0.30483,0.01034,0,2.38367,0.03634,0.00119,0.02054,0.00183,0,0.01702,0.14246,0.2926,0,0.38228,0,0.00442,0,0.01438,0,0.01068,0,0.00526,0,0.00325,0.17366
"Blautia_wexlerae",0.0641,0.02395,0.09203,0.6571,0.0341,0.046,0.01217,0.12961,0.38749,0.05573,0.09813,0.02332,0.40949,0.01592,1.18787,0.13462,0.38768,0.29899,10.3087,0.12463,0.71625,0.04628,0.29183,0.37414,0.01791,0.74829,0.09857
"Eubacterium_eligens",0.3772,1.01984,0.01165,0.00044,0,0.00061,0.59885,0.00242,0.24942,0.53264,0.00754,2.0619,2.8621,1.9107,0.6234,2.64299,0,0.60082,0,0.06335,0.10922,4.12098,0.60745,0,0.33622,3.79909,0.00096
"Bacteroides_thetaiotaomicron",0.75689,0.27294,0.48043,11.61228,1.31998,1.50343,3.49866,0.90937,8.74847,0.11901,0.04605,0.84181,0.59843,0,0.09443,0.18429,10.78365,1.28092,0.42401,1.5302,1.01462,0.10921,1.07334,0.13187,0.91949,0.62411,0.5664
"Faecalibacterium_prausnitzii",0.61704,1.88926,4.87,2.77919,0.86686,2.28055,0.53317,1.56575,0.35532,4.68605,0.71646,1.99898,5.80921,4.59141,6.88302,6.08956,0.00213,1.56266,6.40808,1.16114,6.0571,5.30171,2.37838,0.61225,1.62771,8.65497,0.03005
"Coprococcus_comes",0.42296,0.14479,1.17837,2.14243,0.1052,0.24742,0,2.4573,0,0.51663,0.33762,0.20354,0.24307,1.34862,0.74499,0.34241,0,0.2323,7.68125,0,0.12449,0.68664,2.40935,0,0,1.12887,0
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0.00286,0,0.93396,0,0,0.01182,0,0,0,0.00676,0,0,0,0,0.07673,0.00109,0,0,0.05919,0,0,0
"Streptococcus_thermophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00596,0,0,0.65466,0,0,0.02221,0,0,0,0,0
"Blautia_sp_CAG_257",0.00383,0,0.14258,0.00062,0,0.00085,0.00123,0.00353,0.05641,0,0.34258,0,0,0,0,0,0,0,0.09674,0,0,0,0.03107,0,0,0,0.34176
"Flavonifractor_plautii",0.1028,0.04513,4.2032,0.27359,0.04747,0.11377,1.08404,1.97259,0.26742,0.14457,0.63705,0.02867,0.04311,0.06595,0.23685,0.01568,2.14622,0.17581,1.43026,1.63034,0.01787,0.00494,0.24313,0.01497,0.08394,0.05182,0.04633
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",6.80878,0.18371,0.83061,9.66437,31.95467,0.30599,0.15831,0.92509,2.00996,1.0164,0.04543,0.23416,1.26276,0.00653,0.00912,0.30861,1.75407,8.49078,0.00303,0.03892,0.13792,0.08652,0,2.97275,0.83803,0.08171,37.85445
"Firmicutes_bacterium_CAG_94",0.00089,0,0,0,0,0,0,0.00908,0,0,0.12632,0,0,0,0.0076,0,0,0,0,0.00101,0.01782,0,0,0.13656,0,0,0
"Turicibacter_sanguinis",0,0,0.02113,0,0,0,0,0.2878,0,0,0,0.02748,0,0,0,0.07877,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0.01547,0,0,0.335,0.05102,0.00442,0,0.02737,0.4194,0,0.00422,0,0,0,0,0.06926,0.98053,0,0.24619,0.04442,0.0043,0.00314,0,0.18253,0,0,0.36288
"Fusicatenibacter_saccharivorans",0.20983,0.17177,1.04865,0.52919,0.09121,0.06069,0.16328,0.35904,0.11326,0.50729,0.5986,0.3321,1.98529,0.02542,0.22729,0.08385,0,0.03778,2.01592,1.13244,0.5853,0.12897,0.25101,0.05302,0.00466,1.69266,0
"Clostridium_disporicum",0,0,0.0016,0,0,0.01868,0,0,0.0126,0,0,0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0.00023,0,0.12095,0,0,0,0,0.00087,0.00493,0,0.00033,0,0,0,0.00043,0,0,0,0,0,0.00075,0,0,0.00157,0,0,0.05187
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0.00631,0,0,0,0.00168,0,0.02988,0,0.07426,0.00085,0.37702,0,0,0.28959,0,0.00101,0,0.02167,0.01752,0.02541,0,0,0,0,0
"Clostridium_spiroforme",0,0,0,0,0,0.00374,0.00131,0,0.06576,0,0.022,0.00975,0.09035,0,0,0.04669,0.1004,0,0,0,0,0,0.11182,0.01202,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0.54329,0,0,0,0,0,0,0.07921,0,0,0,0,0.53939,0.0575,0,0,0.05614,0,0,0
"Dorea_formicigenerans",0.34199,0.13333,0.4263,1.05975,0.06751,0.47729,0.03619,1.38139,0,0.57287,0.35645,0.06868,0.2751,0.11551,0.56637,0.19135,0.371,0.46214,1.73482,0.25758,0.40205,0.34513,0.29518,0.294,0.05088,1.0595,3.23638
