"","train_1385","train_1391","train_1430","train_1432","train_1444","train_1691","train_1693","train_1733","train_1738","train_1741","train_1766","train_1770","train_1772","train_1775","train_1795","train_1797","train_1798","train_1799","train_1801","train_1840","train_1863","train_1872","train_1882","train_1888","train_1898"
"Bacteroides_vulgatus",8.7749,2.39074,3.89333,10.36028,1.89847,0.30322,7.39578,4.56257,22.96328,8.0677,0.20835,2.6265,2.63645,7.33745,1.02945,0,1.04381,0,0.22175,0.97798,3.71626,20.14782,0.10179,1.39987,3.02279
"Roseburia_faecis",0,0,0.23619,0,1.95448,0.27498,0.26945,0.36718,0,5.68166,1.15695,0.72213,0.05676,0.5092,0.87095,2.73838,0.22277,0.03102,0.74469,2.75856,0,9.52613,1.93325,2.30045,13.88311
"Ruminococcus_gnavus",1.00354,0,0,0,0.00142,0,0,0,0.00511,0.0083,0,0,0,0.00949,0,0.0287,0,0,0,0,0.15032,0,0,0.19319,0
"Roseburia_intestinalis",0.24836,0,0,0,0,0.32097,4.79716,2.23558,7.12069,0.32374,0,0.01738,0.36686,2.05632,0.07061,3.78363,0.02348,0.03065,2.54597,0.00181,0.04492,0.38654,0.17531,0,0.52093
"Blautia_wexlerae",0.10052,0,0.48611,0.08256,0,0,0.00707,0.01424,0.0539,0.76071,0.01532,0.06353,0,0.0094,0.04442,0.10085,0.02042,0.01115,0.02521,0.00883,0.46545,0,0.00405,0.05156,0.14383
"Eubacterium_eligens",0,2.43115,0.31031,0.02097,4.96769,0.61466,0.06504,1.65548,1.51612,0,0,0.33717,0.5314,2.21809,1.95015,3.87989,1.56315,0.21989,0.00586,0.75622,0.99943,1.12702,0.05623,0,0.03531
"Bacteroides_thetaiotaomicron",0.53837,0.18685,1.76337,0.62099,0.00195,0.00555,1.06272,1.15701,3.62473,1.99334,1.09155,0.31235,0.19863,0.73714,0,0,1.40842,0,0,0.18677,3.17686,1.38407,0.01243,0,0.18476
"Faecalibacterium_prausnitzii",2.54423,4.14881,0.52985,1.8899,9.58096,3.71715,17.01374,11.99124,8.43535,7.57373,8.87625,6.2414,4.38079,4.55833,6.6418,11.99461,7.0682,8.53702,13.74965,8.09704,0.42894,10.08301,3.22252,3.76623,16.18396
"Coprococcus_comes",0,0.06524,0.03294,2.34456,0.32358,0.13944,0.11647,0.32923,0,0,0.74343,0.14567,0.04924,0.25146,0.41153,0.46476,0.27831,0.06276,0.71648,0.16164,0,0.33133,0.06122,0.10971,0.25777
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0,0,0,0.00483,0,0,0,0,0,0,0,0,0,0,0,0.00118,0,0.09878,0
"Streptococcus_thermophilus",0,0.07788,0,0,0,0,0,0,0,0,0.08534,0.06546,0,0,0,0,0,0.37034,0,0.00901,0,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0,0.01895,0,0,0.19159,5.44865,0,0,0,0,0,4.51359,0,0,0,0,0,0,0,6.12175
"Blautia_sp_CAG_257",0,0,0,0,0,0,0,0,0,0.01674,0,0,0,0,0,0,0,0,0,0,0.03331,0,0,0.01033,0
"Flavonifractor_plautii",0.18783,0,0,0,0.01351,0.02405,0.00299,0.0037,0.41775,0.03142,0,0.00632,0.10548,0.23339,0,0.271,0.02079,0.04341,0.01007,0.00208,0.66737,0.00986,0,0.31242,0.10995
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03084,0,0.03875,0,0
"Escherichia_coli",0.27599,0.1274,0,1.01397,0.5606,0.30551,0.08651,0,0,0.00978,0,0,0.31297,2.23117,0,0,0.01415,0,1.59342,0,0.00229,0,0,0,0.04708
"Firmicutes_bacterium_CAG_94",0,0.00961,0,0,0,0,0.04785,0,0,0.43856,0,0,0.00173,0,0,0,0,0,0,0.00869,0,0.04823,0,0.10519,0
"Turicibacter_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0.00713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21954,0,0,0,0
"Fusicatenibacter_saccharivorans",0.17439,0.5839,0.39141,0.62555,1.33949,0.06152,0.46884,1.95877,0.71401,0.67728,3.0783,0.28138,2.53503,0.56034,0.49915,1.49644,2.35377,0.57821,1.00678,0.33768,2.91541,0,0.01803,0.69798,1.72433
"Clostridium_disporicum",0,0,0,0,0,0,0.11665,0,0,0.00118,0,0,0,0,0,0,0,0,0,0,0,0.03771,0,0,0
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0.00768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0.01509,0,0,0,0.07336,0,0,0.00236,0,0,0,0.0506,0,0,0,0,0,0,0,0.00687,0,0,0.00282
"Clostridium_spiroforme",0.05657,0,0,0,0,0,0,0,0,0,0,0,0.00445,0,0,0.07648,0,0,0,0,0,0,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0.1286,0,0.0911,0.47016,0,0,0,0,0.03486,0,0,0,0,0,0,0,0,0.00101,0
"Dorea_formicigenerans",0.62987,0.02167,0.00343,0.27913,0.10056,0.07047,0.04928,0.25186,0.19132,0.21805,0.15776,0.08272,0.03323,0.03425,0.21135,0.13259,0.09829,0.06876,0.08991,0.11414,0,0.01156,0.04803,0.17219,0.41901
"Streptococcus_salivarius",0.00306,0.01534,0.00249,0,0.04781,0.01342,0.00514,0.02874,0.02557,0.00411,0.04982,0,0.02916,0.15924,0,0.02407,0.02112,0.00273,0.24067,0,0,0,0.04286,0,0.3085
"Clostridium_clostridioforme",0.02378,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0.10625,0,0,0.01207,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0,0,0.03101,0,0,0,0,0,0,0,0,0,0,0,0.00469,0,0,0,0,0.11959,0.01042,0,0,0.08228
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538,0,0,0.14136,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0.00268,0,0,0,0,0,0,0,0.03227,0,0,0.03858,0,0,0,0,0,0,0,0,0,0,0,0.03155
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
