sample	Group	Biosynthesis_of_Cofactors_and_Vitamins	Carbohydrate_metabolism	Cellular_Structure_and_Modification_of_Macromolecules	Central_metabolism_and_energy	Lipid_metabolism	Metabolism_of_Alcohols_and_Aldehydes	Metabolism_of_Aromatic_Compounds_and_Xenobiotics	Metabolism_of_Carboxylic_Acids	Metabolism_of_amino_acids_and_derivatives	Nucleotide_and_Nucleic_Acid_Metabolism	Signaling_and_Regulation_Metabolism	Specialized_and_Miscellaneous_Routes	NA
train_10	H	0.00071882901	0.00026747035	0.00026948638	0.00043072391	0.00028040611	7.46097e-06	0.00026582659	0.00018569032	0.00088724557	0.00098204488	0	0.00032579151	7.834675e-05
train_100	NP	0.00867318697	0.005176701445	0.00366378167	0.007950684989	0.00280873674	0.000217785556	0.00330526379	0.00244451355	0.012301652146	0.01211642676	5.27231e-05	0.00465830648	0.0016417236
train_1000	H	0.00750332274	0.00364109967	0.0028455731	0.00395424487	0.00322085238	5.98064267e-05	0.002581743626	0.001943976549	0.0095080397	0.01073124278	9.37357e-06	0.003943129163	0.00089810511
train_1001	H	0.00833954243	0.003635580533	0.00336748918	0.004944010885	0.00391338977	0.00011624186	0.00236461995	0.00180631006	0.010275250383	0.0111537223	2.0421e-05	0.003890070211	0.001113534595
train_1002	H	0.00834995937	0.003245052364	0.00351643154	0.005026879158	0.00340169082	0.00013333604	0.002204493205	0.00174007443	0.010099108686	0.010944482774	1.527804e-05	0.004616331543	0.000908190221
train_1003	H	0.010401556234	0.006360224311	0.00416887709	0.007828355258	0.00437285392	0.000321389564	0.003539883041	0.0024703278	0.013837048187	0.0145137556	6.62669e-05	0.0049405125	0.0020991906
train_1004	H	0.00734630091	0.003482586973	0.003262239968	0.00387356274	0.002279211317	0.000124499273	0.002303145666	0.00167630968	0.008391304328	0.010134091651	2.326756e-05	0.003684969698	0.000772164155
train_1005	H	0.00808478684	0.006000152113	0.00305093364	0.004791274905	0.0033655079	0.000100367545	0.002726871523	0.002026421543	0.00897604406	0.0112002181	1.18932e-05	0.004230572787	0.00092778797
train_1006	H	0.009195809424	0.003738859318	0.00291694813	0.005007314476	0.004171602817	0.00010286734	0.00265587544	0.00181004251	0.00968005476	0.01060412517	2.174921e-05	0.004081489831	0.00088556711
train_1007	H	0.008799539518	0.00502127623	0.003183909276	0.005390127368	0.004220778863	0.000163334547	0.003125196222	0.00232259553	0.011626787637	0.01221852154	1.464364e-05	0.004540337361	0.00128578122
train_1008	H	0.008945489204	0.004097261134	0.00300599046	0.004920710644	0.0045988847369	0.000116247136	0.003415473953	0.001625322228	0.010556029572	0.01248800225	2.03051e-06	0.004186665518	0.000957311584
train_1009	H	0.00897664718	0.003367009072	0.0032658648	0.00379583705	0.00384782449	8.223077e-05	0.0030438769	0.00212763279	0.0092369252	0.01206813997	0	0.00368425868	0.00090546303
train_101	NP	0.008918498503	0.005000928743	0.0028154722	0.008906365625	0.0059824455	0.00050850407	0.002792104177	0.002535829193	0.01111472393	0.010216558	0.0001142921	0.00536428486	0.001785325
train_1010	H	0.00834971166	0.004049759657	0.0024537551	0.00654617098	0.00507286267	0.00030423095	0.002614349294	0.001863208457	0.00938568218	0.01008675056	6.11394e-05	0.004449448875	0.001174997436
train_1011	H	0.00901752675	0.00476371738	0.00342723874	0.00635100943	0.00375678572	0.000235478702	0.002797857122	0.0023140863	0.010703581741	0.01140927238	5.405253e-05	0.004571450342	0.00132881183
train_1012	H	0.0102109487	0.005071195853	0.00279049415	0.00879675252	0.00754841723	0.00049992427	0.002646247791	0.002749408538	0.01081623445	0.01011005762	0.0001168519	0.00579235919	0.001531827204
train_1013	H	0.008526129737	0.00339300359	0.0028419331	0.004218290611	0.00477264726	0.00010586894	0.002541062278	0.00144742075	0.009409825022	0.01085851155	6.12244e-06	0.00386813768	0.00089061048
train_1014	H	0.008810025786	0.00463536806	0.00303600738	0.005349227932	0.004579930598	0.00018508457	0.00293611261	0.00180769948	0.010622688679	0.01081673023	2.239387e-05	0.004231942274	0.0011955964
train_1015	H	0.007181905305	0.00361846409	0.003069196176	0.00455881154	0.00277720375	0.00014242076	0.00237291087	0.00164565145	0.008408013098	0.01076842229	1.663172e-05	0.003702264198	0.00101264209
train_1016	H	0.00760287877	0.00362905461	0.0027607036	0.00428782283	0.00409950452	0.00011040376	0.0022175182	0.0015649537	0.00890788601	0.00981478653	4.72728e-06	0.00363279789	0.0008146167
train_1017	H	0.00878973337	0.00369566106	0.0030191535	0.00440684084	0.00339257884	9.554129e-05	0.00222949163	0.00162333082	0.00972971539	0.01047696898	9.80766e-06	0.00421451904	0.00082609267
train_1018	H	0.00771859594	0.00479284828	0.00490946582	0.00348928024	0.00184138294	8.534601e-05	0.00206143883	0.0016885052	0.01045963266	0.0096523285	3.46992e-05	0.00362538158	0.00060989581
train_1019	H	0.009378155955	0.003684456213	0.003187487112	0.004593034489	0.004941555137	8.4042344e-05	0.002755454652	0.00198630648	0.010570310107	0.0104499746	1.56611e-05	0.004279708386	0.00097245667
train_102	NP	0.00992786174	0.005980831323	0.0042420902	0.008085535537	0.002340330163	0.000338403706	0.002368697293	0.003071153517	0.013664026422	0.01161346678	0.000106524	0.003936270014	0.00193563019
train_1020	H	0.00737024419	0.003062191168	0.00379174963	0.003656127458	0.002165670335	6.2148578e-05	0.00265799144	0.001505190763	0.008760872561	0.01112609207	1.381541e-05	0.003953537407	0.00064169391
train_1021	H	0.00799479995	0.00429677666	0.00294359574	0.00531730906	0.003148218576	0.00014352001	0.00293741741	0.00182060488	0.010619877012	0.0110036878	6.5319e-06	0.004209077374	0.00104192091
train_1022	H	0.00692109045	0.00301189873	0.0023816455	0.00336185455	0.00318954283	6.5863112e-05	0.0023120475	0.0012862169	0.007979065281	0.00999060662	1.14784e-05	0.00334388862	0.0007648787
train_1023	H	0.00740448505	0.00410414254	0.00454129942	0.00349596941	0.0025810589	3.596802e-05	0.0022091961	0.00133337248	0.01044575274	0.01142552371	2.28291e-06	0.00425787048	0.00058529106
train_1024	H	0.0081233954	0.00463457253	0.00288677988	0.00736580512	0.005114287371	0.00036009412	0.002769817036	0.00213573535	0.01004977908	0.00983916391	5.85574e-05	0.00495231737	0.00130315191
train_1025	H	0.00913548817	0.00405253993	0.0032719776	0.00413082984	0.00470242493	9.858576e-05	0.002871721	0.00207360328	0.01072128847	0.01177560725	0	0.00436450361	0.0009136592
train_1026	H	0.00700944003	0.00398776398	0.0024740748	0.00732802729	0.00461007511	0.00038656225	0.002473561643	0.00180557676	0.00893950239	0.00936967738	4.642285e-05	0.004496107144	0.0013096835
train_1027	H	0.00980610531	0.00494073211	0.002708103	0.01023759048	0.00735347385	0.00061124064	0.002680528958	0.00253459452	0.01105530955	0.010270733566	0.0001325	0.005978782747	0.0016782777
train_1028	H	0.00688199423	0.003522399581	0.00250760966	0.00611912596	0.00362117498	0.0002165197	0.002121710511	0.00172950877	0.008643917033	0.00948068459	4.71497e-05	0.004292445851	0.00118210834
train_1029	H	0.007660606198	0.003985004944	0.002996595087	0.0057849769	0.003124793516	0.000174329344	0.00317048065	0.00205413693	0.010094132514	0.01186122982	3.85101e-05	0.0045326595647	0.00131135517
train_103	NP	0.0083421654	0.004774410636	0.00350307587	0.007820943947	0.004324040304	0.00031923469	0.00272067225	0.0026015438	0.011476449171	0.01092344335	7.88326e-05	0.00476704103	0.0016787978
train_1030	H	0.00832518397	0.00435915559	0.00367255019	0.00464006245	0.00322755317	5.742469e-05	0.002541749632	0.00211376576	0.010692004	0.0111765704	1.28973e-05	0.00396054398	0.00108438928
train_1031	H	0.0090029939	0.00410179834	0.00281906996	0.00715271934	0.00537746596	0.00033534994	0.00246158549	0.0021681904	0.00995118832	0.0096791933	6.71974e-05	0.00437273262	0.00132224101
train_1032	H	0.00843536524	0.00366853053	0.00306021335	0.00397566877	0.00350956939	9.96868e-05	0.0027045502	0.00153169194	0.00977153729	0.01161556298	2.66486e-06	0.004168655705	0.00085438439
train_1033	H	0.00901740463	0.004877119847	0.00261124705	0.00954428913	0.006568316927	0.00051020248	0.00308658421	0.00228397674	0.01046205621	0.01024004532	9.32624e-05	0.005482680256	0.0014396867
train_1034	H	0.008806174	0.00422406063	0.00318538937	0.00450188302	0.004034994853	6.1475178e-05	0.003128087354	0.00156793645	0.008954814899	0.01243440084	6.97511e-07	0.004423801047	0.000902573424
train_1035	H	0.00704936626	0.00307441233	0.00307877819	0.00441624514	0.00292403204	0.000137108763	0.002179176732	0.00134643075	0.008619808668	0.00967255724	1.94897e-05	0.004064137136	0.00074828087
train_1036	H	0.00912571438	0.00367072344	0.00303552332	0.00432767578	0.00349834422	3.945836e-05	0.00277428534	0.00222806229	0.01011431691	0.01211482166	6.78642e-06	0.00411311605	0.00092579643
train_1037	H	0.00601492209	0.003173147045	0.00237081122	0.004239255616	0.0026593673	0.000138574922	0.00183332859	0.00152063505	0.007469990919	0.00861442059	2.823602e-05	0.003058075084	0.00093610049
train_1038	H	0.00760888857	0.00424199158	0.0030160084	0.004984435676	0.00225432489	9.800891e-05	0.00229438535	0.0020704019	0.00961243034	0.00971387336	3.00708e-05	0.00364745282	0.00119319266
train_1039	H	0.00545999932	0.00287042755	0.0027508703	0.0044879759	0.00141082628	9.414384e-05	0.0022895403	0.0015301077	0.00779658841	0.009629285	1.84508e-05	0.0033998871	0.0008729378
train_104	NP	0.00811395755	0.00538719036	0.0044412613	0.00723194587	0.0018111180598	0.000203472487	0.002965811299	0.002486841112	0.013335164016	0.01230373956	0.000101362925	0.004154509079	0.00163837687
train_1040	H	0.00721455447	0.00358304131	0.00294747062	0.00481827157	0.00194155833	0.00011555908	0.00211925804	0.00234540193	0.01001434049	0.01052979807	4.34439e-05	0.00360697458	0.00113675028
train_1041	MD	0.00601670051	0.00346239214	0.00277382752	0.00522340648	0.00165658705	0.00015501364	0.00216076891	0.00182546838	0.00915890911	0.0102428656	5.00241e-05	0.00353940447	0.00117953551
train_1042	H	0.00414832927	0.00221253238	0.0018732186	0.00351394512	0.0011105854	7.319889e-05	0.0015520807	0.00114230317	0.0063365054	0.0071334743	3.83603e-05	0.00225210803	0.0006549573
train_1043	H	0.006675533278	0.00391851195	0.00264965961	0.005238144698	0.00248753411	0.000167548306	0.00223704093	0.0017015432	0.00848165724	0.00904528542	2.896666e-05	0.003821809619	0.0011042022
train_1044	MD	0.007065833189	0.003817179582	0.003008595	0.00566628224	0.002110732022	0.00016046382	0.002028618994	0.001774455382	0.00951798879	0.0097434549	6.27124e-05	0.003612457944	0.0013242239
train_1045	H	0.00701623182	0.00461182097	0.0032274978	0.00719362145	0.00451511404	0.00034600082	0.00239299907	0.0022366574	0.00963898484	0.01027727252	6.2632e-05	0.004564064784	0.0014986845
train_1046	H	0.00834314451	0.00503489261	0.003560113171	0.00561802541	0.002414039293	0.000131480202	0.002269950734	0.0027120182	0.011482939216	0.01127487056	4.790343e-05	0.00420203264	0.00141930859
train_1047	H	0.008634024898	0.00474264309	0.0034415124	0.005734963082	0.002601291863	0.000156825913	0.00254729072	0.00282442416	0.01134584488	0.011541177868	4.0235118e-05	0.0041425800975	0.00142335529
train_1048	MD	0.007747084631	0.003983810044	0.00309337953	0.005113358231	0.0028619573	0.000136926442	0.002103322795	0.00182264997	0.009812846221	0.00966908561	2.0225398e-05	0.004022733437	0.00111062157
train_1049	MD	0.00769753987	0.00431449556	0.0032288544	0.00602831579	0.002368862954	0.000119432456	0.00237480505	0.002203486673	0.00978714045	0.01016311658	3.8630776e-05	0.00387948151	0.00134207218
train_105	NP	0.00765008946	0.0045792494	0.00392522606	0.006401489111	0.002242967492	0.000227872559	0.0026723965	0.00248163334	0.012451154709	0.01173355281	6.88388e-05	0.004136606414	0.0014305829
train_1050	H	0.00755453111	0.00421166754	0.0034532487	0.00521639966	0.00205907896	0.00011083403	0.002458820478	0.002439228213	0.01025628503	0.01117391989	2.96033e-05	0.003877010669	0.00136012149
train_1051	H	0.00565692432	0.00284020168	0.00275062306	0.00441179008	0.001615765	9.182418e-05	0.0021864644	0.00147851787	0.00727795718	0.00960852199	1.26185e-05	0.003445917819	0.0008023123
train_1052	H	0.00908568789	0.005404247609	0.0029209189	0.010077769709	0.0063872976	0.00081323932	0.00274068135	0.002721902884	0.011493612239	0.01107797028	0.0001311665	0.005745848667	0.0018135288
train_1053	H	0.00752401938	0.00403105561	0.0031522387	0.00548685059	0.00200692735	0.0001447114	0.00187930044	0.00224266452	0.01041249513	0.00975366492	4.68094e-05	0.00328948394	0.00139590931
train_1054	H	0.008166666846	0.004344565595	0.003149437246	0.005376382832	0.002315250267	0.000124875275	0.00224668561	0.002643470283	0.010953137658	0.01050319221	3.44981e-05	0.003934923011	0.00134038177
train_1055	MD	0.00727990415	0.00444520678	0.00298624813	0.00726969307	0.00435194627	0.00031520588	0.0028378957	0.00230646279	0.009742149752	0.01058469284	7.699e-05	0.00448205059	0.0015292439
train_1056	MD	0.00770425205	0.00420919414	0.002858077077	0.00581843459	0.00371989592	0.000227012062	0.001948227808	0.00166700844	0.00871385698	0.0093829211	4.25831e-05	0.003993817152	0.00110131198
train_1057	H	0.00688532589	0.00355966255	0.00239776412	0.006214895214	0.00369674692	0.00032546601	0.0020016638	0.00189433	0.00854259693	0.00891370287	7.13263e-05	0.00398993283	0.0012883003
train_1058	H	0.00683449557	0.00379885726	0.002839071	0.00494551648	0.00181185377	0.0001419334	0.00204682087	0.00213692454	0.00913140278	0.00938376057	5.51168e-05	0.00320051865	0.0011982796
train_1059	MD	0.00639079695	0.00364418111	0.0027043615	0.00509753947	0.00152224971	0.00014156274	0.0019966692	0.0019549073	0.00887359908	0.00904016006	8.75021e-05	0.003288283151	0.00107929037
train_106	NP	0.0100320915	0.00607340257	0.00345101461	0.010990901795	0.00640892808	0.00070651241	0.003195583823	0.003091706	0.013144972126	0.01172757667	0.0001863523	0.00620860271	0.002104359
train_1060	MD	0.00689594896	0.00410121816	0.00294817553	0.00453800262	0.0016640952	0.00016838966	0.00163625055	0.00232153341	0.01006738966	0.00882470946	6.18814e-05	0.003163862035	0.0012036327
