"","SRR5936104","ERR209404","ERR210559","ERR209286","SRR5936117","SRR5946689","SRR5947012","ERR209339","ERR210422","SRR5947029","SRR5947832","SRR5983481","SRR5947060","SRR5935936","ERR210220","SRR5936124","SRR5936229","ERR210569","SRR5947846","SRR5946757","SRR5946883","ERR210495","SRR5936200","SRR5946973","ERR209667","SRR5936084","SRR5936013","SRR5946791","SRR5935889","SRR5946725","SRR5947007","SRR5983408","SRR5946668","SRR5935811","SRR5946891","SRR5983380","ERR209223","SRR5935916","SRR5946995","SRR5935898","SRR5983325","SRR5946927","ERR209693","SRR5946940","SRR5946961","SRR5936031","SRR5935989","SRR5983437","SRR5935752","SRR5946657","SRR5946863","SRR5946862","ERR209096","ERR209069","SRR5935975","SRR5936223","SRR5946946","SRR5936035","SRR5946651","SRR5983270","SRR5935851","SRR5935833","SRR5983391","SRR5947010","ERR209433","SRR5947000","SRR5946608","SRR5983333","SRR5983418","SRR5946892","SRR5946619","SRR5946707","ERR209082","SRR5946818","SRR5983276","SRR5946829","SRR5935920","SRR5936092","SRR5935970","SRR5983277","SRR5936115","ERR209684","ERR209696","SRR5936195","SRR5936191","SRR5946962","SRR5946630","SRR5936077","SRR5936071","SRR5946800","SRR5946880","SRR5935843","SRR5947843","ERR209725","SRR5947830","SRR5935968","SRR5946751","SRR5946723","SRR5946955","ERR209300","ERR209519","ERR209405","SRR5947097","SRR5946905","ERR210591","SRR5983291","ERR210526","SRR5935789","SRR5946737","ERR209694","ERR209440","SRR5983367","SRR5936198","SRR5935941","SRR5946660","SRR5935812","SRR5947057","SRR5983327","ERR209716","ERR209745","SRR5946992","SRR5936079","SRR5936201","ERR209163","ERR210098","SRR5946612","SRR5983301","SRR5935745","SRR5947077","SRR5935771","SRR5935848","SRR5983376","SRR5947040","SRR5947090","SRR5946787","SRR5946985","SRR5946889","SRR5946799","ERR209085","SRR5947050","SRR5983406","SRR5935849","SRR5935958","SRR5983354","SRR5946844","SRR5936114","SRR5936192","SRR5946924","SRR5983403","SRR5947831","SRR5936129","ERR210531","SRR5935965","ERR209403","SRR5935953","SRR5935788","SRR5935985","SRR5946702","SRR5947017","SRR5946959","SRR5946825","SRR5946704","ERR209746","SRR5935813","SRR5946648","ERR209685","SRR5936058","ERR209764","SRR5946797","ERR209071","SRR5935923","SRR5946740","SRR5936111","SRR5946624","SRR5946762","SRR5947815","SRR5946713","SRR5936044","SRR5946845","ERR210598","SRR5946623","SRR5983282","SRR5935981","SRR5935876","SRR5946930","SRR5936197","SRR5946664","ERR209710","SRR5935768","ERR210601","SRR5935781","SRR5983422","SRR5935841"
"Butyrivibrio_crossotus",0,6.37932,0,0,0,0,0,0,0,0,0,0,0,0,2.38143,0,0,0,0,0,0,0,0,0,23.0207,0,0,7.79425,0,0,0.00947,0,0,0,0,0,2.0253,0,0,0,0.07106,0,0,0,0,0,0.33395,0,0,0,0,0,0,8.99856,0,0,0,0,0,0,0,2.48002,0,0,0,0,0,0,0,0,0,0,0,5.11593,1.72811,0,0,0,0,0,2.39077,0,0,0,0,1.14693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24537,5.81464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5497,0,0,0,0,0,0,0,0,0,0,0,0,0.89584,0,0,6.13326,0,0,0,0,0,0,0,0,0,0,0,0,2.9221,0,1.28191,0,0,0,0,0,0,0,0
"GGB3614_SGB4886",0,0,0,0,0,0,0,0.05417,0,0,0,0,0,0,0,0,0.35225,0,0,0,0,0,0,0,0,0.01293,0,0,0,0,0,0,0,0,0,0,0,0.19826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24765,3.78948,0,0,0,0,0,0,0,0,0,0,1.03008,0.01175,0,0,0.00487,0,0,0.13882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17711,0.06239,0,0,0.07261,0,0.00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68482,0,0,0,0,0,0,0,0,0,0.15168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07017,0,0,0,0,0,0,0,0,0
"GGB1630_SGB2238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella_clara",0,0,0.81007,0,0,0,0,0,0,0,0,0,0,0,0.37086,0,0.58528,0,0,0.00506,0,0,0.00866,0,0,0,4.91456,0,0,0,0,0,0,0,0,0,0.23953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78046,0,0,0,0,0,0,0,0,0,2.88644,0,0.00533,0,0.06038,0,0.68274,3.22907,0,0,0.17444,0,0,0,0,0,1.22164,0.65645,0,0,0,0,0.47722,0,0,0,0.30373,0,0,0,0,0,0,0,0,0,0.78074,0.31777,0,0.69377,0,1.01342,0,0,0,0,0,0.66589,0,0,0,2.01903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0,0,0,0,0,0,0,0.85622,0,0.35014,0.79408,0,0,0,0.93518,0,0,1.80762,0,0,0,0,0,0,0,0,0,0.35226,0,4.66433,0.59991,0,0,0,0,0,0,0,0.90075,0,0
"Ruminococcus_bromii",2.31425,3.82308,0,0.58521,0,0.27725,0.15087,2.07948,1.5572,0,0,1.21059,0,0.05234,1.50813,0,0,3.7682,0,0,0,1.41561,0.00951,0,2.5818,0.46891,0.05535,0.14795,0.51107,0,0.03858,0,0,0,0,0,1.64528,0.25882,0,0,0.34473,0,0,0,0,0,0.0777,0,0,0,0.07118,0,3.76325,1.62756,10.16052,0,0,2.12583,18.5319,0,0,0.05884,0.62327,0,0,0.35431,0.49578,0,0,0,0,0,0.50678,0,0.23594,0,0,0,0,0,0.05931,0,0,0.12441,0,12.21554,0,0,0,0,0.02018,0.27744,0,23.99563,0,12.56566,1.8156,0,0,2.0798,0,3.81007,0.16129,0.20959,0,0,5.19521,0,0,7.09285,0,0.01643,0,0,0,0.17177,0,0,4.19076,0,0,0,0,2.86603,0,0,0,1.32604,0,0.5247,0,22.7432,0,0,0.28737,0.0032,0.2663,0,1.79561,0,0,0,0.41974,0.42005,0,0,0,0,2.45009,0,0,0,0,3.62898,0,0,0.02491,0,0,0,0,0,0,0.60677,0,0,0,0,0,1.35641,0,0,0,0,0,0,0,0,0,0,0.16572,0,0,0.39226,0.06214,0.03311,0,0,0.35268,0.35004,0,0,0
"GGB1380_SGB1883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_vulgatus",7.91088,0,20.52627,4.13113,5.57968,0.022,16.62973,1.89195,2.88267,0.01587,56.23158,17.6847,45.68743,0,1.66147,0,7.05166,0,0.03626,0.16822,0,2.48494,33.21463,0,1.73272,8.39605,6.02767,2.3966,0.00613,57.59522,0.33418,11.5803,0,61.02003,16.74488,2.17104,0.21743,23.59674,3.54422,0,34.95706,0.01039,9.48758,0,34.60149,22.80681,1.70247,7.57391,93.60147,0.07713,0.82377,39.12808,6.8857,1.52876,1.08377,0,10.22979,19.45934,1.31272,4.77021,27.52875,3.70453,0.25989,36.79097,0,33.16669,25.09229,23.83622,2.89698,12.63166,32.84337,23.17055,1.84509,4.3881,1.05935,32.06853,0,0,8.64606,0.04026,1.99698,0,11.30681,6.60492,3.16179,2.00549,22.26985,0.19921,56.10834,4.696,10.39279,0.02449,18.71752,2.14413,0.02187,0.4756,9.87767,21.40188,21.93936,2.9416,0.97187,0,29.46118,5.30314,13.86351,6.93114,0.4428,33.14545,27.86325,0.79036,3.12938,7.12301,0,0,10.12946,17.14393,13.59323,6.05811,0.02107,8.87907,7.19657,0,2.41993,6.85466,0.78946,13.87871,31.7472,17.52146,0,6.3536,13.89622,1.4143,0,0,6.19881,6.04448,4.76544,2.19208,0.01949,0.00069,0.19939,0,16.84024,18.73971,21.23361,0,44.32156,13.53755,0.35667,36.73757,25.87051,0,16.19079,0,36.49701,2.23743,55.60937,0,20.5849,14.53207,30.14636,6.62995,9.62797,0.07729,52.33682,0,3.59115,0.23145,0,1.15772,0,33.82915,1.59418,7.95512,10.56004,0.15821,31.5981,83.06936,5.00494,9.94229,31.90028,1.7237,8.97674,32.44013,1.67325,20.17709,0,35.02248,4.48051,0.25291,10.27935,16.03067,47.62328
"GGB1146_SGB1472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_dorei",0,2.84246,0,0.35661,0,11.71013,0.43719,0.39522,8.8306,33.25691,0.30305,0.84015,0,0,2.72419,0,0,9.03814,12.08388,0,0,4.34853,0.24559,0,0.41964,0,0.03259,1.65077,7.48764,0.45276,0.02842,0,0,0.00054,18.78656,0.00045,0,0,0,0,1.9255,0,0.43487,0,0.00133,0.0167,1.42225,0.00035,0.00016,19.4454,0,0.00384,0,1.44494,0,0,0,0,0,0.04957,0,0.71584,13.05937,17.33973,11.60511,0,1.78636,0.02263,3.05175,0.00463,0,0.00161,0,0,0.53706,0.00663,0,0,0,19.15391,5.83635,45.99602,2.78902,0.3042,0,0.2822,0.00208,0,0.00054,0,0.78902,27.40181,0.67508,0.07733,0,0,0,0.0069,5.04694,1.77854,0.83907,2.68359,0,7.36604,0,0,0,0,0.00235,0.3164,0,0.11973,46.51238,0,0,0,4.39964,0.05078,11.62693,0.31758,0,0,0,1.46027,9.24414,0.00597,0.04906,0.00477,0.037,7.519,0,0,0,0,0.45004,1.69423,8.89352,0.47976,1.07382,0,0,36.96947,0,1.46115,0.21121,0.01615,0,2.57832,0.59952,0.00157,0,0,0.00929,2.70161,0,0,0.00148,0,1.97585,0,0.00346,0,0.35942,19.80103,15.1159,20.90054,0,0.06488,0,1.14,0,0,0.30649,0,0,0,0.05511,0,0.05025,0,1.99084,8.42035,0,0,1.79475,8.74464,0,0,0.0023,0,0,0.00077,0.00161
"GGB6608_SGB9342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
