"","SRR5935893","SRR5946674","SRR5936212","SRR5936204","SRR5936213","SRR5983300","SRR5947045","SRR5947063","ERR209175","SRR5936081","SRR5947812","ERR209653","SRR5946752","SRR5983436","SRR5947076","SRR5946907","SRR5946714","SRR5935888","SRR5935976","SRR5947102","ERR209187","SRR5983329","SRR5946826","ERR209434","SRR5935971","SRR5935871","SRR5946662","SRR5936139","ERR209697","SRR5936048","SRR5936118"
"Butyrivibrio_crossotus",0,0,0,0,0,0,0,0,4.02179,0,0,0,0,0,0,0,0,0,0,0,2.43419,0,0,0,0,0,0,0,0,0,0
"GGB3614_SGB4886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12121,0,0,1.10718,0,0,0,0,0,0,0
"GGB1630_SGB2238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella_clara",0,0,0,0.55619,0,0,0,0,0,0,0,0.39025,0,0,0,0,0,0,0,0,0,0.58764,0,0,0,0,0,0,0,0,0
"Ruminococcus_bromii",0,0,0,0.00061,0,0.98798,0,0,0,0.18376,0,5.86131,0,0,1.06923,0,0,0,1.36128,0,0,0,0,0,0,0,0,0,0,0,10.86919
"GGB1380_SGB1883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_vulgatus",7.06341,0,22.50638,4.65018,11.61863,9.41543,14.81976,0,0,20.69603,0,0.02276,5.30906,0,0,0.00729,50.18404,0,22.87249,0,1.80508,6.70233,0.05281,0,0.04048,6.47757,0,0.00685,12.72531,71.34622,1.08906
"GGB1146_SGB1472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_dorei",0,9.79116,0.01286,0,0,1.61862,0,0,0,0,0,1.62455,0,0,0,18.22603,0.00722,0,0,22.4707,0,0.06341,0,11.69569,39.15944,0,0,0,2.92536,0,0
"GGB6608_SGB9342",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_P4_51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_AF34_10BH",0.81829,0.56856,0,0.80117,0.11992,0.41282,0,0.04729,0.01873,0.0204,0,0.45921,0,0.04332,0,0.79881,0,0,0.17681,0.64239,0.4097,0.28337,0,1.03347,0,7e-04,0,0,0,0,0.02241
