feature	coefficient	fold
T2	-0.022810723724234025	0
Q	0.16741838453921565	0
Combined Index	0.2951333122106106	0
GMHI	-0.7071037577499566	0
Biosynthesis_of_Cofactors_and_Vitamins	-0.239930540755893	0
Carbohydrate_metabolism	-0.19436781458025015	0
Cellular_Structure_and_Modification_of_Macromolecules	0.11282634923211543	0
Central_metabolism_and_energy	0.6023609413696722	0
Lipid_metabolism	0.09837498060427327	0
Metabolism_of_Alcohols_and_Aldehydes	-0.24544274672839048	0
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.19411501244085863	0
Metabolism_of_Carboxylic_Acids	-0.07831913416227886	0
Metabolism_of_amino_acids_and_derivatives	-0.17071924433455202	0
Nucleotide_and_Nucleic_Acid_Metabolism	0.36398168124271624	0
Signaling_and_Regulation_Metabolism	0.06493647385543364	0
Specialized_and_Miscellaneous_Routes	0.025018480490397926	0
T2	0.19554939826548864	1
Q	0.16426509674492237	1
Combined Index	0.08135254205647664	1
GMHI	-0.6906037831439417	1
Biosynthesis_of_Cofactors_and_Vitamins	-0.21221083540577323	1
Carbohydrate_metabolism	-0.22456503902234237	1
Cellular_Structure_and_Modification_of_Macromolecules	0.03766806797071964	1
Central_metabolism_and_energy	0.49575998570184654	1
Lipid_metabolism	0.037130535822329495	1
Metabolism_of_Alcohols_and_Aldehydes	-0.24196330621639975	1
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.24235450512714019	1
Metabolism_of_Carboxylic_Acids	0.018970044303448612	1
Metabolism_of_amino_acids_and_derivatives	-0.14880465407109464	1
Nucleotide_and_Nucleic_Acid_Metabolism	0.42725307747035585	1
Signaling_and_Regulation_Metabolism	0.1526421007291794	1
Specialized_and_Miscellaneous_Routes	0.05357693281406995	1
T2	-0.16331973723523713	2
Q	0.1629904292581851	2
Combined Index	0.5186839860143043	2
GMHI	-0.6471133989340533	2
Biosynthesis_of_Cofactors_and_Vitamins	-0.17729963122551023	2
Carbohydrate_metabolism	-0.24519573222624932	2
Cellular_Structure_and_Modification_of_Macromolecules	0.018448181211718238	2
Central_metabolism_and_energy	0.56998776557716	2
Lipid_metabolism	-0.019630617559920946	2
Metabolism_of_Alcohols_and_Aldehydes	-0.19800017624224156	2
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.19700861480110785	2
Metabolism_of_Carboxylic_Acids	-0.09525134805511498	2
Metabolism_of_amino_acids_and_derivatives	-0.07932624447753713	2
Nucleotide_and_Nucleic_Acid_Metabolism	0.41331409167409305	2
Signaling_and_Regulation_Metabolism	0.06969379894511801	2
Specialized_and_Miscellaneous_Routes	0.02327520322419027	2
T2	-0.20779236106846163	3
Q	0.10812487860762295	3
Combined Index	0.5468223086729374	3
GMHI	-0.6427462883506354	3
Biosynthesis_of_Cofactors_and_Vitamins	-0.2459896957927964	3
Carbohydrate_metabolism	-0.2575672190611098	3
Cellular_Structure_and_Modification_of_Macromolecules	0.11262528146010196	3
Central_metabolism_and_energy	0.6607620763567	3
Lipid_metabolism	-0.03745502609501963	3
Metabolism_of_Alcohols_and_Aldehydes	-0.28681821050541084	3
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.12623206954989127	3
Metabolism_of_Carboxylic_Acids	0.024922215009251028	3
Metabolism_of_amino_acids_and_derivatives	-0.256680711785682	3
Nucleotide_and_Nucleic_Acid_Metabolism	0.3281083529513538	3
Signaling_and_Regulation_Metabolism	0.058459788441112694	3
Specialized_and_Miscellaneous_Routes	0.13895309244235815	3
T2	-0.410158165873258	4
Q	0.11446893015012069	4
Combined Index	0.722885502739227	4
GMHI	-0.6221283633001058	4
Biosynthesis_of_Cofactors_and_Vitamins	-0.15614392165132485	4
Carbohydrate_metabolism	-0.23729011769329394	4
Cellular_Structure_and_Modification_of_Macromolecules	0.061607564932944635	4
Central_metabolism_and_energy	0.6821573598040991	4
Lipid_metabolism	-0.08994493740167758	4
Metabolism_of_Alcohols_and_Aldehydes	-0.42324572222306917	4
Metabolism_of_Aromatic_Compounds_and_Xenobiotics	-0.18418086872426778	4
Metabolism_of_Carboxylic_Acids	-0.037833991846654286	4
Metabolism_of_amino_acids_and_derivatives	-0.14139863657917032	4
Nucleotide_and_Nucleic_Acid_Metabolism	0.2792694534912441	4
Signaling_and_Regulation_Metabolism	0.20461261589506072	4
Specialized_and_Miscellaneous_Routes	0.1407080964566786	4
