,Healthy,Unhealthy
0,Gardnerella_vaginalis,Phascolarctobacterium_sp
1,Ruminococcus_champanellensis,Providencia_alcalifaciens
2,Bacillus_altitudinis,Edwardsiella_tarda
3,Weissella_cibaria,Prevotella_buccae
4,Giardia_intestinalis,Aeromonas_allosaccharophila
5,Bacillus_sp_FJAT_27916,Streptococcus_sp_oral_taxon_056
6,Bacteroides_pectinophilus,Alistipes_sp_CAG_831
7,Sphingopyxis_granuli,Facklamia_hominis
8,Hungatella_effluvii,Peptoniphilus_sp_HMSC062D09
9,Pseudomonas_lundensis,Bacteroides_salanitronis
10,Paraburkholderia_tropica,Cronobacter_malonaticus
11,Pseudomonas_fragi,Mediterranea_sp_An20
12,Bifidobacterium_merycicum,Eubacterium_sp_68_3_10
13,Clostridium_sp_SY8519,Marvinbryantia_formatexigens
14,Cloacibacterium_normanense,Clostridium_hylemonae
15,Staphylococcus_kloosii,Fusobacterium_sp_oral_taxon_370
16,Actinobaculum_massiliense,Campylobacter_concisus
17,Pseudoalteromonas_undina,Peptoniphilus_harei
18,Bacillus_stratosphericus,Aggregatibacter_sp_oral_taxon_458
19,Coprobacter_sp,Selenomonas_infelix
20,Aerococcus_urinaeequi,Varibaculum_cambriense
21,Pseudoalteromonas_tetraodonis,Helicobacter_equorum
22,Citrobacter_portucalensis,Streptococcus_peroris
23,Comamonas_kerstersii,Bifidobacterium_pullorum
24,Kluyvera_ascorbata,Streptococcus_macedonicus
25,Kluyvera_intestini,Atopobium_rimae
26,Kluyvera_intermedia,Campylobacter_hominis
27,Synergistes_jonesii,Lactobacillus_iners
28,Alcaligenes_faecalis,Pseudomonas_fluorescens_group
29,Corynebacterium_casei,Eubacterium_nodatum
30,Treponema_berlinense,Paraclostridium_bifermentans
31,Geobacillus_stearothermophilus,Aeriscardovia_aeriphila
32,Streptococcus_pyogenes,Lactobacillus_paraplantarum
33,Bacteroides_sp_OM05_12,Methanosphaera_sp_SHI1033
34,Corynebacterium_glutamicum,Prevotella_sp_oral_taxon_306
35,Ruminococcus_sp_CAG_579,Anaerococcus_prevotii
36,Pyrococcus_yayanosii,Prevotella_scopos
37,Barnesiella_sp_An22,Morganella_morganii
38,Pantoea_brenneri,Limnochorda_pilosa
39,Megamonas_rupellensis,Lactobacillus_ingluviei
40,Lactococcus_raffinolactis,Leptotrichia_sp_oral_taxon_215
41,Kocuria_marina,Pseudomonas_simiae
42,Terrisporobacter_othiniensis,Pediococcus_acidilactici
43,Lactobacillus_otakiensis,Corynebacterium_pseudodiphtheriticum
44,Kocuria_indica,Anaeroglobus_geminatus
45,Pseudoalteromonas_nigrifaciens,Phyllobacterium_myrsinacearum
46,Flavonifractor_sp_An82,Bacillus_coagulans
47,Macrococcus_caseolyticus,Proteus_vulgaris
48,Kosakonia_sacchari,Prevotella_sp_CAG_873
49,Campylobacter_jejuni,Lactobacillus_animalis
50,Lactobacillus_pentosus,Stomatobaculum_longum
51,Mycolicibacterium_obuense,Eubacterium_sp_An11
52,Chlamydia_ibidis,Enterococcus_gilvus
53,Chryseobacterium_sp_VAUSW3,Prevotella_dentalis
54,Enterococcus_mundtii,Eubacterium_coprostanoligenes
55,Clostridium_sp_chh4_2,Streptococcus_parauberis
56,Leuconostoc_citreum,Fusobacterium_hwasookii
57,Staphylococcus_sciuri,Clavibacter_michiganensis
58,Thermus_scotoductus,Streptococcus_sp_SK643
59,Bacteroides_oleiciplenus,Haemophilus_aegyptius
60,Elizabethkingia_anophelis,Prevotella_jejuni
61,Anaerocolumna_aminovalerica,Peptoanaerobacter_stomatis
62,Sporanaerobacter_sp_PP17_6a,Fusobacterium_necrophorum
63,Staphylococcus_succinus,Veillonella_denticariosi
64,Streptococcus_equinus,Eubacterium_maltosivorans
65,Ileibacterium_valens,Prevotella_sp_S7_1_8
66,Prevotella_sp_CAG_485,Candida_tropicalis
67,Bifidobacterium_scardovii,Gemella_bergeri
68,Citrobacter_freundii,Tropheryma_whipplei
69,Lactobacillus_crustorum,Prevotella_marshii
70,Pantoea_agglomerans,Bifidobacterium_kashiwanohense
71,Bacteroides_caecimuris,Prevotella_multisaccharivorax
72,Leuconostoc_suionicum,Oenococcus_oeni
73,Carnobacterium_maltaromaticum,Fusobacterium_gonidiaformans
74,Arcobacter_cryaerophilus,Corynebacterium_riegelii
75,Acinetobacter_pittii,Anaerofustis_stercorihominis
76,Roseburia_sp_CAG_303,Mogibacterium_pumilum
77,Dysgonomonas_sp_37_18,Lachnoclostridium_sp_An181
78,Staphylococcus_capitis,Bifidobacterium_saeculare
79,Weissella_halotolerans,Flavobacterium_sp_FEMGT703F
80,Alkalibacterium_thalassium,Lachnoclostridium_sp_An169
81,Bacteroides_sp_43_108,Jonquetella_anthropi
82,Staphylococcus_hominis,Morococcus_cerebrosus
83,Kosakonia_sp_S29,Campylobacter_mucosalis
84,Lactobacillus_murinus,Paeniclostridium_sordellii
85,Vibrio_fluvialis,Neisseria_sicca
86,Malassezia_restricta,Campylobacter_showae
87,Citrobacter_gillenii,Veillonella_seminalis
88,Rodentibacter_heylii,Prevotella_corporis
89,Bacillus_cereus_group,Actinomyces_graevenitzii
90,Tannerella_sp_oral_taxon_808,Selenomonas_sp_FOBRC6
91,Acinetobacter_lwoffii,Leptotrichia_buccalis
92,Lactobacillus_mindensis,Lachnoclostridium_sp_An298
93,Staphylococcus_pasteuri,Helicobacter_winghamensis
94,Kluyvera_cryocrescens,Lactobacillus_kitasatonis
95,Treponema_porcinum,Bacteroidetes_oral_taxon_274
96,Candidatus_Stoquefichus_sp_KLE1796,Helicobacter_pylori
97,Campylobacter_upsaliensis,Lactobacillus_salivarius
98,Methanomassiliicoccales_archaeon_RumEn_M1,Olsenella_profusa
99,Lactobacillus_algidus,Fusobacterium_equinum
100,Enterobacter_soli,Tissierellia_bacterium_KA00581
101,Stenotrophomonas_rhizophila,Enterococcus_durans
102,Rahnella_aquatilis,Acidaminococcus_sp_CAG_542
103,Firmicutes_bacterium_CAG_534,Ruminococcus_obeum_CAG_39
104,Methanosphaera_cuniculi,Weissella_minor
105,Mycoplasma_bovis,Eikenella_sp_NML130454
106,Prevotella_sp_MGM2,Actinomyces_europaeus
107,Bacteroides_intestinalis,Peptoniphilus_coxii
108,Bacillus_megaterium,Escherichia_sp_ESNIH1
109,Prevotella_amnii,Acidaminococcus_intestini
110,Prevotella_sp_P3_122,Cutibacterium_granulosum
111,Desulfovibrio_vulgaris,Peptostreptococcus_stomatis
112,Butyricicoccus_pullicaecorum,Raoultella_ornithinolytica
113,Porphyromonas_gingivalis,Salmonella_enterica
114,Actinomyces_meyeri,Clostridium_ventriculi
115,Bacteroides_sartorii,Olsenella_uli
116,Parabacteroides_chinchillae,Corynebacterium_callunae
117,Kosakonia_cowanii,Prevotella_oulorum
118,Clostridium_sp_CAG_299,Pseudomonas_yamanorum
119,Pseudomonas_putida_group,Corynebacterium_aurimucosum
120,Bacillus_haynesii,Leptotrichia_sp_oral_taxon_498
121,Lactobacillus_kalixensis,Corynebacterium_jeikeium
122,Microlunatus_phosphovorus,Lactobacillus_johnsonii
123,Corynebacterium_variabile,Haemophilus_influenzae
124,Paenibacillus_polysaccharolyticus,Prevotella_sp_CAG_617
125,Pantoea_dispersa,Cardiobacterium_hominis
126,Enterococcus_sulfureus,Staphylococcus_argenteus
127,Phytobacter_ursingii,Mycoplasma_hominis
128,Barnesiella_viscericola,Atopobium_vaginae
129,Actinotignum_timonense,Parvimonas_sp_KA00067
130,Bacillus_aerius,Franconibacter_helveticus
131,Acinetobacter_ursingii,Kosakonia_pseudosacchari
132,Lachnospiraceae_bacterium_2_1_46FAA,Lactobacillus_fuchuensis
133,Sphingopyxis_terrae,Haemophilus_parahaemolyticus
134,Aerococcus_viridans,Anaerosporobacter_mobilis
135,Bifidobacterium_thermacidophilum,Lactobacillus_helsingborgensis
136,Bosea_vaviloviae,Kosakonia_radicincitans
137,Enterococcus_malodoratus,Actinomyces_sp_oral_taxon_414
138,Bacteroides_pyogenes,Bacteroides_sp_CAG_927
139,Enterococcus_devriesei,Veillonella_rodentium
140,Ruminococcus_callidus,Eggerthia_catenaformis
141,Leuconostoc_gelidum,Parascardovia_denticolens
142,Enhydrobacter_aerosaccus,Klebsiella_oxytoca
143,Acinetobacter_parvus,Lactobacillus_vaginalis
144,Aeromonas_caviae,Treponema_denticola
145,Eubacterium_sp_CAG_786,Candidatus_Methanomethylophilus_sp_1R26
146,Dialister_sp_CAG_357,Streptococcus_gallolyticus
147,Cetobacterium_somerae,Lachnoclostridium_sp_An196
148,Ruminococcus_sp_CAG_624,Tychonema_bourrellyi
149,Dysgonomonas_mossii,Shuttleworthia_satelles
150,Meiothermus_silvanus,Prevotella_sp_CAG_1124
151,Oenococcus_alcoholitolerans,Ottowia_sp_oral_taxon_894
152,Leuconostoc_garlicum,Clostridium_celatum
153,Megasphaera_cerevisiae,Clostridioides_difficile
154,Staphylococcus_xylosus,Lactobacillus_agilis
155,Acinetobacter_junii,Veillonellaceae_bacterium_DNF00626
156,Lactococcus_piscium,Rhodococcus_qingshengii
157,Actinomyces_georgiae,Clostridium_butyricum
158,Fusobacterium_necrogenes,Lachnoclostridium_phytofermentans
159,Klebsiella_grimontii,Chryseobacterium_scophthalmum
160,Acetatifactor_muris,Prevotella_histicola
161,Providencia_rettgeri,Lactobacillus_ultunensis
162,,Weissella_hellenica
163,,Prevotella_sp_oral_taxon_376
164,,Vagococcus_lutrae
165,,Selenomonas_artemidis
166,,Prevotella_denticola
167,,Methanobacterium_formicicum
168,,Agitococcus_lubricus
169,,Lactococcus_plantarum
170,,Barnesiella_sp_An55
171,,Aggregatibacter_segnis
172,,Selenomonas_sp_oral_taxon_920
173,,Lactobacillus_pantheris
174,,Peptoniphilus_grossensis
175,,Oribacterium_sp_oral_taxon_078
176,,Enterococcus_canis
177,,Bifidobacterium_moukalabense
178,,Campylobacter_gracilis
179,,Negativicoccus_succinicivorans
180,,Prevotella_bergensis
181,,Staphylococcus_warneri
182,,Entamoeba_dispar
183,,Atopobium_deltae
184,,Leuconostoc_carnosum
185,,Prevotella_salivae
186,,Cardiobacterium_valvarum
187,,Mitsuokella_sp_oral_taxon_131
188,,Comamonas_testosteroni
189,,Actinomyces_sp_oral_taxon_897
190,,Lactobacillus_crispatus
191,,Cloacibacillus_sp_An23
192,,Fusobacterium_nucleatum
193,,Pseudomonas_helleri
194,,Prevotella_multiformis
195,,Clostridium_cadaveris
196,,Prevotella_pallens
197,,Brevibacterium_aurantiacum
198,,Denitrobacterium_detoxificans
199,,Treponema_medium
200,,Neisseria_subflava
201,,Dialister_micraerophilus
202,,Ochrobactrum_anthropi
203,,Moraxella_catarrhalis
204,,Pyramidobacter_sp_C12_8
205,,Neisseria_mucosa
206,,Eremococcus_coleocola
207,,Lactobacillus_reuteri
208,,Kosakonia_oryzae
209,,Eubacterium_pyruvativorans
210,,Lactobacillus_dextrinicus
211,,Citrobacter_sp_MGH106
212,,Oligella_ureolytica
213,,Acinetobacter_idrijaensis
214,,Serratia_rubidaea
215,,Lactobacillus_gasseri
216,,Campylobacter_curvus
217,,Streptococcus_cristatus
218,,Bifidobacterium_mongoliense
219,,Enterococcus_pseudoavium
220,,Lactobacillus_versmoldensis
221,,Haemophilus_haemolyticus
222,,Streptococcus_sp_HPH0090
223,,Peptoniphilus_lacrimalis
224,,Propionibacterium_namnetense
225,,Actinomyces_cardiffensis
226,,Candidatus_Methanomassiliicoccus_intestinalis
227,,Pseudopropionibacterium_propionicum
228,,Roseburia_sp_831b
229,,Neisseria_macacae
230,,Dickeya_fangzhongdai
231,,Methylorubrum_populi
232,,Corynebacterium_striatum
233,,Prevotella_sp_CAG_924
234,,Brevibacterium_linens
235,,Prevotella_oris
236,,Lactobacillus_senioris
237,,Actinomyces_sp_oral_taxon_180
238,,Acidovorax_caeni
239,,Enterococcus_gallinarum
240,,Lactobacillus_harbinensis
