,Healthy,Unhealthy
0,Methanobrevibacter_woesei,Kingella_oralis
1,Aeromonas_media,Lactobacillus_oris
2,Cetobacterium_somerae,Scardovia_wiggsiae
3,Corynebacterium_flavescens,Streptococcus_gallolyticus
4,Kosakonia_sacchari,Selenomonas_sp_oral_taxon_138
5,Methanosphaera_cuniculi,Bifidobacterium_saeculare
6,Klebsiella_grimontii,Peptoniphilus_harei
7,Staphylococcus_capitis,Lachnoanaerobaculum_umeaense
8,Parabacteroides_chinchillae,Kosakonia_radicincitans
9,Bacteroides_fluxus,Corynebacterium_vitaeruminis
10,Coprobacter_sp,Campylobacter_coli
11,Bacillus_aerius,Acinetobacter_bereziniae
12,Anaerocolumna_aminovalerica,Lactobacillus_versmoldensis
13,Pyrococcus_yayanosii,Leptotrichia_sp_oral_taxon_215
14,Carnobacterium_maltaromaticum,Lactobacillus_pentosus
15,Bacillus_stratosphericus,Selenomonas_noxia
16,Ruminococcus_sp_CAG_579,Gemmiger_sp_An50
17,Prevotella_sp_MGM2,Methanobacterium_sp_MB1
18,Weissella_halotolerans,Pediococcus_stilesii
19,Photobacterium_damselae,Shewanella_algae
20,Enterococcus_devriesei,Cronobacter_sakazakii
21,Escherichia_albertii,Lactobacillus_agilis
22,Acinetobacter_schindleri,Acholeplasma_oculi
23,Brevibacterium_aurantiacum,Escherichia_sp_ESNIH1
24,Comamonas_kerstersii,Neisseria_perflava
25,Paenibacillus_polysaccharolyticus,Bifidobacterium_pullorum
26,Lachnospiraceae_bacterium_2_1_46FAA,Mesorhizobium_sp_UASWS1009
27,Megamonas_rupellensis,Cronobacter_malonaticus
28,Phyllobacterium_myrsinacearum,Haemophilus_haemolyticus
29,Bacteroides_oleiciplenus,Leptotrichia_wadei
30,Mycoplasma_hominis,Actinomyces_cardiffensis
31,Firmicutes_bacterium_CAG_534,Enterococcus_dispar
32,Lactobacillus_mindensis,Haemophilus_quentini
33,Bacteroides_caecimuris,Megasphaera_sp_MJR8396C
34,Macrococcus_caseolyticus,Porphyromonas_canoris
35,Kluyvera_intestini,Porphyromonas_sp_HMSC065F10
36,Bacteroides_sp_OM05_12,Enterococcus_faecalis
37,Gemmiger_sp_An120,Clavibacter_michiganensis
38,Acinetobacter_ursingii,Streptococcus_pseudopneumoniae
39,Enhydrobacter_aerosaccus,Lachnoclostridium_sp_An196
40,Enterococcus_malodoratus,Pseudocitrobacter_faecalis
41,Acinetobacter_pittii,Campylobacter_showae
42,Bacteroides_stercorirosoris,Lactobacillus_curvatus
43,Kosakonia_cowanii,Mitsuokella_jalaludinii
44,Corynebacterium_variabile,Melissococcus_sp_OM08_11BH
45,Moraxella_osloensis,Anaerosporobacter_mobilis
46,Sneathia_amnii,Veillonella_tobetsuensis
47,Aerococcus_urinaeequi,Trueperella_bernardiae
48,Enterobacter_soli,Pseudomonas_helleri
49,Pseudomonas_fragi,Streptococcus_pneumoniae
50,Candidatus_Stoquefichus_sp_KLE1796,Actinomyces_sp_HPA0247
51,Megasphaera_cerevisiae,Raoultella_ornithinolytica
52,Dysgonomonas_mossii,Methanobacterium_formicicum
53,Desulfovibrio_vulgaris,Lactobacillus_panis
54,Candidatus_Gastranaerophilales_bacterium_HUM_9,Cardiobacterium_valvarum
55,Phytobacter_ursingii,Prevotella_pallens
56,Dialister_sp_CAG_357,Peptoniphilus_sp_DNF00840
57,Corynebacterium_casei,Lactobacillus_gasseri
58,Meiothermus_silvanus,Bavariicoccus_seileri
59,Aeromonas_caviae,Aggregatibacter_segnis
60,Sphingopyxis_granuli,Eubacterium_infirmum
61,Treponema_porcinum,Actinobaculum_sp_oral_taxon_183
62,Aspergillus_cristatus,Haemophilus_paraphrohaemolyticus
63,Klebsiella_quasivariicola,Alistipes_sp_CHKCI003
64,Rahnella_aquatilis,Porphyromonas_sp_oral_taxon_278
65,Staphylococcus_gallinarum,Ralstonia_insidiosa
66,Lactococcus_piscium,Lactobacillus_reuteri
67,Aeromonas_allosaccharophila,Enterococcus_italicus
68,Lachnoclostridium_sp_An298,Carnobacterium_divergens
69,Lactococcus_raffinolactis,Prevotella_sp_oral_taxon_306
70,Prevotella_sp_CAG_1058,Clostridium_ventriculi
71,Leucobacter_komagatae,Bifidobacterium_gallinarum
72,Parabacteroides_sp_426_9,Jonquetella_anthropi
73,Alcaligenes_faecalis,Lelliottia_jeotgali
74,Bacteroides_pectinophilus,Ottowia_sp_oral_taxon_894
75,Desulfovibrio_sp_MES5,Brachyspira_pilosicoli
76,Prevotella_amnii,Eremococcus_coleocola
77,Corynebacterium_glutamicum,Klebsiella_oxytoca
78,Microlunatus_phosphovorus,Bifidobacterium_moukalabense
79,Treponema_berlinense,Streptococcus_sp_HPH0090
80,Fusobacterium_necrogenes,Mediterranea_sp_An20
81,Stenotrophomonas_rhizophila,Robinsoniella_sp_RHS
82,Bosea_vaviloviae,Enterobacter_sp_638
83,Leuconostoc_citreum,Facklamia_hominis
84,Alistipes_sp_CAG_831,Staphylococcus_sp_NAM3COL9
85,Arcobacter_cryaerophilus,Fusobacterium_equinum
86,Bacteroides_sartorii,Mageeibacillus_indolicus
87,Leuconostoc_gelidum,Pasteurella_canis
88,Mycoplasma_bovis,Cardiobacterium_hominis
89,Bacillus_sp_FJAT_27916,Stomatobaculum_longum
90,Thermus_scotoductus,Barnesiella_sp_An55
91,Providencia_rettgeri,Capnocytophaga_gingivalis
92,Terrisporobacter_othiniensis,Treponema_maltophilum
93,Acinetobacter_indicus,Aggregatibacter_sp_oral_taxon_458
94,Enterococcus_mundtii,Ochrobactrum_anthropi
95,Bacteroides_intestinalis,Corynebacterium_aurimucosum
96,Leuconostoc_suionicum,Treponema_denticola
97,Bacteroides_sp_43_108,Fusobacterium_periodonticum
98,Tepidimonas_fonticaldi,Helicobacter_pylori
99,Leucobacter_sp_7_1,Bacteroides_xylanolyticus
100,Flavonifractor_sp_An82,Subdoligranulum_variabile
101,Staphylococcus_sciuri,Prevotella_sp_CAG_755
102,Vibrio_fluvialis,Slackia_isoflavoniconvertens
103,Elizabethkingia_anophelis,Neisseria_macacae
104,Lactobacillus_crustorum,Atopobium_deltae
105,Brevibacterium_linens,Alloprevotella_rava
106,Staphylococcus_xylosus,Tychonema_bourrellyi
107,Kocuria_marina,Acinetobacter_johnsonii
108,Weissella_cibaria,Lactobacillus_senioris
109,Rodentibacter_heylii,Helicobacter_equorum
110,Roseburia_sp_CAG_303,Neisseria_sp_oral_taxon_014
111,Stenotrophomonas_maltophilia,Prevotella_bergensis
112,Lactobacillus_algidus,Streptococcus_sobrinus
113,Campylobacter_upsaliensis,Propionibacterium_freudenreichii
114,Citrobacter_portucalensis,Prevotella_multisaccharivorax
115,Sphingopyxis_terrae,Lactobacillus_harbinensis
116,Escherichia_fergusonii,Schwartzia_succinivorans
117,Aerococcus_viridans,Bifidobacterium_mongoliense
118,Alkaliphilus_oremlandii,Paenibacillus_sp_7884_2
119,Pseudomonas_lundensis,Prevotella_buccae
120,Pantoea_brenneri,Streptococcus_sp_oral_taxon_056
121,Methanobrevibacter_oralis,Phascolarctobacterium_sp
122,Neisseria_polysaccharea,Lactobacillus_farciminis
123,Acinetobacter_parvus,Comamonas_testosteroni
124,Chryseobacterium_sp_VAUSW3,Actinomyces_europaeus
125,Brachybacterium_alimentarium,Prevotella_oris
126,Sporanaerobacter_sp_PP17_6a,Dysgonomonas_gadei
127,Kocuria_indica,Anaeroglobus_geminatus
128,Enterococcus_phoeniculicola,Bacteroides_sp_CAG_927
129,Barnesiella_sp_An22,Lachnoclostridium_phytofermentans
130,Lactobacillus_murinus,Treponema_sp_OMZ_838
131,Ileibacterium_valens,Treponema_socranskii
132,Bifidobacterium_thermacidophilum,Lactobacillus_nodensis
133,Geobacillus_stearothermophilus,Clostridium_sp_MSTE9
134,Staphylococcus_hominis,Rhodococcus_qingshengii
135,Bacillus_haynesii,Lactobacillus_helsingborgensis
136,Citrobacter_gillenii,Prevotella_sp_F0091
137,Desulfovibrio_sp_An276,Cellulosilyticum_lentocellum
138,Acinetobacter_lwoffii,Flavobacterium_sp_FEMGT703F
139,Helicobacter_pullorum,Serratia_proteamaculans
140,Megasphaera_sp_BV3C16_1,Methanosphaera_sp_SHI1033
141,Streptococcus_pyogenes,Gemella_bergeri
142,Bacillus_cereus_group,Prevotella_melaninogenica
143,Paraburkholderia_tropica,Lactobacillus_sakei
144,Hungatella_effluvii,Morococcus_cerebrosus
145,Streptococcus_equinus,Atopobium_minutum
146,Actinotignum_timonense,Bacteroides_sp_An322
147,Ruminococcus_callidus,Vibrio_cholerae
148,Lactobacillus_otakiensis,Peptoniphilus_duerdenii
149,Kluyvera_ascorbata,Prevotella_sp_oral_taxon_473
150,Staphylococcus_pasteuri,Lactobacillus_salivarius
151,Mycolicibacterium_obuense,Eikenella_corrodens
152,Staphylococcus_kloosii,Leptotrichia_sp_oral_taxon_498
153,Enterococcus_sulfureus,Zymomonas_mobilis
154,Ruminococcus_sp_CAG_624,Clostridium_cadaveris
155,Lactobacillus_gallinarum,Streptococcus_sp_HMSC071D03
156,Ruminococcus_champanellensis,Desulfotomaculum_ruminis
157,Lysinibacillus_sp_B2A1,Mycobacterium_avium
158,Sodalis_praecaptivus,Cloacibacillus_sp_An23
159,Pseudomonas_putida_group,Prevotella_sp_CAG_617
160,Tyzzerella_sp_An114,Clostridium_argentinense
161,,Corynebacterium_kroppenstedtii
162,,Bulleidia_extructa
163,,Prevotella_sp_S7_1_8
164,,Alcaligenes_aquatilis
165,,Faecalicoccus_pleomorphus
166,,Methanobrevibacter_arboriphilus
167,,Citrobacter_sp_MGH106
168,,Anaerostipes_sp_992a
169,,Prevotella_baroniae
170,,Hafnia_alvei
171,,Corynebacterium_pyruviciproducens
172,,Lactobacillus_vaccinostercus
173,,Bacteroidetes_oral_taxon_274
174,,Lactococcus_plantarum
175,,Lactobacillus_kullabergensis
176,,Corynebacterium_urealyticum
177,,Proteus_vulgaris
178,,Centipeda_periodontii
179,,Streptococcus_sp_oral_taxon_058
180,,Prevotella_veroralis
181,,Proteus_hauseri
182,,Lactobacillus_brevis
183,,Streptococcus_macedonicus
184,,Lautropia_mirabilis
185,,Enterococcus_cecorum
186,,Corynebacterium_matruchotii
187,,Selenomonas_sp_oral_taxon_126
188,,Peptostreptococcus_anaerobius
189,,Candida_albicans
190,,Veillonella_denticariosi
191,,Streptococcus_milleri
192,,Lactobacillus_apis
193,,Streptococcus_sp_HMSC070B10
194,,Neisseria_sicca
195,,Oenococcus_oeni
196,,Lawsonella_clevelandensis
197,,Prevotella_histicola
198,,Ralstonia_pickettii
199,,Selenomonas_sp_oral_taxon_892
200,,Paludisphaera_borealis
201,,Peptoniphilus_asaccharolyticus
202,,Streptococcus_lutetiensis
203,,Giardia_intestinalis
204,,Staphylococcus_simulans
205,,Atopobium_vaginae
206,,Muribaculum_intestinale
207,,Pluralibacter_gergoviae
208,,Treponema_vincentii
209,,Campylobacter_gracilis
210,,Propionibacterium_namnetense
211,,Eubacterium_sp_68_3_10
212,,Oribacterium_sp_oral_taxon_078
213,,Veillonellaceae_bacterium_DNF00626
214,,Prevotella_denticola
215,,Moraxella_catarrhalis
216,,Faecalicatena_orotica
217,,Lachnoanaerobaculum_saburreum
218,,Oligella_ureolytica
219,,Dorea_sp_D27
220,,Catenibacterium_mitsuokai
221,,Streptococcus_sinensis
222,,Prevotella_intermedia
223,,Veillonella_seminalis
224,,Anaerococcus_tetradius
225,,Methanomassiliicoccales_archaeon_RumEn_M1
226,,Pseudomonas_fluorescens_group
227,,Tannerella_sp_oral_taxon_HOT_286
