,Healthy,Unhealthy
0,Streptococcus_gallolyticus,Lactobacillus_oris
1,Klebsiella_grimontii,Methanobrevibacter_woesei
2,Eikenella_sp_NML130454,Atlantibacter_hermannii
3,Bacteroides_pyogenes,Kosakonia_sacchari
4,Bacillus_megaterium,Lactonifactor_longoviformis
5,Bacteroides_fluxus,Marvinbryantia_formatexigens
6,Porphyromonas_endodontalis,Prevotella_sp_CAG_1124
7,Coprobacter_sp,Faecalitalea_cylindroides
8,Lachnoanaerobaculum_umeaense,Bifidobacterium_saeculare
9,Porphyromonas_uenonis,Pseudopropionibacterium_propionicum
10,Anaerocolumna_aminovalerica,Peptoniphilus_harei
11,Serratia_liquefaciens,Bacteroidales_bacterium_KA00251
12,Carnobacterium_maltaromaticum,Clostridioides_difficile
13,Anaerofilum_sp_An201,Corynebacterium_vitaeruminis
14,Weissella_halotolerans,Megamonas_funiformis_CAG_377
15,Butyricicoccus_pullicaecorum,Streptococcus_infantarius
16,Lactobacillus_plantarum,Anaerolineaceae_bacterium_oral_taxon_439
17,Hafnia_paralvei,Streptococcus_peroris
18,Lactobacillus_pentosus,Megamonas_funiformis
19,Fusobacterium_sp_CAG_439,Fusobacterium_varium
20,Selenomonas_noxia,Megasphaera_hexanoica
21,Paenibacillus_polysaccharolyticus,Clostridium_perfringens
22,Shewanella_algae,Gemmiger_sp_An50
23,Staphylococcus_equorum,Rothia_aeria
24,Firmicutes_bacterium_CAG_534,Bacteroides_sp_CAG_443
25,Neisseria_perflava,Bacteroides_sp_OM08_11
26,Acinetobacter_ursingii,Eubacterium_maltosivorans
27,Blautia_sp_N6H1_15,Fusobacterium_mortiferum
28,Haemophilus_haemolyticus,Lactobacillus_amylovorus
29,Pseudomonas_fragi,Streptococcus_sp_oral_taxon_056
30,Veillonella_sp_CAG_933,Collinsella_massiliensis
31,Aeriscardovia_aeriphila,Bacteroides_coagulans
32,Malassezia_restricta,Cronobacter_sakazakii
33,Megasphaera_sp_MJR8396C,Bacteroides_sp_CAG_462
34,Treponema_porcinum,Bacteroides_sp_CAG_661
35,Butyribacterium_methylotrophicum,Barnesiella_viscericola
36,Romboutsia_ilealis,Pyramidobacter_sp_C12_8
37,Firmicutes_bacterium_CAG_646,Lactobacillus_agilis
38,Rothia_dentocariosa,Lactobacillus_crispatus
39,Staphylococcus_gallinarum,Bacteroides_caecimuris
40,Lactobacillus_curvatus,Paeniclostridium_sordellii
41,Lachnoclostridium_sp_An298,Shuttleworthia_satelles
42,Bifidobacterium_breve,Macrococcus_caseolyticus
43,Clostridium_sp_CAG_411,Bacteroides_sp_OM05_12
44,Corynebacterium_glutamicum,Erysipelothrix_larvae
45,Actinomyces_sp_HPA0247,Gemmiger_sp_An120
46,Leuconostoc_pseudomesenteroides,Peptoniphilus_coxii
47,Prevotella_oralis,Bacteroides_sp_CAG_927
48,Actinomyces_meyeri,Lactobacillus_saerimneri
49,Citrobacter_braakii,Lactobacillus_dextrinicus
50,Prevotella_pallens,Terrisporobacter_glycolicus
51,Leuconostoc_gelidum,Candidatus_Methanomassiliicoccus_intestinalis
52,Mycoplasma_bovis,Clostridium_bolteae_CAG_59
53,Aggregatibacter_segnis,Cronobacter_malonaticus
54,Eubacterium_brachy,Desulfovibrio_fairfieldensis
55,Thermus_scotoductus,Kosakonia_cowanii
56,Bacillus_sp_FJAT_27916,Clostridium_sp_CAG_299
57,Actinomyces_odontolyticus,Sneathia_amnii
58,Tannerella_sp_oral_taxon_808,Cellulosilyticum_lentocellum
59,Eubacterium_nodatum,Megasphaera_elsdenii
60,Actinomyces_johnsonii,Negativicoccus_succinicivorans
61,Prevotella_sp_oral_taxon_306,Lactobacillus_ruminis
62,Stenotrophomonas_maltophilia,Methanosphaera_sp_SHI1033
63,Brachyspira_pilosicoli,Enterococcus_dispar
64,Lachnoclostridium_sp_An14,Haemophilus_quentini
65,Odoribacter_laneus,Pseudoramibacter_alactolyticus
66,Escherichia_fergusonii,Morococcus_cerebrosus
67,Aerococcus_viridans,Streptococcus_sp_NLAE_zl_C503
68,Oribacterium_asaccharolyticum,Clostridium_sp_SY8519
69,Porphyromonas_asaccharolytica,Porphyromonas_sp_HMSC065F10
70,Geobacillus_stearothermophilus,Atopobium_minutum
71,Leuconostoc_lactis,Megamonas_hypermegale
72,Citrobacter_gillenii,Bacteroides_sp_An322
73,Treponema_maltophilum,Streptococcus_pseudopneumoniae
74,Streptococcus_pyogenes,Cloacibacillus_evryensis
75,Aggregatibacter_sp_oral_taxon_458,Neisseria_mucosa
76,Roseburia_sp_CAG_471,Lachnoclostridium_sp_An196
77,Lactobacillus_otakiensis,Pseudocitrobacter_faecalis
78,Fusobacterium_periodonticum,Melissococcus_sp_OM08_11BH
79,Neisseria_macacae,Lactobacillus_salivarius
80,Alloprevotella_rava,Abiotrophia_sp_HMSC24B09
81,Streptococcus_massiliensis,Parabacteroides_sp_CAG_409
82,Tyzzerella_sp_An114,Bacteroides_sp_CAG_633
83,Campylobacter_jejuni,Prevotella_sp_CAG_1058
84,Aeromonas_media,Veillonella_tobetsuensis
85,Acinetobacter_johnsonii,Oribacterium_parvum
86,Staphylococcus_capitis,Actinomyces_urogenitalis
87,Butyrivibrio_crossotus,Vibrio_furnissii
88,Pseudoalteromonas_tetraodonis,Prevotella_sp_CAG_617
89,Propionibacterium_freudenreichii,Pseudomonas_helleri
90,Prevotella_multisaccharivorax,Eubacterium_callanderi
91,Enterococcus_faecium,Oxalobacter_formigenes
92,Enterococcus_devriesei,Streptococcus_pneumoniae
93,Staphylococcus_aureus,Sutterella_parvirubra
94,Prevotella_buccae,Mogibacterium_pumilum
95,Massiliomicrobiota_timonensis,Lactobacillus_panis
96,Lactobacillus_farciminis,Cardiobacterium_valvarum
97,Bifidobacterium_kashiwanohense,Prevotella_sp_S7_1_8
98,Lactobacillus_parabuchneri,Eubacterium_limosum
