,Healthy,Unhealthy
0,Scardovia_wiggsiae,Bacteroides_faecis
1,Streptococcus_gallolyticus,Lactobacillus_oris
2,Klebsiella_grimontii,Kingella_oralis
3,Bacteroides_pyogenes,Aeromonas_media
4,Brachyspira_sp_CAG_700,Atlantibacter_hermannii
5,Bacteroides_fluxus,Cetobacterium_somerae
6,Coprobacter_sp,Selenomonas_sp_FOBRC6
7,Lachnoanaerobaculum_umeaense,Selenomonas_sp_oral_taxon_138
8,Anaerocolumna_aminovalerica,Eikenella_sp_NML130454
9,Serratia_liquefaciens,Peptoniphilus_grossensis
10,Carnobacterium_maltaromaticum,Acinetobacter_johnsonii
11,Anaerofilum_sp_An201,Staphylococcus_capitis
12,Weissella_halotolerans,Tannerella_sp_oral_taxon_HOT_286
13,Alkalibacterium_thalassium,Bifidobacterium_saeculare
14,Clostridium_methylpentosum,Selenomonas_flueggei
15,Lactobacillus_plantarum,Peptoniphilus_harei
16,Hafnia_paralvei,Helicobacter_equorum
17,Fusobacterium_sp_CAG_439,Blautia_hydrogenotrophica
18,Blautia_sp_CAG_257,Limnochorda_pilosa
19,Acinetobacter_schindleri,Parvimonas_sp_oral_taxon_110
20,Bacteroides_sp_CAG_443,Clostridioides_difficile
21,Paenibacillus_polysaccharolyticus,Neisseria_sp_oral_taxon_014
22,Shewanella_algae,Leptotrichia_sp_oral_taxon_225
23,Collinsella_massiliensis,Kosakonia_radicincitans
24,Megamonas_rupellensis,Campylobacter_rectus
25,Lactobacillus_agilis,Tannerella_forsythia
26,Firmicutes_bacterium_CAG_534,Alloscardovia_omnicolens
27,Blautia_sp_N6H1_15,Dialister_pneumosintes
28,Cronobacter_malonaticus,Helicobacter_winghamensis
29,Enterobacter_soli,Campylobacter_coli
30,Pseudomonas_fragi,Megamonas_funiformis_CAG_377
31,Actinomyces_cardiffensis,Streptococcus_infantarius
32,Enterococcus_dispar,Prevotella_multisaccharivorax
33,Malassezia_restricta,Prevotella_timonensis
34,Megasphaera_sp_MJR8396C,Lactobacillus_iners
35,Pseudoramibacter_alactolyticus,Neisseria_subflava
36,Treponema_porcinum,Streptococcus_mutans
37,Clostridium_sp_SY8519,Streptococcus_peroris
38,Butyribacterium_methylotrophicum,Lactobacillus_versmoldensis
39,Enterococcus_asini,Leptotrichia_sp_oral_taxon_215
40,Porphyromonas_sp_HMSC065F10,Lactobacillus_pentosus
41,Enterococcus_faecalis,Staphylococcus_aureus
42,Ruminococcus_sp_CAG_488,Lachnospiraceae_bacterium_oral_taxon_096
43,Firmicutes_bacterium_CAG_646,Selenomonas_noxia
44,Rothia_dentocariosa,Clostridium_perfringens
45,Pseudocitrobacter_faecalis,Gemmiger_sp_An50
46,Mitsuokella_jalaludinii,Prevotella_buccae
47,Lachnoclostridium_sp_An298,Fusobacterium_sp_oral_taxon_370
48,Abiotrophia_sp_HMSC24B09,Campylobacter_mucosalis
49,Lactococcus_raffinolactis,Bifidobacterium_kashiwanohense
50,Prevotella_sp_CAG_1058,Phyllobacterium_myrsinacearum
51,Bifidobacterium_breve,Leuconostoc_carnosum
52,Clostridium_sp_CAG_411,Bacteroides_oleiciplenus
53,Parabacteroides_sp_426_9,Mycoplasma_hominis
54,Eubacterium_callanderi,Lachnoclostridium_sp_An169
55,Corynebacterium_durum,Prevotella_oris
56,Actinomyces_sp_HPA0247,Acholeplasma_oculi
57,Corynebacterium_glutamicum,Paeniclostridium_sordellii
58,Leuconostoc_pseudomesenteroides,Shuttleworthia_satelles
59,Actinomyces_meyeri,Clostridium_neonatale
60,Leuconostoc_gelidum,Neisseria_perflava
61,Mycoplasma_bovis,Anaeroglobus_geminatus
62,Bacillus_sp_FJAT_27916,Bacteroides_sp_CAG_927
63,Eubacterium_brachy,Lactobacillus_saerimneri
64,Thermus_scotoductus,Peptoniphilus_coxii
65,Eubacterium_infirmum,Bacteroides_sp_CAG_144
66,Actinobaculum_sp_oral_taxon_183,Haemophilus_aegyptius
67,Acinetobacter_indicus,Prevotella_oulorum
68,Actinomyces_odontolyticus,Treponema_socranskii
69,Acinetobacter_junii,Lactobacillus_nodensis
70,Eubacterium_nodatum,Bifidobacterium_pullorum
71,Parascardovia_denticolens,Haemophilus_parahaemolyticus
72,Actinomyces_johnsonii,Lactobacillus_ingluviei
73,Prevotella_corporis,Haemophilus_haemolyticus
74,Stenotrophomonas_maltophilia,Prevotella_sp_F0091
75,Brachyspira_pilosicoli,Aerococcus_urinaeequi
76,Odoribacter_laneus,Slackia_exigua
77,Escherichia_fergusonii,Sneathia_amnii
78,Oribacterium_asaccharolyticum,Leptotrichia_wadei
79,Clostridium_sp_CAG_167,Veillonella_sp_CAG_933
80,Geobacillus_stearothermophilus,Aggregatibacter_aphrophilus
81,Firmicutes_bacterium_CAG_170,Gemella_bergeri
82,Eisenbergiella_tayi,Peptostreptococcus_stomatis
83,Bacteroides_sp_CAG_598,Peptostreptococcus_sp_MV1
84,Alistipes_indistinctus,Haemophilus_quentini
85,Citrobacter_gillenii,Prevotella_jejuni
86,Streptococcus_pyogenes,Veillonella_rogosae
87,Lactobacillus_otakiensis,Prevotella_melaninogenica
88,Prevotella_sp_CAG_755,Leptotrichia_buccalis
89,Streptococcus_massiliensis,Aeromonas_caviae
90,Tyzzerella_sp_An114,Lactobacillus_sakei
91,Phascolarctobacterium_succinatutens,Morococcus_cerebrosus
92,Sellimonas_intestinalis,Streptococcus_sp_NLAE_zl_C503
93,Prevotella_sp_CAG_1124,Prevotella_scopos
94,Butyrivibrio_crossotus,Clostridium_celatum
95,Pseudoalteromonas_tetraodonis,Prevotella_salivae
96,Anaerobiospirillum_thomasii,Lactobacillus_coryniformis
97,Enterococcus_devriesei,Klebsiella_quasivariicola
98,Megasphaera_hexanoica,Lachnoclostridium_sp_An196
99,Eubacterium_maltosivorans,Neisseria_mucosa
100,Lachnospiraceae_bacterium_2_1_46FAA,Romboutsia_hominis
101,Lactobacillus_farciminis,Haemophilus_sputorum
102,Lactobacillus_parabuchneri,Campylobacter_showae
103,Granulicatella_adiacens,Staphylococcus_gallinarum
104,Dysgonomonas_gadei,Lactobacillus_curvatus
105,Bacteroides_sp_OM05_12,Peptoniphilus_duerdenii
