,Healthy,Unhealthy
0,Bacteroides_salyersiae,Clostridium_sp_CAG_632
1,Lactobacillus_oris,Phascolarctobacterium_succinatutens
2,Scardovia_wiggsiae,Eubacterium_sp_CAG_251
3,Eikenella_sp_NML130454,Bacteroides_sp_CAG_530
4,Bacteroides_pyogenes,Streptococcus_gallolyticus
5,Faecalitalea_cylindroides,Cetobacterium_somerae
6,Bacteroides_fluxus,Pseudomonas_fluorescens_group
7,Bifidobacterium_saeculare,Treponema_succinifaciens
8,Peptoniphilus_harei,Acinetobacter_johnsonii
9,Coprobacter_sp,Brachyspira_sp_CAG_700
10,Porphyromonas_uenonis,Staphylococcus_capitis
11,Porphyromonas_endodontalis,Butyrivibrio_crossotus
12,Anaerocolumna_aminovalerica,Pseudopropionibacterium_propionicum
13,Serratia_liquefaciens,Coprococcus_eutactus
14,Streptococcus_salivarius,Anaerobiospirillum_thomasii
15,Carnobacterium_maltaromaticum,Ruminococcus_sp_CAG_579
16,Gemella_sanguinis,Campylobacter_coli
17,Anaerofilum_sp_An201,Megamonas_funiformis_CAG_377
18,Streptococcus_infantis,Streptococcus_infantarius
19,Parasutterella_excrementihominis,Firmicutes_bacterium_CAG_791
20,Alkalibacterium_thalassium,Acinetobacter_bereziniae
21,Butyricicoccus_pullicaecorum,Firmicutes_bacterium_CAG_110
22,Clostridium_methylpentosum,Lactobacillus_pentosus
23,Lactobacillus_plantarum,Acinetobacter_schindleri
24,Anaerostipes_hadrus,Comamonas_kerstersii
25,Clostridium_saccharolyticum,Eubacterium_coprostanoligenes
26,Hafnia_paralvei,Acinetobacter_towneri
27,Fusobacterium_sp_CAG_439,Comamonas_testosteroni
28,Blautia_sp_CAG_257,Lactobacillus_agilis
29,Selenomonas_noxia,Firmicutes_bacterium_CAG_534
30,Rothia_aeria,Firmicutes_bacterium_CAG_238
31,Bacteroides_sp_CAG_443,Blastocystis_sp_subtype_1
32,Lactobacillus_amylovorus,Butyrivibrio_sp_CAG_318
33,Paenibacillus_polysaccharolyticus,Paeniclostridium_sordellii
34,Megamonas_rupellensis,Ruminococcus_obeum_CAG_39
35,Staphylococcus_equorum,Acinetobacter_ursingii
36,Cronobacter_sakazakii,Prevotella_sp_CAG_873
37,Bacteroides_sp_CAG_462,Prevotella_sp_CAG_5226
38,Neisseria_perflava,Mesorhizobium_sp_UASWS1009
39,Blautia_sp_N6H1_15,Lactobacillus_animalis
40,Parabacteroides_johnsonii,Rhodococcus_qingshengii
41,Clostridium_citroniae,Roseburia_sp_831b
42,Intestinibacter_bartlettii,Firmicutes_bacterium_CAG_95
43,Bifidobacterium_pullorum,Negativicoccus_succinicivorans
44,Cronobacter_malonaticus,Bifidobacterium_merycicum
45,Haemophilus_haemolyticus,Pseudomonas_yamanorum
46,Olsenella_scatoligenes,Lactobacillus_ruminis
47,Leptotrichia_wadei,Candidatus_Gastranaerophilales_bacterium_HUM_9
48,Pseudomonas_fragi,Morococcus_cerebrosus
49,Actinomyces_cardiffensis,Comamonas_aquatica
50,Hungatella_hathewayi,Treponema_porcinum
51,Eubacterium_ramulus,Ruminococcus_sp_CAG_488
52,Aeriscardovia_aeriphila,Neisseria_mucosa
53,Murimonas_intestini,Oscillibacter_sp_57_20
54,Bacteroides_fragilis,Vibrio_cholerae
55,Enterococcus_dispar,Eubacterium_sp_CAG_180
56,Haemophilus_quentini,Prevotella_sp_AM42_24
57,Malassezia_restricta,Kluyvera_georgiana
58,Alistipes_timonensis,Zymomonas_mobilis
59,Megasphaera_sp_MJR8396C,Lactococcus_petauri
60,Coprobacter_fastidiosus,Clostridium_sp_CAG_411
61,Pseudoramibacter_alactolyticus,Desulfovibrio_piger
62,Butyribacterium_methylotrophicum,Streptococcus_salivarius_CAG_79
63,Enterococcus_asini,Clostridium_sp_CAG_510
64,Porphyromonas_sp_HMSC065F10,Bacteroides_pectinophilus
65,Streptococcus_pseudopneumoniae,Variovorax_paradoxus
66,Firmicutes_bacterium_CAG_646,Treponema_berlinense
67,Romboutsia_ilealis,Stenotrophomonas_rhizophila
68,Rothia_dentocariosa,Klebsiella_variicola_CAG_634
69,Pseudocitrobacter_faecalis,Helicobacter_sp_11_8110
70,Campylobacter_showae,Actinomyces_meyeri
71,Staphylococcus_gallinarum,Cutibacterium_acnes
72,Lactobacillus_curvatus,Lactococcus_garvieae
73,Mitsuokella_jalaludinii,Enterococcus_thailandicus
74,Abiotrophia_sp_HMSC24B09,Clostridium_baratii
75,Lactococcus_raffinolactis,Bifidobacterium_ruminantium
