,Healthy,Unhealthy
0,Scardovia_wiggsiae,Bacteroides_salyersiae
1,Streptococcus_gallolyticus,Bacteroides_faecis
2,Eikenella_sp_NML130454,Eubacterium_sp_CAG_251
3,Brachyspira_sp_CAG_700,Pedobacter_himalayensis
4,Bacteroides_fluxus,Coprobacter_sp
5,Bifidobacterium_saeculare,Bacteroidales_bacterium_KA00251
6,Peptoniphilus_harei,Coprococcus_eutactus
7,Lachnoanaerobaculum_umeaense,Parasutterella_excrementihominis
8,Porphyromonas_uenonis,Megamonas_funiformis_CAG_377
9,Porphyromonas_endodontalis,Prevotella_timonensis
10,Serratia_liquefaciens,Lactobacillus_iners
11,Carnobacterium_maltaromaticum,Lactobacillus_harbinensis
12,Gemella_sanguinis,Megamonas_funiformis
13,Anaerofilum_sp_An201,Weissella_viridescens
14,Streptococcus_infantis,Escherichia_albertii
15,Alkalibacterium_thalassium,Paenibacillus_sp_7884_2
16,Butyricicoccus_pullicaecorum,Lactobacillus_antri
17,Clostridium_methylpentosum,Bifidobacterium_pseudolongum
18,Lactobacillus_plantarum,Bacteroides_caccae
19,Clostridium_saccharolyticum,Cronobacter_sakazakii
20,Hafnia_paralvei,Lactobacillus_agilis
21,Selenomonas_noxia,Butyrivibrio_sp_CAG_318
22,Acinetobacter_schindleri,Peptoniphilus_coxii
23,Rothia_aeria,Blautia_sp_N6H1_15
24,Bacteroides_sp_CAG_443,Prevotella_sp_CAG_5226
25,Lactobacillus_amylovorus,Alistipes_sp_An31A
26,Shewanella_algae,Parabacteroides_johnsonii
27,Collinsella_massiliensis,Candidatus_Methanomassiliicoccus_intestinalis
28,Megamonas_rupellensis,Lactobacillus_animalis
29,Staphylococcus_equorum,Bacteroides_stercoris
30,Bacteroides_sp_CAG_462,Oscillibacter_sp_PC13
31,Firmicutes_bacterium_CAG_534,Lactobacillus_rogosae
32,Neisseria_perflava,Sneathia_amnii
33,Intestinibacter_bartlettii,Cloacibacterium_normanense
34,Bifidobacterium_pullorum,Barnesiella_intestinihominis
35,Cronobacter_malonaticus,Lactobacillus_ruminis
36,Haemophilus_haemolyticus,Proteobacteria_bacterium_CAG_139
37,Olsenella_scatoligenes,Turicimonas_muris
38,Leptotrichia_wadei,Dialister_sp_CAG_357
39,Pseudomonas_fragi,Acidaminococcus_intestini
40,Actinomyces_cardiffensis,Alistipes_timonensis
41,Aeriscardovia_aeriphila,Coprobacter_fastidiosus
42,Enterococcus_dispar,Clostridium_sp_CAG_58
43,Haemophilus_quentini,Lachnospira_pectinoschiza
44,Malassezia_restricta,Porphyromonas_sp_HMSC065F10
45,Pseudoramibacter_alactolyticus,Megamonas_hypermegale
46,Butyribacterium_methylotrophicum,Bacteroides_faecichinchillae
47,Enterococcus_asini,Oscillibacter_sp_57_20
48,Enterococcus_faecalis,Bacteroides_massiliensis
49,Streptococcus_pseudopneumoniae,Eubacterium_sp_CAG_180
50,Romboutsia_ilealis,Lactococcus_piscium
51,Rothia_dentocariosa,Firmicutes_bacterium_CAG_424
52,Pseudocitrobacter_faecalis,Melissococcus_sp_OM08_11BH
53,Campylobacter_showae,Lactococcus_raffinolactis
54,Staphylococcus_gallinarum,Eubacterium_siraeum
55,Lactobacillus_curvatus,Bacteroides_sp_CAG_633
56,Abiotrophia_sp_HMSC24B09,Bacillus_coagulans
57,Prevotella_sp_CAG_1058,Ruminococcus_bicirculans
58,Bifidobacterium_breve,Monoglobus_pectinilyticus
59,Clostridium_sp_CAG_411,Mycobacterium_avium
60,Veillonella_tobetsuensis,Bacteroides_pectinophilus
61,Parabacteroides_sp_426_9,Alistipes_finegoldii
62,Haemophilus_parainfluenzae,Raoultella_terrigena
63,Eubacterium_callanderi,Prevotella_sp_CAG_617
64,Streptococcus_pneumoniae,Streptococcus_suis
65,Corynebacterium_durum,Citrobacter_pasteurii
66,Actinomyces_sp_HPA0247,Bacteroides_cellulosilyticus
67,Corynebacterium_glutamicum,Bifidobacterium_pseudocatenulatum
68,Prevotella_sp_CAG_1185,Varibaculum_cambriense
69,Leuconostoc_pseudomesenteroides,Clostridium_lavalense
70,Cardiobacterium_valvarum,Bacteroides_eggerthii
71,Prevotella_oralis,Bacteroides_dorei
72,Actinomyces_meyeri,Citrobacter_braakii
73,Actinomyces_graevenitzii,Lactobacillus_pontis
74,Streptococcus_cristatus,Anaerotruncus_colihominis
75,Streptococcus_oralis,Citrobacter_sp_MGH106
76,Streptococcus_sp_HMSC067H01,Prevotella_colorans
77,Prevotella_pallens,Anaerotruncus_sp_CAG_528
78,Leuconostoc_gelidum,Dielma_fastidiosa
79,Clostridium_butyricum,Bacteroides_intestinalis
80,Aggregatibacter_segnis,Bacteroides_faecis_CAG_32
81,Eubacterium_brachy,Dialister_succinatiphilus
82,Bacillus_sp_FJAT_27916,Campylobacter_hominis
83,Eubacterium_infirmum,Alistipes_onderdonkii
84,Thermus_scotoductus,Clostridium_ventriculi
85,Actinobaculum_sp_oral_taxon_183,Stenotrophomonas_maltophilia
86,Haemophilus_paraphrohaemolyticus,Helicobacter_cinaedi
87,Acinetobacter_indicus,Bacteroides_galacturonicus
88,Lactobacillus_reuteri,Prevotella_sp_CAG_924
89,Collinsella_intestinalis,Escherichia_marmotae
90,Actinomyces_odontolyticus,Odoribacter_laneus
91,Acinetobacter_junii,Akkermansia_muciniphila
92,Tannerella_sp_oral_taxon_808,Prevotella_sp_CAG_891
93,Carnobacterium_divergens,Lactobacillus_kefiranofaciens
94,Eubacterium_nodatum,Alkaliphilus_oremlandii
95,Parascardovia_denticolens,Ruminococcus_lactaris
96,Actinomyces_johnsonii,Bacteroides_coprophilus
97,Prevotella_sp_oral_taxon_306,Pseudomonas_lundensis
98,Bifidobacterium_gallinarum,Lactobacillus_acidophilus
99,Clostridium_aldenense,Paraprevotella_xylaniphila
100,Holdemanella_biformis,Dialister_micraerophilus
101,Brachyspira_pilosicoli,Clostridium_sp_CAG_167
102,Lachnoclostridium_sp_An14,Ruminococcus_sp_CAG_403
103,Escherichia_fergusonii,Fusobacterium_equinum
104,Streptococcus_sp_HPH0090,Providencia_alcalifaciens
105,Oribacterium_asaccharolyticum,Paraprevotella_clara
106,Geobacillus_stearothermophilus,Leclercia_adecarboxylata
107,Firmicutes_bacterium_CAG_170,Prevotella_sp_CAG_1031
108,Stomatobaculum_longum,Bacteroides_sp_CAG_598
109,Treponema_maltophilum,Leuconostoc_lactis
110,Aggregatibacter_sp_oral_taxon_458,Serratia_rubidaea
111,Lactobacillus_otakiensis,Muribaculum_intestinale
112,Fusobacterium_periodonticum,Alistipes_putredinis
