,Healthy,Unhealthy
0,Streptococcus_gallolyticus,Pedobacter_himalayensis
1,Klebsiella_grimontii,Lactobacillus_oris
2,Eikenella_sp_NML130454,Atlantibacter_hermannii
3,Bacteroides_pyogenes,Lactobacillus_paraplantarum
4,Brachyspira_sp_CAG_700,Veillonella_criceti
5,Bacillus_megaterium,Bacteroidales_bacterium_KA00251
6,Porphyromonas_endodontalis,Acidaminococcus_sp_CAG_542
7,Coprobacter_sp,Lachnoanaerobaculum_umeaense
8,Porphyromonas_uenonis,Peptoniphilus_harei
9,Bacillus_aerius,Neisseria_sp_oral_taxon_014
10,Anaerocolumna_aminovalerica,Serratia_liquefaciens
11,Carnobacterium_maltaromaticum,Tissierellia_bacterium_KA00581
12,Bacillus_stratosphericus,Propionibacterium_freudenreichii
13,Gemella_sanguinis,Prevotella_multisaccharivorax
14,Anaerofilum_sp_An201,Lactobacillus_iners
15,Streptococcus_infantis,Olsenella_profusa
16,Alkalibacterium_thalassium,Streptococcus_sp_SK643
17,Butyricicoccus_pullicaecorum,Lactobacillus_plantarum
18,Lactobacillus_versmoldensis,Dickeya_fangzhongdai
19,Lactobacillus_pentosus,Lactobacillus_pantheris
20,Selenomonas_noxia,Fusobacterium_sp_CAG_439
21,Gemmiger_sp_An50,Bacteroides_sp_CAG_443
22,Acinetobacter_schindleri,Eubacterium_maltosivorans
23,Rothia_aeria,Lactobacillus_amylovorus
24,Comamonas_kerstersii,Acidaminococcus_fermentans
25,Megamonas_rupellensis,Phascolarctobacterium_sp
26,Staphylococcus_equorum,Collinsella_massiliensis
27,Lactobacillus_agilis,Lactobacillus_antri
28,Firmicutes_bacterium_CAG_534,Lactobacillus_farciminis
29,Kluyvera_intestini,Pseudoflavonifractor_sp_An85
30,Acinetobacter_ursingii,Bacteroides_sp_CAG_661
31,Blautia_sp_N6H1_15,Bacteroides_sp_CAG_462
32,Cronobacter_malonaticus,Pyramidobacter_sp_C12_8
33,Haemophilus_haemolyticus,Firmicutes_bacterium_CAG_555
34,Kosakonia_cowanii,Dysgonomonas_gadei
35,Leptotrichia_wadei,Megasphaera_sp_DISK_18
36,Enterobacter_soli,Peptoniphilus_coxii
37,Pseudomonas_fragi,Bacteroides_sp_CAG_927
38,Actinomyces_cardiffensis,Lactobacillus_saerimneri
39,Veillonella_sp_CAG_933,Prevotella_sp_CAG_873
40,Murimonas_intestini,Anaerococcus_prevotii
41,Enterococcus_dispar,Enhydrobacter_aerosaccus
42,Haemophilus_quentini,Lachnoclostridium_phytofermentans
43,Malassezia_restricta,Bifidobacterium_pullorum
44,Pseudoramibacter_alactolyticus,Candidatus_Methanomassiliicoccus_intestinalis
45,Treponema_porcinum,Anaerococcus_hydrogenalis
46,Clostridium_sp_SY8519,Clostridium_sp_MSTE9
47,Butyribacterium_methylotrophicum,Lactobacillus_animalis
48,Streptococcus_pseudopneumoniae,Acinetobacter_pittii
49,Romboutsia_ilealis,Roseburia_sp_CAG_309
50,Firmicutes_bacterium_CAG_646,Lactobacillus_ultunensis
51,Klebsiella_variicola,Moraxella_osloensis
52,Rothia_dentocariosa,Lactobacillus_kitasatonis
53,Rahnella_aquatilis,Serratia_ureilytica
54,Campylobacter_showae,Negativicoccus_succinicivorans
55,Staphylococcus_gallinarum,Aeriscardovia_aeriphila
56,Melissococcus_sp_OM08_11BH,Butyricicoccus_porcorum
57,Lachnoclostridium_sp_An298,Weissella_minor
58,Abiotrophia_sp_HMSC24B09,Lactobacillus_ruminis
59,Lactococcus_raffinolactis,Peptostreptococcus_sp_MV1
60,Veillonella_tobetsuensis,Corynebacterium_amycolatum
61,Haemophilus_parainfluenzae,Acidaminococcus_intestini
62,Streptococcus_pneumoniae,Megasphaera_sp_MJR8396C
63,Corynebacterium_durum,Desulfovibrionaceae_bacterium
64,Corynebacterium_glutamicum,Porphyromonas_canoris
65,Prevotella_oralis,Porphyromonas_sp_HMSC065F10
66,Actinomyces_meyeri,Atopobium_minutum
67,Actinomyces_graevenitzii,Lachnoclostridium_sp_An196
68,Streptococcus_cristatus,Pseudocitrobacter_faecalis
69,Citrobacter_braakii,Lactobacillus_curvatus
70,Streptococcus_oralis,Mitsuokella_jalaludinii
71,Streptococcus_sp_HMSC067H01,Peptoniphilus_duerdenii
72,Prevotella_pallens,Prevotella_sp_oral_taxon_376
73,Leuconostoc_gelidum,Firmicutes_bacterium_CAG_424
74,Mycoplasma_bovis,Pediococcus_pentosaceus
75,Clostridium_butyricum,Bacteroides_sp_CAG_633
76,Aggregatibacter_segnis,Candida_tropicalis
77,Eubacterium_brachy,Clostridium_sp_CAG_411
78,Bacillus_sp_FJAT_27916,Cloacibacillus_sp_An23
79,Eubacterium_infirmum,Prevotella_sp_CAG_617
80,Thermus_scotoductus,Varibaculum_cambriense
81,Haemophilus_paraphrohaemolyticus,Clostridium_argentinense
82,Acinetobacter_indicus,Plesiomonas_shigelloides
83,Enterococcus_mundtii,Prevotella_sp_S7_1_8
