,Healthy,Unhealthy
0,Clostridium_sp_CAG_632,Kingella_oralis
1,Pedobacter_himalayensis,Lactobacillus_oris
2,Methanobrevibacter_woesei,Scardovia_wiggsiae
3,Selenomonas_sp_FOBRC6,Atlantibacter_hermannii
4,Corynebacterium_flavescens,Streptococcus_gallolyticus
5,Kosakonia_sacchari,Eikenella_sp_NML130454
6,Pseudomonas_fluorescens_group,Bacteroides_pyogenes
7,Treponema_succinifaciens,Klebsiella_grimontii
8,Actinomyces_georgiae,Faecalitalea_cylindroides
9,Klebsiella_quasipneumoniae,Bifidobacterium_saeculare
10,Bacillus_megaterium,Peptoniphilus_harei
11,Staphylococcus_capitis,Lachnoanaerobaculum_umeaense
12,Parabacteroides_chinchillae,Porphyromonas_uenonis
13,Clostridium_sp_CAG_678,Porphyromonas_endodontalis
14,Selenomonas_flueggei,Serratia_liquefaciens
15,Coprobacter_sp,Gemella_sanguinis
16,Bacillus_aerius,Anaerofilum_sp_An201
17,Gardnerella_vaginalis,Streptococcus_infantis
18,Pyrococcus_yayanosii,Campylobacter_coli
19,Pseudoalteromonas_tetraodonis,Clostridium_methylpentosum
20,Bacillus_stratosphericus,Leptotrichia_sp_oral_taxon_215
21,Anaerobiospirillum_thomasii,Selenomonas_noxia
22,Ruminococcus_sp_CAG_579,Gemmiger_sp_An50
23,Prevotella_sp_MGM2,Methanobacterium_sp_MB1
24,Parasutterella_excrementihominis,Shewanella_algae
25,Megamonas_funiformis_CAG_377,Staphylococcus_equorum
26,Streptococcus_infantarius,Escherichia_sp_ESNIH1
27,Weissella_halotolerans,Neisseria_perflava
28,Alkalibacterium_thalassium,Bifidobacterium_pullorum
29,Photobacterium_damselae,Haemophilus_haemolyticus
30,Firmicutes_bacterium_CAG_791,Olsenella_scatoligenes
31,Prevotella_sp_CAG_485,Leptotrichia_wadei
32,Lactobacillus_versmoldensis,Actinomyces_cardiffensis
33,Escherichia_albertii,Veillonella_sp_CAG_933
34,Acinetobacter_schindleri,Enterococcus_dispar
35,Eubacterium_maltosivorans,Haemophilus_quentini
36,Comamonas_kerstersii,Malassezia_restricta
37,Paenibacillus_polysaccharolyticus,Megasphaera_sp_MJR8396C
38,Eubacterium_coprostanoligenes,Pseudoramibacter_alactolyticus
39,Lachnospiraceae_bacterium_2_1_46FAA,Clostridium_sp_SY8519
40,Collinsella_massiliensis,Butyribacterium_methylotrophicum
41,Lactobacillus_farciminis,Enterococcus_faecalis
42,Megamonas_rupellensis,Lachnoclostridium_sp_An196
43,Phyllobacterium_myrsinacearum,Rothia_dentocariosa
44,Clostridium_sp_CAG_253,Campylobacter_showae
45,Bacteroides_oleiciplenus,Lactobacillus_curvatus
46,Barnesiella_viscericola,Mitsuokella_jalaludinii
47,Lactobacillus_agilis,Anaerosporobacter_mobilis
48,Mycoplasma_hominis,Lachnoclostridium_sp_An298
49,Firmicutes_bacterium_CAG_534,Abiotrophia_sp_HMSC24B09
50,Firmicutes_bacterium_CAG_555,Eubacterium_callanderi
51,Blastocystis_sp_subtype_1,Streptococcus_pneumoniae
52,Butyrivibrio_sp_CAG_318,Corynebacterium_durum
53,Lactobacillus_mindensis,Actinomyces_sp_HPA0247
54,Bacteroides_caecimuris,Raoultella_ornithinolytica
55,Macrococcus_caseolyticus,Methanobacterium_formicicum
56,Bacteroides_sp_OM05_12,Lactobacillus_panis
57,Gemmiger_sp_An120,Leuconostoc_pseudomesenteroides
58,Acinetobacter_ursingii,Cardiobacterium_valvarum
59,Enhydrobacter_aerosaccus,Prevotella_oralis
60,Clostridium_sp_MSTE9,Actinomyces_graevenitzii
61,Lactobacillus_animalis,Streptococcus_cristatus
62,Rhodococcus_qingshengii,Citrobacter_braakii
63,Roseburia_sp_831b,Streptococcus_oralis
64,Cronobacter_malonaticus,Streptococcus_sp_HMSC067H01
65,Desulfovibrio_fairfieldensis,Prevotella_pallens
66,Prevotella_sp_F0091,Lactobacillus_gasseri
67,Acinetobacter_pittii,Clostridium_butyricum
68,Kosakonia_cowanii,Aggregatibacter_segnis
69,Corynebacterium_variabile,Eubacterium_brachy
70,Aerococcus_urinaeequi,Eubacterium_infirmum
71,Sneathia_amnii,Actinobaculum_sp_oral_taxon_183
72,Moraxella_osloensis,Lactobacillus_reuteri
73,Enterobacter_soli,Clostridium_clostridioforme
74,Clostridium_sp_CAG_299,Actinomyces_odontolyticus
75,Pseudomonas_fragi,Tannerella_sp_oral_taxon_808
76,Cloacibacterium_normanense,Eubacterium_nodatum
77,Candidatus_Stoquefichus_sp_KLE1796,Parascardovia_denticolens
78,Megasphaera_cerevisiae,Prevotella_sp_oral_taxon_306
79,Bifidobacterium_merycicum,Bifidobacterium_gallinarum
80,Pseudomonas_yamanorum,Jonquetella_anthropi
81,Dysgonomonas_mossii,Lelliottia_jeotgali
82,Candidatus_Gastranaerophilales_bacterium_HUM_9,Brachyspira_pilosicoli
83,Proteobacteria_bacterium_CAG_139,Lachnoclostridium_sp_An14
84,Turicimonas_muris,Eremococcus_coleocola
85,Dialister_sp_CAG_357,Odoribacter_laneus
86,Bacillus_altitudinis,Klebsiella_oxytoca
87,Phytobacter_ursingii,Streptococcus_sp_HPH0090
88,Corynebacterium_casei,Robinsoniella_sp_RHS
89,Meiothermus_silvanus,Facklamia_hominis
90,Morococcus_cerebrosus,Oribacterium_asaccharolyticum
91,Comamonas_aquatica,Porphyromonas_asaccharolytica
92,Treponema_porcinum,Staphylococcus_sp_NAM3COL9
93,Aspergillus_cristatus,Fusobacterium_equinum
94,Ruminococcus_sp_CAG_488,Mageeibacillus_indolicus
95,Bacteroides_faecichinchillae,Pasteurella_canis
96,Klebsiella_variicola,Cardiobacterium_hominis
