Healthy,Unhealthy
Mycolicibacterium_obuense,Bifidobacterium_pseudolongum
Dysgonomonas_sp_37_18,Bifidobacterium_gallinarum
Vibrio_fluvialis,Bacteroides_salanitronis
Parabacteroides_chinchillae,Actinomyces_oris
Staphylococcus_sciuri,Dialister_micraerophilus
Methanosphaera_stadtmanae,Actinomyces_naeslundii
Pseudoalteromonas_tetraodonis,Fusobacterium_periodonticum
Leuconostoc_citreum,Campylobacter_rectus
Streptococcus_equinus,Bacteroides_heparinolyticus
Bacteroides_sp_OM05_12,Finegoldia_magna
Candidatus_Gastranaerophilales_bacterium_HUM_9,Firmicutes_bacterium_CAG_94
Lactococcus_piscium,Haemophilus_influenzae
Clostridium_sp_chh4_2,Clostridium_sp_MSTE9
Citrobacter_portucalensis,Granulicatella_adiacens
Megasphaera_hexanoica,Eisenbergiella_tayi
Staphylococcus_hominis,Alloscardovia_omnicolens
Streptococcus_pyogenes,Corynebacterium_durum
Lactobacillus_mindensis,Fusobacterium_necrophorum
Eubacterium_sp_CAG_786,Bifidobacterium_pullorum
Citrobacter_koseri,Enterococcus_casseliflavus
Dysgonomonas_gadei,Centipeda_periodontii
Staphylococcus_capitis,Facklamia_hominis
Leuconostoc_suionicum,Citrobacter_farmeri
Kluyvera_ascorbata,Helicobacter_pylori
Terrisporobacter_othiniensis,Fusobacterium_gonidiaformans
Prevotella_sp_CAG_1058,Actinomyces_cardiffensis
Leuconostoc_gelidum,Actinomyces_sp_HMSC035G02
Staphylococcus_xylosus,Haemophilus_haemolyticus
Enterococcus_canis,Eikenella_corrodens
Pantoea_dispersa,Alistipes_sp_An66
Desulfovibrio_fairfieldensis,Anaerococcus_vaginalis
Ruminococcus_champanellensis,Bifidobacterium_moukalabense
Acinetobacter_parvus,Criibacterium_bergeronii
Bifidobacterium_kashiwanohense,Campylobacter_mucosalis
Clostridium_neonatale,Actinomyces_sp_oral_taxon_181
Bifidobacterium_ruminantium,Aeriscardovia_aeriphila
Aerococcus_urinaeequi,Haemophilus_paraphrohaemolyticus
Kluyvera_cryocrescens,Campylobacter_gracilis
Ruminococcus_sp_CAG_579,Firmicutes_bacterium_CAG_424
Bacillus_cereus_group,Fusobacterium_sp_oral_taxon_370
Bacteroides_faecichinchillae,Campylobacter_concisus
Corynebacterium_glutamicum,Cardiobacterium_hominis
Flavonifractor_sp_An82,Eubacterium_nodatum
Bacteroides_intestinalis,Aeromonas_hydrophila
Pyrococcus_yayanosii,Gemella_haemolysans
Corynebacterium_variabile,Campylobacter_ureolyticus
Pseudomonas_lundensis,Campylobacter_curvus
Enterobacter_soli,Clostridium_ventriculi
Staphylococcus_kloosii,Clostridium_hylemonae
Geobacillus_stearothermophilus,Alistipes_sp_CHKCI003
Candidatus_Stoquefichus_sp_KLE1796,Eubacterium_saphenum
Bacteroides_sartorii,Actinomyces_hongkongensis
Coprobacter_sp,Brachyspira_pilosicoli
Pseudomonas_fragi,Arcobacter_butzleri
Lactobacillus_algidus,Gemella_asaccharolytica
Aerococcus_viridans,Bacteroides_sp_CAG_530
Hungatella_effluvii,Clostridium_sp_SY8519
Helicobacter_pullorum,Campylobacter_coli
Prevotella_sp_CAG_924,Edwardsiella_tarda
Roseburia_sp_CAG_303,Desulfovibrionaceae_bacterium
Lactobacillus_acidipiscis,Flavobacterium_sp_FEMGT703F
Megamonas_rupellensis,Giardia_intestinalis
Bacillus_sp_FJAT_27916,Haemophilus_quentini
Dialister_sp_CAG_357,Hafnia_alvei
Kocuria_indica,Atlantibacter_hermannii
Bacteroides_pectinophilus,Filifactor_alocis
Kosakonia_sacchari,Corynebacterium_matruchotii
Lactococcus_raffinolactis,Firmicutes_bacterium_CAG_791
Bacteroides_oleiciplenus,Clostridium_methylpentosum
Bacteroides_caecimuris,Eubacterium_infirmum
Elizabethkingia_anophelis,Gemella_morbillorum
Escherichia_fergusonii,Acidaminococcus_fermentans
Ruminococcus_sp_CAG_624,Actinomyces_massiliensis
Mycoplasma_bovis,Eubacterium_brachy
Clostridium_sp_CAG_299,Campylobacter_showae
Lactobacillus_pentosus,Eggerthia_catenaformis
Bacteroidetes_bacterium_oral_taxon_272,Actinomyces_sp_S6_Spd3
Comamonas_kerstersii,Alloprevotella_rava
Phytobacter_ursingii,Aggregatibacter_segnis
Enterococcus_malodoratus,Eubacterium_coprostanoligenes
Aeromonas_caviae,Eubacterium_limosum
Bosea_vaviloviae,Corynebacterium_accolens
Carnobacterium_maltaromaticum,Eubacterium_callanderi
Corynebacterium_casei,Clostridium_sp_D5
,Atopobium_deltae
,Gemella_bergeri
,Actinobaculum_sp_oral_taxon_183
,Atopobium_minutum
,Enterococcus_hirae
,Clostridioides_difficile
,Clostridium_scindens
,Bifidobacterium_saeculare
,Haemophilus_parahaemolyticus
,Actinomyces_sp_oral_taxon_897
,Dialister_pneumosintes
,Actinomyces_sp_HPA0247
,Gemmiger_sp_An50
,Fusobacterium_naviforme
,Actinomyces_graevenitzii
,Atopobium_rimae
,Clostridium_baratii
,Cardiobacterium_valvarum
,Abiotrophia_sp_HMSC24B09
,Candida_albicans
,Clostridium_cadaveris
,Actinomyces_turicensis
,Clostridium_sp_CAG_964
,Enterococcus_faecalis
,Candidatus_Methanomassiliicoccus_intestinalis
,Fusobacterium_equinum
,Anaeroglobus_geminatus
,Enterococcus_avium
,Fusobacterium_hwasookii
,Bacteroides_sp_CAG_633
,Actinomyces_johnsonii
,Aeromonas_allosaccharophila
,Bacteroides_sp_CAG_927
,Fusobacterium_nucleatum
,Citrobacter_amalonaticus
,Granulicatella_elegans
,Atopobium_vaginae
,Citrobacter_sp_MGH106
,Actinomyces_sp_oral_taxon_180
,Denitrobacterium_detoxificans
,Eubacterium_sp_An11
,Eubacterium_sp_68_3_10
,Harryflintia_acetispora
,Alloprevotella_tannerae
,Bulleidia_extructa
,Actinomyces_viscosus
,Enterococcus_gallinarum
,Clostridium_sp_7_2_43FAA
,Bacteroides_sp_CAG_661
,Actinomyces_sp_oral_taxon_414
,Enterococcus_durans
,Abiotrophia_defectiva
,Aggregatibacter_sp_oral_taxon_458
,Atopobium_parvulum
