"","ERR209782","SRR5983300","SRR5936030","SRR5946907","SRR5946749","SRR5946674","SRR5946714","SRR5946754","SRR5946733","SRR5983268","SRR5946862","SRR5946927","SRR5946968","SRR5947102","SRR5946702","SRR5983270","SRR5946630","SRR5936219","SRR5946963","SRR5983437","SRR5983299","SRR5983400","SRR5935865","SRR5935996","SRR5946962","SRR5946881","SRR5936167","SRR5983391","ERR210422","SRR5935777","SRR5936111","SRR5947080","SRR5935789","SRR5983326","SRR5935898","SRR5983406","SRR5946894","SRR5946716","SRR5983393","SRR5935923","SRR5946685","SRR5947834","SRR5946943","SRR5935904","SRR5935875","SRR5935931","SRR5946627","SRR5983327","SRR5947869","SRR5983446","SRR5936190","SRR5946657","SRR5983284","SRR5935767","SRR5983355","SRR5983291","SRR5936199","ERR209799","SRR5935792","SRR5946892","SRR5983403","SRR5946675","SRR5946799","SRR5947056","SRR5947846","SRR5946873","ERR209764","SRR5947025","SRR5983275","SRR5946961","SRR5983294","SRR5936092","SRR5983297","SRR5947843","SRR5983282","SRR5983264","nodos","degrees","closeness","betweenness"
"1.3.1.84",0,0,0,0,0,0,0,0,0,0.000135455469014561,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0,0,0,0,0.000637958532695375,0,0.000289351851851852,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000142247510668563,0,0,0,0.00025879917184265,0,8.08799741184083e-05,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1124",17,0.00595238095238095,691.993256743257
"3.5.3.23",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,0.000287494010541447,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000478468899521531,0,0.000675154320987654,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000213371266002845,0,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1182",14,0.00549450549450549,444.422601842602
"1.3.3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0.00019293845263361,0,0,0,0.000478468899521531,0,0.000385802469135802,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000142247510668563,0.000132257637878587,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000644745325596389,0,0,"v_1125",13,0.00505050505050505,308.240058275058
"2.1.1.77",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000123426314490249,0,0,0,0,0,0,0,0,0,0,0,0.000478468899521531,0,9.64506172839506e-05,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,7.11237553342817e-05,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1342",13,0.00609756097560976,573.431989121989
"2.8.1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000191662673694298,0,0,0,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0,0,0,0,0.000318979266347687,0,0.000289351851851852,0,0,0,0,0,0,0.00045475216007276,0,0,0,0,0,0,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1155",12,0.00568181818181818,362.140392385392
"3.2.2.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000370278943470748,0,0,0,0,0,0,0,0,0,0,0,0.000478468899521531,0,0.000675154320987654,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0.000142247510668563,0.000132257637878587,0,0,0.00025879917184265,0,0,0,0,0,0,0,0,0.000644745325596389,0,0,"v_1173",11,0.00490196078431373,191.850037740038
"2.1.1.174",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,0.000191662673694298,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0,0,0,0,0.000478468899521531,0,0.000192901234567901,0,0,0,0,0,0,0.000682128240109141,0,0,0,0,0,7.11237553342817e-05,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1137",10,0.00531914893617021,132.395034410034
"4.1.3.40",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0.00019293845263361,0,0,0,0.000159489633173844,0,0.000192901234567901,0,0,0,0,0,0,0.00045475216007276,0,0,0,0,0,0,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1318",8,0.00495049504950495,123.751812076812
"3.6.1.26",0,0,0,0,0,0,0,0,0,6.77277345072807e-05,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0,0,0,0,0,0,0.000318979266347687,0,9.64506172839506e-05,0,0,0,0,0,0,0.00022737608003638,0,0,0,0,0,0,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0,0,0,"v_1332",8,0.00543478260869565,628.273629148629
"5.1.3.15",0,0,0,0,0,0,0,0,0,0.000135455469014561,0,0,0,0,0,0,0,0,0,0,9.5831336847149e-05,0,0,0.000233535730966838,0,0,0,0,0,0,0,0,0,0.000246852628980499,0,0,0,0,0,0.000208376745155241,0,0,0,0,0,0.000318979266347687,0,0.000192901234567901,0,0,0,0,0,0.000339097999321804,0.00045475216007276,0,0,0,0,0,7.11237553342817e-05,0,0,0,0.000129399585921325,0,0,0,0,0,0,0,0,0.000322372662798195,0,0,"v_1253",7,0.00492610837438424,44.3764835164835
