specie,mean,std
Prevotella_sp_CAG_279,-13.887492806293968,6.194386220356316
Coprococcus_eutactus,-12.01774072091341,7.109902050613745
Treponema_succinifaciens,-16.484124896545946,1.3747882142542234
Bacteroides_sp_CAG_530,-15.171011209039861,4.648321473618865
Oscillibacter_sp_CAG_241,-9.019077184723637,7.399886464308709
Eubacterium_coprostanoligenes,-16.39214645767313,1.6850555249844625
Phascolarctobacterium_succinatutens,-10.858020693886925,8.057511101767052
Blastocystis_sp_subtype_1,-16.069309387963372,2.7801924488977185
Prevotella_sp_AM42_24,-14.718687805211562,5.277102658697007
Butyrivibrio_sp_CAG_318,-14.212717208977613,5.810185584304224
Ruminococcus_sp_CAG_563,-15.92994691606835,2.872915997664978
Prevotella_sp_CAG_1092,-15.553540750226349,3.996406774996183
Eubacterium_rectale,-3.9071429615445656,7.389514640022147
Streptococcus_lutetiensis,-16.147457066068085,2.3896684224839797
Eubacterium_eligens,-4.920555738509873,7.757943465667799
Escherichia_coli,-3.230446874359411,7.002105269094291
Firmicutes_bacterium_CAG_170,-13.327458797234321,6.16816615039109
Prevotella_stercorea,-13.612386600795917,6.102959920572583
Firmicutes_bacterium_CAG_791,-15.986888316863672,3.1724384476564502
Anaerobiospirillum_thomasii,-15.982951426924135,2.7352539488043215
Prevotella_copri,-7.4176034494914935,8.428001508283753
Holdemanella_biformis,-11.767639581086604,7.199365032936954
Prevotella_sp_CAG_5226,-15.232677615258579,4.59831111176878
Clostridium_sp_CAG_510,-15.146898623381148,4.9555683174142695
Prevotella_sp_CAG_520,-14.833133862622336,5.197555504782475
Roseburia_sp_CAG_182,-14.532217702941148,5.105586506537771
Clostridium_sp_CAG_632,-15.601485855276918,4.04036040915518
Slackia_isoflavoniconvertens,-11.463377380949046,6.749407134850715
Prevotella_sp_885,-14.998417428037543,5.0179485802322
Ruminococcus_sp_CAG_488,-15.134707631088821,4.665019483264655
Butyrivibrio_crossotus,-13.619408411620425,6.683342602459087
Catenibacterium_mitsuokai,-13.467586478865742,6.416879135761064
Firmicutes_bacterium_CAG_110,-11.071990717473936,7.491205042454728
Oscillibacter_sp_57_20,-8.241798540700348,7.909728135567305
Desulfovibrio_piger,-12.316162265648314,7.010883667033279
Gemmiger_formicilis,-7.490517277920022,7.202437280800894
