specie,mean,std
Roseburia_intestinalis,-7.100384496589366,7.7222535737609554
Eubacterium_rectale,-4.092723132291765,7.435069083953443
Bacteroides_caccae,-7.67149050640054,7.919871038836973
Proteobacteria_bacterium_CAG_139,-12.786397555254867,6.2639366938449506
Bacteroides_massiliensis,-11.103313875805235,7.479741282561302
Turicimonas_muris,-13.688584638413626,5.2855023635524105
Oscillibacter_sp_57_20,-8.286961687113871,7.918753705208602
Dialister_sp_CAG_357,-14.543137831709874,5.503682611855283
Bacteroides_ovatus,-5.151524326843801,6.780803966965798
Alistipes_shahii,-8.458669093694564,7.274616096973539
Parasutterella_excrementihominis,-11.542668169034679,6.917230515772508
Bacteroides_faecis,-15.706156908836428,3.556398063600903
Bacteroides_faecis_CAG_32,-16.15153053896123,2.4418884880590808
Roseburia_faecis,-4.791852428225372,7.590454041645764
Parabacteroides_merdae,-6.943327382327469,7.717529010095464
Bacteroides_cellulosilyticus,-11.33851541839392,6.846520083113596
Alistipes_finegoldii,-8.058452128279425,7.331768757836763
Bacteroides_stercoris,-8.524097858796122,7.942493128584419
Eubacterium_siraeum,-9.329385054424186,7.988152945333242
Akkermansia_muciniphila,-9.282905922925728,8.192668208845848
Bacteroides_plebeius,-11.626764502906973,7.157617853957947
Bacteroides_eggerthii,-12.062311141471005,6.96715625694692
Bacteroides_dorei,-6.941675159574124,8.175653420870344
Phascolarctobacterium_faecium,-11.516443752804603,7.100737765793316
Bacteroides_finegoldii,-13.05560513296993,6.252924223900833
Bacteroides_uniformis,-1.384739267318548,5.980715079756025
Alistipes_putredinis,-5.994492412624727,8.022964328784727
Bacteroides_salyersiae,-14.270319922809426,5.175249738461889
Barnesiella_intestinihominis,-9.691894039013798,7.857001620754549
Lachnospira_pectinoschiza,-9.566780366086602,7.936029134989262
Parabacteroides_distasonis,-3.2950573170269295,6.498921171485571
Bacteroides_intestinalis,-12.170163405545633,6.987561335630117
Bacteroides_vulgatus,-2.091600208819716,6.825651894613472
