specie,mean,std
PWY-5695: inosine 5'-phosphate degradation,-11.159091417282333,1.2708886692545653
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II,-12.385512684285253,1.481514376714615
PWY-6859: all-trans-farnesol biosynthesis,-16.57971780609856,0.16869100904733517
PWY0-1477: ethanolamine utilization,-16.104640324003668,0.8979223378660071
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),-16.54957763840069,0.3157525850024717
"PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)",-16.593484031585987,0.11950460961666867
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation,-16.552939680006343,0.3285892759302357
ORNDEG-PWY: superpathway of ornithine degradation,-16.534760342939727,0.40585420612984935
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I,-13.931565964017384,1.254517699240271
PWY0-862: (5Z)-dodecenoate biosynthesis I,-14.519486370593485,1.524462324277329
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic),-16.47846434114674,0.4981995127982991
PWY-7883: anhydromuropeptides recycling II,-16.572512989570104,0.2048221183536446
PWY0-1479: tRNA processing,-16.301488331311965,0.6048308586536283
PWY-7197: pyrimidine deoxyribonucleotide phosphorylation,-15.348575629458262,1.060322354243703
PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II,-16.545233039401044,0.32220840284829744
PWY-5656: mannosylglycerate biosynthesis I,-16.573309994178533,0.2552510092858904
GALACTITOLCAT-PWY: galactitol degradation,-16.457127626034165,0.4994044816175533
PWY-5705: allantoin degradation to glyoxylate III,-16.589894272085505,0.14688314750859416
POLYAMSYN-PWY: superpathway of polyamine biosynthesis I,-16.53977363968736,0.3750002633704117
PWY-6936: seleno-amino acid biosynthesis (plants),-14.606562496860235,1.4474261839945823
PWY-5100: pyruvate fermentation to acetate and lactate II,-14.076761748330641,1.331720943379427
PWY-7316: dTDP-N-acetylviosamine biosynthesis,-16.21179906245951,0.8108903006209317
PWY-5384: sucrose degradation IV (sucrose phosphorylase),-13.836441501587665,1.226273231049408
PWY-7269: mitochondrial NADPH production (yeast),-16.597006020413616,0.11556395166519752
PWY-5367: petroselinate biosynthesis,-16.499645483080737,0.36823514459699513
FERMENTATION-PWY: mixed acid fermentation,-16.291189309588432,0.7504370862182406
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine),-11.596833237938759,1.3132554001997525
PWY0-461: L-lysine degradation I,-16.595596268175214,0.1086845957452584
PWY66-389: phytol degradation,-16.580631282870257,0.18400882744092234
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",-16.601201181069012,0.10579501852618181
PWY-7858: (5Z)-dodecenoate biosynthesis II,-16.49833500864506,0.44633178769472714
GLUDEG-I-PWY: GABA shunt,-16.603826418605646,0.07387962218856499
"PWY-5138: fatty acid &beta;-oxidation IV (unsaturated, even number)",-16.554717868067318,0.3070841065933841
NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside),-16.56559822824597,0.2233489148450655
PWY-5692: allantoin degradation to glyoxylate II,-16.603885010144044,0.07178243491933765
PWY-6168: flavin biosynthesis III (fungi),-16.581246324511657,0.19600565919970275
PWY-6328: L-lysine degradation X,-16.600886326462238,0.08989735173279169
GLYCOCAT-PWY: glycogen degradation I,-16.45984290902476,0.49370593837731214
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",-16.520274872446702,0.39847126117721704
PWY-7204: pyridoxal 5'-phosphate salvage II (plants),-16.562577051545535,0.2712990768553673
PWY-6531: mannitol cycle,-16.561080822840417,0.27843156497830074
PWY-7208: superpathway of pyrimidine nucleobases salvage,-14.621077002504046,1.1343617381956224
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,-16.53055537394795,0.39758693717576543
NONMEVIPP-PWY: methylerythritol phosphate pathway I,-11.145655448988348,1.3270538927295517
