,specie,mean,std
0,Roseburia_sp_CAG_182,-14.533119859795807,5.103223819803592
1,Prevotella_sp_CAG_279,-13.555043210804042,6.4956920771154
2,Butyrivibrio_sp_CAG_318,-14.409327060727165,5.642778446492484
3,Bacteroides_sp_CAG_530,-15.081655667108333,4.762206954286814
4,Firmicutes_bacterium_CAG_791,-15.980333188153082,3.221140465615023
5,Prevotella_sp_885,-15.07188438140181,4.873669729517147
6,Eubacterium_coprostanoligenes,-16.481823820313444,1.2774164583317484
7,Phascolarctobacterium_succinatutens,-11.008885094670891,8.01171370647763
8,Blastocystis_sp_subtype_1,-16.090404441090186,2.717865116457027
9,Prevotella_copri,-7.531929712370635,8.593521357931692
10,Firmicutes_bacterium_CAG_110,-11.149509203928806,7.467208352984991
11,Clostridium_sp_CAG_632,-15.44512261926708,4.314498423187843
12,Prevotella_sp_CAG_1092,-15.556399540401525,3.9457727451687723
13,Oscillibacter_sp_57_20,-8.17281081669278,7.971301491091298
14,Coprococcus_eutactus,-12.07311438272249,7.083135128810114
15,Butyrivibrio_crossotus,-13.456222887959145,6.792079431776174
16,Holdemanella_biformis,-11.787616746654859,7.228487543786556
17,Escherichia_coli,-3.2000771548881755,6.98009135735387
18,Prevotella_sp_CAG_520,-14.686994114050517,5.33503487576898
19,Prevotella_stercorea,-13.586998675173582,6.177049294322276
20,Desulfovibrio_piger,-12.185302512125393,7.087444136656079
21,Gemmiger_formicilis,-7.615620677697653,7.2221182082235105
22,Anaerobiospirillum_thomasii,-16.0043409631291,2.721361258900939
23,Catenibacterium_mitsuokai,-13.634752371962682,6.267906242801116
24,Prevotella_sp_CAG_5226,-15.07017356821352,4.8302590480973775
25,Prevotella_sp_AM42_24,-14.586045392174864,5.439759842914728
26,Eubacterium_rectale,-3.781553027551356,7.218752059230285
27,Firmicutes_bacterium_CAG_170,-13.425956173944162,6.06557740700678
28,Clostridium_sp_CAG_510,-15.478133663890874,4.356792586929449
29,Streptococcus_lutetiensis,-16.076719111740932,2.5969480724494574
30,Oscillibacter_sp_CAG_241,-8.818802527776878,7.348059723069018
31,Ruminococcus_sp_CAG_488,-15.29233377321389,4.398229482641536
32,Eubacterium_eligens,-5.03049169604799,7.735858653229893
