,specie,mean,std
0,Slackia_isoflavoniconvertens,-13.389343869572286,5.8336511878838095
1,Clostridium_sp_CAG_58,-11.191254676848658,6.973655466694976
2,Butyricimonas_synergistica,-12.061950862710093,6.135791901793883
3,Collinsella_aerofaciens,-3.925909959109562,6.667091424302081
4,Coprobacter_fastidiosus,-12.044045784541876,6.744701571091851
5,Butyricimonas_virosa,-8.256239490205976,6.917553096012976
6,Lawsonibacter_asaccharolyticus,-8.858380993912153,6.398567243558397
7,Dorea_longicatena,-3.3835425792878837,6.027937295413008
8,Collinsella_massiliensis,-14.894901054589498,3.726624049592241
9,Alistipes_finegoldii,-6.296124259947794,6.9880217009377
10,Paraprevotella_xylaniphila,-11.635711361799698,7.351339867466154
11,Anaeromassilibacillus_sp_An250,-13.298061446857625,5.406601125720939
12,Fusicatenibacter_saccharivorans,-2.283076843118019,5.575570787431552
13,Akkermansia_muciniphila,-9.492207927041555,8.006786916887782
14,Alistipes_indistinctus,-10.611753261446164,6.6290979711580285
15,Bacteroides_cellulosilyticus,-8.956575889399307,7.519232903874186
16,Coprococcus_comes,-4.923773564438778,6.9767810154037875
17,Bilophila_wadsworthia,-7.646733274814748,6.2125407528432
18,Alistipes_inops,-13.73278475605812,6.046774693947334
19,Odoribacter_splanchnicus,-3.9996484775994223,6.636165124648228
20,Eubacterium_hallii,-4.455903037142257,5.952045290201541
21,Parabacteroides_distasonis,-1.0149803471385654,4.9110842586771595
22,Oscillibacter_sp_CAG_241,-9.010141401782917,7.151043919905183
23,Ruthenibacterium_lactatiformans,-5.03135189296692,5.498003917932967
24,Barnesiella_intestinihominis,-7.9050398461886635,8.17348491851521
