"","b","hub","c"
"Roseburia_faecis",0,1,17
"Ruminococcus_gnavus",0.0834339659225536,6,2
"Roseburia_intestinalis",0,1,2
"Blautia_wexlerae",0.0329780321116652,5,6
"Coprococcus_comes",0,1,6
"Ruminococcaceae_bacterium_D16",0,2,1
"Dialister_invisus",0.0308956173444447,3,6
"Blautia_sp_CAG_257",0.0349373123512604,4,2
"Flavonifractor_plautii",0.00728721336960746,2,2
"Escherichia_coli",0.00728721336960746,2,8
"Firmicutes_bacterium_CAG_94",0.000161938074880166,4,12
"Clostridium_disporicum",0.00487600990466377,12,1
"Actinomyces_sp_ICM47",0.00487600990466377,11,1
"Intestinibacter_bartlettii",0.0145420391242389,12,11
"Clostridium_spiroforme",0.00487600990466377,10,1
"Clostridium_saccharolyticum",0.0325292333922074,8,4
"Dorea_formicigenerans",0,0,12
"Streptococcus_salivarius",0,2,2
"Clostridium_clostridioforme",0.0682082772161889,3,2
"Eggerthella_lenta",0.0451792484172288,5,2
"Dorea_sp_CAG_317",0.00923158437727632,12,2
"Clostridium_innocuum",0.044617166080813,8,4
"Streptococcus_oralis",0.0242900463486357,5,2
"Klebsiella_pneumoniae",0.00306406582327683,8,4
"Streptococcus_mitis",0.0661811615194273,7,2
"Prevotella_copri",0,2,6
"Collinsella_aerofaciens",0.00728721336960746,2,4
"Prevotella_sp_CAG_520",0.00639555618121769,5,3
"Eubacterium_siraeum",0.0679162998690179,5,2
"Bacteroides_uniformis",0.0176071554586963,1,6
"Prevotella_sp_CAG_279",0.0471474911992124,2,10
"Ruminococcus_bromii",0,1,2
"Phascolarctobacterium_succinatutens",0,1,15
"Prevotella_sp_CAG_873",0.0100778673894742,16,11
"Roseburia_inulinivorans",0,1,16
"Ruminococcus_torques",0.00728721336960746,2,5
"Eubacterium_sp_CAG_251",0.00728721336960746,2,10
"Oscillibacter_sp_57_20",0,2,2
"Bacteroides_dorei",0.023260845126829,5,2
"Lachnospira_pectinoschiza",0,1,15
"Prevotella_stercorea",0.00639555618121769,4,3
"Haemophilus_parainfluenzae",0.0730586417879276,11,2
"Firmicutes_bacterium_CAG_110",0,1,20
"Coprococcus_eutactus",0.00716493963683943,1,6
"Bacteroides_sp_CAG_144",0,0,10
"Clostridium_sp_CAG_58",0,1,11
"Dorea_longicatena",0,0,4
"Gemmiger_formicilis",0.0297144124589686,5,2
"Bifidobacterium_dentium",0.0145420391242389,1,2
"Blautia_obeum",0,0,5
"Firmicutes_bacterium_CAG_83",0,0,2
"Desulfovibrio_piger",0,1,2
"Bacteroides_massiliensis",0,1,18
"Parabacteroides_johnsonii",0,4,11
"Veillonella_dispar",0.0202695771828809,12,1
"Veillonella_infantium",0.0180379797238549,10,1
