"","b","hub","c"
"Streptococcus_salivarius",0,1,46
"Eggerthella_lenta",0,1,45
"Klebsiella_pneumoniae",0,2,13
"Collinsella_aerofaciens",0,1,16
"Prevotella_sp_CAG_520",0,1,29
"Lachnospira_pectinoschiza",0,1,25
"Prevotella_stercorea",0,0,29
"Veillonella_dispar",0,2,14
"Veillonella_infantium",0.000174276751481352,2,14
"Veillonella_atypica",0,0,14
"Streptococcus_parasanguinis",0,0,46
"Veillonella_sp_T11011_6",0,0,14
"Asaccharobacter_celatus",0,1,22
"Adlercreutzia_equolifaciens",0,0,22
"Gordonibacter_pamelaeae",0,0,45
"Collinsella_stercoris",8.71383757406762e-05,1,16
"Collinsella_intestinalis",0,0,16
"Clostridium_sp_CAG_590",0,1,33
"Parasutterella_excrementihominis",0,2,11
"Proteobacteria_bacterium_CAG_139",0,1,11
"Actinomyces_odontolyticus",0,1,32
"Turicimonas_muris",0,0,11
"Klebsiella_variicola",0,1,13
"Absiella_dolichum",0,1,24
"Eubacterium_dolichum_CAG_375",0,0,24
"Enterococcus_hirae",0,1,28
"Pyramidobacter_piscolens",0,1,21
"Pyramidobacter_sp_C12_8",0,0,21
"Mitsuokella_jalaludinii",0,1,19
"Lactobacillus_rogosae",0,0,25
"Mitsuokella_multacida",0,0,19
"Megasphaera_sp_DISK_18",0,1,44
"Klebsiella_quasipneumoniae",0,0,13
"Megamonas_hypermegale",0,1,40
"Streptococcus_sp_HMSC034E03",0,1,1
"Actinomyces_sp_HMSC035G02",0,0,32
"Megamonas_funiformis",0,0,40
"Lawsonella_clevelandensis",0.00169919832694319,9,3
"Bacteroides_coagulans",0.00139421401185082,3,3
"Peptococcus_niger",0.00106308818403625,10,3
"Peptoniphilus_sp_HMSC062D09",0.00106308818403625,9,3
"Peptoniphilus_duerdenii",0.00121993726036947,4,3
"Atopobium_minutum",0,1,27
"Enterococcus_raffinosus",0.00392122690833043,5,2
"Corynebacterium_amycolatum",0.00106308818403625,7,3
"Megasphaera_sp_MJR8396C",0,0,44
"Porphyromonas_uenonis",0,0,3
"Plesiomonas_shigelloides",0,1,1
"Lactobacillus_saerimneri",0,2,8
"Corynebacterium_aurimucosum",0.00106308818403625,6,3
"Gemella_asaccharolytica",0.00106308818403625,5,3
"Brachyspira_pilosicoli",0,1,38
"Neisseria_sicca",0,3,5
"Arcobacter_butzleri",0,0,33
"Shewanella_algae",0,4,4
"Dialister_micraerophilus",0.00121993726036947,0,3
"Prevotella_colorans",0.00139421401185082,1,3
"Prevotella_sp_S7_1_8",0,0,3
"Actinomyces_johnsonii",0,1,36
"Lactococcus_petauri",0,1,18
"Terrisporobacter_othiniensis",0.00235273614499826,4,1
"Lactobacillus_pontis",0,3,4
"Lactococcus_garvieae",0,0,18
"Pseudopropionibacterium_propionicum",0,1,43
"Pediococcus_acidilactici",0,1,42
"Fusobacterium_gonidiaformans",0,3,3
"Actinomyces_cardiffensis",0,2,2
"Ruminococcus_sp_CAG_624",0,1,39
"Corynebacterium_durum",0,1,37
"Lactobacillus_antri",0,2,10
"Actinomyces_sp_oral_taxon_414",0,0,42
"Proteus_vulgaris",0.00322411990240502,4,1
"Lachnoanaerobaculum_saburreum",5.80922504937841e-05,3,5
"Lactobacillus_helveticus",0,2,4
"Peptostreptococcus_sp_MV1",0,2,3
"Bifidobacterium_pullorum",0,1,17
"Bifidobacterium_saeculare",0,1,17
"Bifidobacterium_gallinarum",8.71383757406762e-05,0,17
"Bulleidia_extructa",0,3,7
"Leuconostoc_carnosum",0,2,7
"Streptococcus_viridans",0.000958522133147438,1,1
"Mogibacterium_pumilum",0.00174276751481352,2,2
"Scardovia_inopinata",0,1,10
"Lactobacillus_ultunensis",0,0,10
"Streptococcus_peroris",0,0,28
"Actinomyces_sp_oral_taxon_170",0,2,9
"Porphyromonas_gingivalis",0,0,2
"Gardnerella_vaginalis",0,1,26
"Lactobacillus_kefiri",0,1,31
"Carnobacterium_divergens",0,1,35
"Chlamydia_ibidis",0,1,9
"Proteus_mirabilis",0,0,2
"Leclercia_adecarboxylata",0,0,3
"Citrobacter_farmeri",0.000784245381666086,2,2
"Pluralibacter_gergoviae",0,3,6
"Streptococcus_salivarius_CAG_79",0,1,15
"Prevotella_sp_oral_taxon_376",0,2,6
"Pseudoramibacter_alactolyticus",0.000958522133147438,2,2
"Leuconostoc_gelidum",0,1,7
"Paeniclostridium_sordellii",0,1,23
"Campylobacter_showae",0,1,6
"Peptoniphilus_coxii",0.00169919832694319,1,3
"Mageeibacillus_indolicus",0,0,27
"Robinsoniella_sp_RHS",0,1,8
"Atopobium_vaginae",0,0,26
"Streptococcus_sp_SK643",0,0,3
"Atlantibacter_hermannii",0.000261415127222029,1,6
"Enterococcus_gilvus",0,0,23
"Proteus_hauseri",0,0,1
"Clostridium_baratii",0,0,6
"Neisseria_sp_oral_taxon_014",5.80922504937841e-05,2,5
"Lautropia_mirabilis",0.000348553502962705,2,5
"Dorea_sp_D27",0,0,8
"Pseudoflavonifractor_sp_An85",0,2,1
"Moraxella_osloensis",0,1,20
"Enhydrobacter_aerosaccus",0,0,20
"Veillonella_seminalis",0.00409550365981178,1,1
"Enterococcus_thailandicus",0.00278842802370164,2,2
"Lactobacillus_vaccinostercus",0,0,43
"Bacteroidales_bacterium_KA00251",0.00235273614499826,0,2
"Dysgonomonas_gadei",0,1,1
"Clostridium_sp_MSTE9",0,1,30
"Enterococcus_asini",0,0,2
"Methanobrevibacter_arboriphilus",0,0,39
"Lactobacillus_pentosus",0.00304984315092367,0,2
"Candida_tropicalis",0,0,37
"Lactobacillus_gallinarum",0,1,4
"Lactobacillus_dextrinicus",0.000784245381666086,0,2
"Streptococcus_sinensis",0,0,5
"Streptococcus_sp_oral_taxon_058",0.00174276751481352,0,1
"Neisseria_elongata",5.80922504937841e-05,0,5
"Eubacterium_sp_68_3_10",0,2,12
"Lactobacillus_equicursoris",0,1,1
"Pseudocitrobacter_faecalis",0,1,41
"Clostridium_sp_SY8519",0,0,1
"Mitsuokella_sp_oral_taxon_131",0,0,2
"Parabacteroides_chinchillae",0,0,38
"Desulfovibrio_sp_MES5",0,0,36
"Phascolarctobacterium_sp",0,0,35
"Dickeya_chrysanthemi",0,1,34
"Dickeya_fangzhongdai",0,0,34
"Pedobacter_himalayensis",0,0,41
"Criibacterium_bergeronii",0,0,3
"Streptococcus_pyogenes",0,0,9
"Lactobacillus_pantheris",0,0,1
"Vibrio_fluvialis",0,0,4
"Halomonas_boliviensis",0,1,15
"Xanthomonas_phaseoli",8.71383757406762e-05,0,15
"Providencia_stuartii",0,0,31
"Clostridium_argentinense",0,1,12
"Lachnoclostridium_phytofermentans",0,0,12
"Bacteroides_xylanolyticus",0,0,30
"Weissella_minor",0,0,7
