"","b","hub","c"
"Bacteroides_vulgatus",0,3,4
"Roseburia_faecis",0.0147202215423109,26,5
"Ruminococcus_gnavus",0.0042246080375063,21,1
"Blautia_wexlerae",0.0155472860852377,35,3
"Bacteroides_thetaiotaomicron",0,2,4
"Faecalibacterium_prausnitzii",0.0137225764358056,18,3
"Coprococcus_comes",0.0069553547548879,29,3
"Streptococcus_thermophilus",0.0100114373326678,13,4
"Escherichia_coli",0.0032860845302258,4,1
"Fusicatenibacter_saccharivorans",0.00072613203344764,11,3
"Clostridium_disporicum",0.0333958198892544,17,1
"Actinomyces_sp_ICM47",0.00190133073742677,15,2
"Dorea_formicigenerans",0.0155472860852377,32,3
"Streptococcus_salivarius",0.000135653174998618,4,4
"Streptococcus_pasteurianus",0.0167173120925783,6,1
"Streptococcus_oralis",0.0268344073659853,8,1
"Klebsiella_pneumoniae",0,3,1
"Streptococcus_mitis",0.0199939114716274,2,1
"Prevotella_copri",0.0246084443512191,11,3
"Collinsella_aerofaciens",0.0114327855513744,28,3
"Prevotella_sp_CAG_520",0.0013866186567512,11,3
"Prevotella_sp_CAG_279",0.0329511642103848,29,5
"Ruminococcus_bromii",0.0069553547548879,25,3
"Phascolarctobacterium_succinatutens",0.0113532815601557,25,3
"Roseburia_inulinivorans",0.0156633889009879,12,5
"Ruminococcus_torques",0.00739874168198717,11,5
"Oscillibacter_sp_57_20",0.0069553547548879,23,3
"Prevotella_stercorea",0.00161543869088376,6,3
"Parabacteroides_distasonis",0.00634335373804661,12,5
"Haemophilus_parainfluenzae",0.0124173228782503,6,4
"Odoribacter_splanchnicus",0.00739874168198717,9,5
"Roseburia_hominis",0.0069553547548879,22,3
"Dorea_longicatena",0.00732601953988063,10,3
"Gemmiger_formicilis",0.0069553547548879,21,3
"Blautia_obeum",0.0069553547548879,20,3
"Desulfovibrio_piger",0.0069553547548879,19,3
"Eubacterium_rectale",0.0147202215423109,15,5
"Agathobaculum_butyriciproducens",0.0114327855513744,16,3
"Veillonella_dispar",0.0208115375534065,23,4
"Veillonella_infantium",0.0728722492017215,20,4
"Veillonella_atypica",0.0178906585454094,10,1
"Anaerostipes_hadrus",0.0107152170435132,3,3
"Clostridium_perfringens",0.00290710169936777,2,1
"Catenibacterium_mitsuokai",0.00111464004370249,4,3
"Streptococcus_parasanguinis",0.0233291725006492,10,4
"Coprococcus_catus",0.0707570559188924,26,3
"Eubacterium_hallii",0.0069553547548879,14,3
"Bacteroides_fragilis",0.0207982020480332,14,5
"Veillonella_sp_T11011_6",0.0208115375534065,19,4
"Holdemanella_biformis",0.0113532815601557,14,3
"Eubacterium_sp_CAG_180",0.0069553547548879,12,3
"Bacteroides_xylanisolvens",0.0318466510317177,20,5
"Ruminococcus_obeum_CAG_39",0.0069553547548879,11,3
"Streptococcus_anginosus_group",0.00111464004370249,2,3
"Enterococcus_faecium",0,1,1
"Lactobacillus_fermentum",0.00393655004891885,8,1
"Streptococcus_vestibularis",0.0255286535439293,9,1
"Actinomyces_odontolyticus",0.0115054025426469,14,4
"Veillonella_parvula",0.00690798724574174,15,4
"Allisonella_histaminiformans",0.0069553547548879,10,3
"Sutterella_parvirubra",0.101194700692745,22,3
"Klebsiella_variicola",0.00018714783815455,3,1
"Streptococcus_gordonii",0.0248480295046871,7,4
"Enterococcus_faecalis",0.0417821080939522,3,1
"Bifidobacterium_pseudocatenulatum",0.0107152170435132,1,3
"Prevotella_sp_CAG_5226",0.00280925320130168,8,3
"Prevotella_sp_CAG_1092",0.0069553547548879,7,3
"Streptococcus_lutetiensis",0,1,1
"Prevotella_sp_AM42_24",0.00327094031814857,2,3
"Haemophilus_sp_HMSC71H05",0.082909693526102,16,2
"Enterococcus_hirae",0.0445092016237474,10,1
"Enterobacter_cloacae_complex",0.0122485982598615,8,5
"Bacteroides_sp_CAG_530",0.00442413715115111,1,3
"Streptococcus_sanguinis",0.0160270225716649,11,4
"Rothia_mucilaginosa",0.00783453924098467,11,4
"Klebsiella_quasipneumoniae",0.0197795591209016,2,1
"Streptococcus_infantis",0.00197821503781625,7,4
"Streptococcus_sp_A12",0.00190133073742677,9,2
"Prevotella_sp_885",0.000453457818137037,0,3
"Brachyspira_sp_CAG_700",0.0106768823828227,3,5
"Clostridium_sp_CAG_510",0.0069553547548879,5,3
"Actinomyces_turicensis",0.0100114373326678,9,4
"Fusobacterium_mortiferum",0.0397242880464357,6,4
"Prevotella_melaninogenica",0.00190133073742677,8,2
"Neisseria_flavescens",0.0957961860650863,10,4
"Megasphaera_micronuciformis",0.00190133073742677,7,2
"Prevotella_histicola",0.00190133073742677,6,2
"Prevotella_pallens",0.00190133073742677,5,2
"Oribacterium_sinus",0.00190133073742677,4,2
"Neisseria_perflava",0.00190133073742677,3,2
"Streptococcus_sp_HMSC034E03",0.00190133073742677,2,2
"Prevotella_jejuni",0.00190133073742677,1,2
"Prevotella_salivae",0.00190133073742677,0,2
"Weissella_confusa",0.00393655004891885,5,1
"Helicobacter_cinaedi",0.0122485982598615,6,5
"Streptococcus_infantarius",0.0191925261165113,6,1
"Megamonas_funiformis",0.0069553547548879,3,3
"Campylobacter_jejuni",0.00988236541754755,6,5
"Vibrio_cholerae",0.0225168551775381,1,1
"Helicobacter_fennelliae",0.00739874168198717,5,5
"Streptococcus_gallolyticus",0.0356626658754126,7,5
"Haemophilus_influenzae",0,3,5
"Staphylococcus_haemolyticus",0.00739874168198717,2,5
"Kocuria_palustris",0.00739874168198717,1,5
"Staphylococcus_arlettae",0.00739874168198717,0,5
"Morganella_morganii",0.0675094482893628,18,1
"Klebsiella_michiganensis",0.00393655004891885,3,1
"Klebsiella_oxytoca",0.0179918725567099,1,1
"Enterococcus_raffinosus",0.0179918725567099,0,1
"Enterococcus_avium",0.0176616428389109,15,1
"Rothia_aeria",0.00197821503781625,5,4
"Corynebacterium_matruchotii",0.00197821503781625,4,4
"Streptococcus_sp_F0442",0.0160270225716649,7,4
"Haemophilus_parahaemolyticus",0.0130088157137859,7,4
"Staphylococcus_aureus",0.00197821503781625,1,4
"Anoxybacillus_flavithermus",0.00197821503781625,0,4
"Anaerobiospirillum_thomasii",0.0069553547548879,2,3
"Brachyspira_pilosicoli",0.0142069530518375,1,5
"Helicobacter_sp_11_8110",0.0069553547548879,1,3
