"","b","hub","c"
"Firmicutes_bacterium_CAG_94",0.00305211406096362,7,14
"Streptococcus_salivarius",0,1,9
"Eggerthella_lenta",0,1,37
"Streptococcus_oralis",0.00034742707309079,5,9
"Klebsiella_pneumoniae",0,2,18
"Lachnoclostridium_sp_An118",0.00305211406096362,6,14
"Streptococcus_mitis",0.000544083906915765,3,9
"Atopobium_parvulum",0,1,44
"Collinsella_aerofaciens",0,1,15
"Paraprevotella_xylaniphila",0,1,39
"Veillonella_dispar",0.00103244837758112,6,9
"Veillonella_infantium",9.83284169124877e-06,4,9
"Veillonella_atypica",0,2,9
"Catenibacterium_mitsuokai",7.86627335299902e-05,3,19
"Streptococcus_parasanguinis",0.00173713536545395,3,9
"Veillonella_sp_T11011_6",9.83284169124877e-06,2,9
"Asaccharobacter_celatus",0,1,42
"Adlercreutzia_equolifaciens",0,0,42
"Gordonibacter_pamelaeae",0,0,37
"Collinsella_stercoris",0.000117994100294985,2,15
"Flavonifractor_sp_An100",0,2,7
"Gemella_morbillorum",0,1,32
"Collinsella_intestinalis",0,0,15
"Harryflintia_acetispora",0,1,36
"Atopobium_rimae",0,0,44
"Streptococcus_anginosus_group",0,0,9
"Parascardovia_denticolens",0,4,12
"Parasutterella_excrementihominis",0,2,21
"Oscillibacter_sp_PC13",0,1,2
"Proteobacteria_bacterium_CAG_139",0,1,21
"Pseudoflavonifractor_capillosus",0.00305211406096362,5,14
"Methanosphaera_stadtmanae",0,1,12
"Turicimonas_muris",0,0,21
"Bacteroides_faecis_CAG_32",0,1,41
"Paraprevotella_clara",0,0,39
"Bacteroides_pectinophilus",0,1,19
"Actinomyces_sp_oral_taxon_448",0,1,38
"Bacteroides_sp_CAG_633",0.00451218179831749,9,2
"Klebsiella_variicola",0,1,18
"Streptococcus_gordonii",0,0,9
"Parabacteroides_sp_CAG_409",0.00451218179831749,8,2
"Pseudoflavonifractor_sp_An184",0,3,14
"Streptococcus_lutetiensis",0,1,33
"Absiella_dolichum",0.000432645034414946,4,7
"Eubacterium_dolichum_CAG_375",0,0,7
"Butyrivibrio_sp_CAG_318",0,1,29
"Alistipes_sp_An66",0.0023284169124877,8,6
"Faecalitalea_cylindroides",0,1,6
"Blautia_hydrogenotrophica",0,2,16
"Prevotella_sp_CAG_617",0,0,29
"Flavonifractor_sp_An10",0,2,14
"Lactobacillus_johnsonii",0,1,28
"Dialister_succinatiphilus",0,2,17
"Ruminococcus_sp_CAG_488",0,1,34
"Bacteroides_sp_CAG_530",0,0,19
"Lactobacillus_rhamnosus",0,3,12
"Prevotella_corporis",0,1,27
"Streptococcus_australis",0,1,43
"Lactobacillus_ruminis",0,0,28
"Hafnia_alvei",0.0120353982300885,3,1
"Prevotella_sp_CAG_1031",0.00482464765650607,8,1
"Klebsiella_quasipneumoniae",0,0,18
"Streptococcus_infantis",0,1,9
"Streptococcus_sp_A12",0,0,43
"Clostridium_hylemonae",0,4,3
"Actinomyces_turicensis",0.00305211406096362,4,14
"Megasphaera_micronuciformis",0.00056047197640118,1,9
"Prevotella_pallens",0,1,40
"Streptococcus_sp_HMSC034E03",0.0537154185323814,6,3
"Prevotella_jejuni",0,1,5
"Prevotella_salivae",0.00409046214355949,3,5
"Campylobacter_jejuni",7.86627335299902e-05,1,7
"Streptococcus_gallolyticus",7.86627335299902e-05,6,10
"Lawsonella_clevelandensis",0,5,8
"Porphyromonas_asaccharolytica",0.00305211406096362,3,14
"[Collinsella]_massiliensis",0,0,15
"Porphyromonas_uenonis",0,1,3
"Plesiomonas_shigelloides",7.86627335299902e-05,5,10
"Rothia_aeria",0,1,2
"Corynebacterium_matruchotii",0,5,2
"Actinomyces_sp_oral_taxon_897",0.0524792717331053,13,2
"Gemella_asaccharolytica",0,4,8
"Anaerobiospirillum_thomasii",0.00409046214355949,4,6
"Escherichia_albertii",0,1,17
"Granulicatella_adiacens",0,1,2
"Citrobacter_freundii",0,1,23
"Citrobacter_youngae",3.93313667649951e-05,1,23
"Shewanella_algae",0,1,31
"Citrobacter_portucalensis",0,0,23
"Helicobacter_pylori",0.0122696399316161,10,2
"Clostridium_ventriculi",0,1,24
"Bacillus_cereus_group",0,4,11
"Streptococcus_macedonicus",0,0,33
"Eubacterium_coprostanoligenes",7.86627335299902e-05,0,7
"Leptotrichia_wadei",0,0,40
"Parvimonas_sp_KA00067",0,3,8
"Sneathia_amnii",0.00814159292035398,2,3
"Leuconostoc_garlicum",3.93313667649951e-05,1,24
"Cetobacterium_somerae",0,1,10
"Veillonella_sp_CAG_933",0,1,16
"Streptococcus_cristatus",4.58865945591609e-05,0,9
"Lactobacillus_plantarum",0,0,16
"Lactococcus_petauri",0,1,10
"Lachnoclostridium_sp_An138",0.0040117994100295,1,14
"Denitrobacterium_detoxificans",0.0339823008849558,1,14
"Olsenella_profusa",0,1,30
"Lactobacillus_pontis",0,0,19
"Abiotrophia_sp_HMSC24B09",0.0121533923303835,6,2
"Streptococcus_sp_M334",0.00124549328089151,3,2
"Lactococcus_garvieae",0.031171417254714,7,3
"Pseudopropionibacterium_propionicum",0.0122696399316161,8,2
"Lactonifactor_longoviformis",0.0040117994100295,0,14
"Faecalicatena_orotica",0.031171417254714,6,3
"Actinomyces_sp_oral_taxon_180",0,1,26
"Scardovia_wiggsiae",0,0,26
"Mogibacterium_timidum",0,0,27
"Atopobium_deltae",0,1,25
"Sharpea_azabuensis",0.000249098656178302,2,2
"Fusobacterium_equinum",0.015889872173058,3,3
"Fusobacterium_gonidiaformans",0.0120353982300885,0,3
"Bacteroides_sp_CAG_443",0,0,25
"Actinomyces_cardiffensis",0.00528085705336796,8,4
"Peptostreptococcus_stomatis",0,0,32
"Firmicutes_bacterium_CAG_424",0,1,7
"Corynebacterium_durum",0.0163609460055015,10,2
"Gemella_bergeri",0,1,2
"Eubacterium_infirmum",0,0,41
"Proteus_vulgaris",0.00482464765650607,7,1
"Bifidobacterium_pseudolongum",0.0023284169124877,5,6
"Raoultella_planticola",0.011740412979351,7,1
"Oribacterium_parvum",0,2,3
"Parvimonas_sp_oral_taxon_393",0,2,8
"Stomatobaculum_longum",0.00409046214355949,3,5
"Actinomyces_viscosus",0,3,6
"Leuconostoc_lactis",0,0,24
"Streptococcus_sp_HMSC071D03",0,1,3
"Bulleidia_extructa",0,1,3
"Erysipelothrix_larvae",8.74030372555447e-05,3,2
"Streptococcus_peroris",0,2,20
"Porphyromonas_gingivalis",0.00528085705336796,7,4
"Streptococcus_pneumoniae",0.031171417254714,5,3
"Gardnerella_vaginalis",0,0,38
"Prevotella_nigrescens",0,0,5
"Selenomonas_sputigena",0,1,5
"Prevotella_oris",0,1,5
"Streptococcus_sp_HMSC070B10",0,2,12
"Leptotrichia_hofstadii",0,2,5
"Actinomyces_radicidentis",0.00810226155358899,2,1
"Eggerthia_catenaformis",0,1,8
"Campylobacter_concisus",0,0,9
"Escherichia_fergusonii",7.86627335299902e-05,2,10
"Lactobacillus_panis",0.00015732546705998,1,12
"Aeromonas_media",0,1,1
"Enterobacter_bugandensis",0,0,10
"Leclercia_adecarboxylata",0.011740412979351,5,1
"Citrobacter_farmeri",0,1,22
"Pluralibacter_gergoviae",0.00482464765650607,4,1
"Prevotella_sp_F0091",0.0121533923303835,4,5
"Prevotella_sp_oral_taxon_376",0.00482464765650607,3,1
"Serratia_marcescens",0,0,36
"Atlantibacter_hermannii",0,1,35
"Prevotella_veroralis",0.0043002294329728,2,5
"Prevotella_sp_oral_taxon_306",0.0263782366437234,2,5
"Proteus_hauseri",0.0501081612586037,3,1
"Selenomonas_sp_oral_taxon_138",7.86627335299902e-05,2,13
"Tannerella_sp_oral_taxon_HOT_286",0.00528085705336796,6,4
"Providencia_alcalifaciens",0.00482464765650607,1,1
"Parvimonas_sp_oral_taxon_110",0,0,8
"Bacteroides_sp_OM08_11",0,0,34
"Porphyromonas_somerae",0.058829094581307,6,3
"Klebsiella_variicola_CAG_634",0,0,35
"Kluyvera_cryocrescens",0,0,1
"Bacteroides_sp_CAG_661",0.0023284169124877,3,6
"Prevotella_oulorum",0.0136152081284825,2,5
"Aerococcus_urinaeequi",0,3,11
"Enterococcus_asini",0.00482464765650607,0,1
"Bacteroides_heparinolyticus",0,0,2
"Succinatimonas_hippei",0,0,30
"Lactobacillus_pentosus",0,2,11
"Prevotella_multiformis",0,0,5
"Prevotella_multisaccharivorax",0.00409046214355949,2,3
"Streptococcus_sp_HMSC067H01",0,0,3
"Leptotrichia_sp_oral_taxon_879",0.00180924287118977,1,5
"Leptotrichia_sp_oral_taxon_225",0.0504634546050475,2,5
"Kosakonia_oryzae",0,1,1
"Centipeda_periodontii",0.0305211406096362,1,3
"Megamonas_rupellensis",0,0,10
"Streptococcus_sp_oral_taxon_056",0.000196656833824975,0,7
"Mitsuokella_sp_oral_taxon_131",0,0,3
"Oribacterium_sp_oral_taxon_078",0.031171417254714,1,3
"Bifidobacterium_moukalabense",8.74030372555447e-05,2,2
"Flavonifractor_sp_An82",0.0023284169124877,2,6
"Selenomonas_sp_oral_taxon_920",0,1,13
"Limnochorda_pilosa",0.0163609460055015,4,2
"Paludisphaera_borealis",0.0023284169124877,0,6
"Franconibacter_helveticus",0,3,2
"Acholeplasma_oculi",0.0122696399316161,4,2
"Mycoplasma_hominis",0,0,3
"Staphylococcus_capitis",0,1,11
"Aerococcus_viridans",0,0,11
"Selenomonas_sp_FOBRC6",7.86627335299902e-05,0,13
"Leptotrichia_sp_oral_taxon_847",0.064385447394297,3,3
"Lactobacillus_ingluviei",0.00549186477958332,2,2
"Aeromonas_allosaccharophila",0,0,31
"Selenomonas_sp_oral_taxon_126",0,0,13
"Prevotella_scopos",0,0,5
"Campylobacter_mucosalis",0.00409046214355949,1,2
"Ottowia_sp_oral_taxon_894",0.0122696399316161,2,2
"Agitococcus_lubricus",0.0485618683921183,2,2
"Leptotrichia_buccalis",0.0122696399316161,0,2
"Campylobacter_rectus",0.00973451327433628,1,3
"Prevotella_baroniae",0,0,3
"Selenomonas_infelix",0.00973451327433628,0,3
"Capnocytophaga_gingivalis",0,1,22
"Romboutsia_lituseburensis",0,0,12
"Kosakonia_radicincitans",0,0,1
"Porphyromonas_sp_oral_taxon_278",3.93313667649951e-05,0,22
"Oenococcus_alcoholitolerans",0.0659930649103228,0,3
"Capnocytophaga_sputigena",0,1,20
"Neisseria_polysaccharea",0,0,20
