Healthy_species	Unhealthy_species
Abiotrophia_defectiva	Acinetobacter_bereziniae
Abiotrophia_sp_HMSC24B09	Acinetobacter_ursingii
Absiella_dolichum	Anaerobiospirillum_thomasii
Acidaminococcus_fermentans	Anaerotruncus_sp_CAG_528
Acidaminococcus_intestini	Bacteroides_pectinophilus
Acidaminococcus_sp_CAG_542	Bacteroides_sp_CAG_530
Actinobaculum_sp_oral_taxon_183	Bifidobacterium_merycicum
Actinomyces_graevenitzii	Bifidobacterium_ruminantium
Actinomyces_naeslundii	Blastocystis_sp_subtype_1
Actinomyces_odontolyticus	Brachyspira_pilosicoli
Actinomyces_oris	Brachyspira_sp_CAG_700
Actinomyces_radicidentis	Butyrivibrio_crossotus
Actinomyces_sp_HMSC035G02	Butyrivibrio_sp_CAG_318
Actinomyces_sp_HPA0247	Candidatus_Gastranaerophilales_bacterium_HUM_9
Actinomyces_sp_ICM47	Catenibacterium_mitsuokai
Actinomyces_sp_S6_Spd3	Cetobacterium_somerae
Actinomyces_sp_oral_taxon_170	Clostridium_sp_CAG_413
Actinomyces_sp_oral_taxon_180	Clostridium_sp_CAG_510
Actinomyces_sp_oral_taxon_181	Clostridium_sp_CAG_590
Actinomyces_turicensis	Clostridium_sp_CAG_632
Actinotignum_timonense	Clostridium_sp_CAG_964
Adlercreutzia_equolifaciens	Clostridium_ventriculi
Aeriscardovia_aeriphila	Comamonas_kerstersii
Aeromonas_veronii	Coprococcus_eutactus
Aggregatibacter_aphrophilus	Corynebacterium_accolens
Aggregatibacter_sp_oral_taxon_458	Corynebacterium_matruchotii
Akkermansia_muciniphila	Desulfovibrio_piger
Alistipes_finegoldii	Enterococcus_hirae
Alistipes_indistinctus	Escherichia_fergusonii
Alistipes_inops	Eubacterium_coprostanoligenes
Alistipes_onderdonkii	Eubacterium_sp_CAG_180
Alistipes_putredinis	Eubacterium_sp_CAG_251
Alistipes_shahii	Eubacterium_sp_CAG_786
Alistipes_sp_An31A	Firmicutes_bacterium_CAG_110
Alistipes_timonensis	Firmicutes_bacterium_CAG_170
Alkaliphilus_oremlandii	Firmicutes_bacterium_CAG_534
Allisonella_histaminiformans	Firmicutes_bacterium_CAG_791
Alloprevotella_tannerae	Firmicutes_bacterium_CAG_95
Alloscardovia_omnicolens	Helicobacter_pylori
Anaerococcus_vaginalis	Holdemanella_biformis
Anaerofilum_sp_An201	Lactobacillus_animalis
Anaerofustis_stercorihominis	Lactobacillus_ruminis
Anaeroglobus_geminatus	Lactococcus_garvieae
Anaeromassilibacillus_sp_An172	Lactococcus_petauri
Anaeromassilibacillus_sp_An250	Neisseria_mucosa
Anaerostipes_caccae	Oscillibacter_sp_57_20
Anaerostipes_hadrus	Peptoniphilus_sp_HMSC062D09
Anaerotignum_lactatifermentans	Phascolarctobacterium_succinatutens
Anaerotruncus_colihominis	Prevotella_copri
Asaccharobacter_celatus	Prevotella_sp_885
Atopobium_minutum	Prevotella_sp_AM42_24
Atopobium_parvulum	Prevotella_sp_CAG_1092
Atopobium_rimae	Prevotella_sp_CAG_279
Atopobium_vaginae	Prevotella_sp_CAG_520
Bacillus_cereus_group	Prevotella_sp_CAG_5226
Bacteroidales_bacterium_KA00251	Prevotella_sp_CAG_873
Bacteroides_caccae	Prevotella_stercorea
Bacteroides_cellulosilyticus	Pseudomonas_fluorescens_group
Bacteroides_clarus	Pseudopropionibacterium_propionicum
Bacteroides_coprocola	Rhodococcus_qingshengii
Bacteroides_coprophilus	Roseburia_sp_831b
Bacteroides_dorei	Roseburia_sp_CAG_182
Bacteroides_eggerthii	Ruminococcus_champanellensis
Bacteroides_faecis	Ruminococcus_obeum_CAG_39
Bacteroides_faecis_CAG_32	Ruminococcus_sp_CAG_330
Bacteroides_finegoldii	Ruminococcus_sp_CAG_403
Bacteroides_fluxus	Ruminococcus_sp_CAG_488
Bacteroides_fragilis	Ruminococcus_sp_CAG_563
Bacteroides_galacturonicus	Ruminococcus_sp_CAG_579
Bacteroides_heparinolyticus	Stenotrophomonas_rhizophila
Bacteroides_intestinalis	Streptococcus_gallolyticus
Bacteroides_massiliensis	Streptococcus_infantarius
Bacteroides_nordii	Streptococcus_lutetiensis
Bacteroides_oleiciplenus	Streptococcus_macedonicus
Bacteroides_ovatus	Treponema_berlinense
Bacteroides_plebeius	Treponema_succinifaciens
Bacteroides_salyersiae	Variovorax_paradoxus
Bacteroides_sartorii	Vibrio_cholerae
Bacteroides_sp_43_108	Weissella_confusa
Bacteroides_sp_CAG_144	Zymomonas_mobilis
Bacteroides_sp_CAG_443	
Bacteroides_sp_CAG_462	
Bacteroides_sp_CAG_661	
Bacteroides_sp_D2	
Bacteroides_sp_OM05_12	
Bacteroides_sp_OM08_11	
Bacteroides_stercorirosoris	
Bacteroides_stercoris	
Bacteroides_thetaiotaomicron	
Bacteroides_uniformis	
