Source,Target,Correlation,Dissimilarity
9,241,0.7254762501100117,0.27529033671755165
12,18,0.7254762501100117,0.28720550537380374
12,28,0.7254762501100117,0.15775280898876406
12,239,0.7254762501100117,0.19419086321089674
18,119,0.7254762501100117,0.19669156083846712
21,165,0.7254762501100117,0.2876224294051862
24,307,0.7254762501100117,0.22595122755046834
25,207,0.7254762501100117,0.01300952800494519
28,36,0.7254762501100117,0.1250682687056253
36,239,0.7254762501100117,0.20535713323944335
89,141,0.994459833795014,0.286016964373113
89,643,0.7254762501100117,0.20064202283983407
89,790,0.7254762501100117,0.2715748151881336
99,168,0.994459833795014,0.21158022151800332
119,127,0.7254762501100117,0.2513293546457572
141,449,0.7254762501100117,0.2668760160339981
147,275,0.7060180864974627,0.1608407883117877
147,301,0.7254762501100117,0.2537781286390774
147,752,0.7254762501100117,0.09033843179578446
156,227,0.7890670211098891,0.24486622390011198
193,1179,0.7254762501100117,0.22608945204436698
245,335,0.7939459645042157,0.21304703262638428
245,527,0.7939459645042157,0.20453796570160065
246,481,0.7254762501100117,0.19681496101903326
251,301,0.7254762501100117,0.29492521471372807
252,301,0.7254762501100117,0.2724025927684958
252,752,0.7254762501100117,0.11944989498096091
