"from","to","weight"
"Bacteroides_vulgatus","Bacteroides_thetaiotaomicron",1
"Bacteroides_vulgatus","Prevotella_copri",1
"Bacteroides_vulgatus","Bacteroides_uniformis",1
"Bacteroides_vulgatus","Bacteroides_stercoris",1
"Bacteroides_vulgatus","Bacteroides_dorei",1
"Bacteroides_vulgatus","Bacteroides_finegoldii",1
"Roseburia_faecis","Faecalibacterium_prausnitzii",1
"Roseburia_faecis","Roseburia_inulinivorans",1
"Roseburia_faecis","Lachnospira_pectinoschiza",1
"Roseburia_faecis","Eubacterium_sp_CAG_38",1
"Roseburia_faecis","Dialister_sp_CAG_357",1
"Ruminococcus_gnavus","Blautia_wexlerae",1
"Ruminococcus_gnavus","Faecalibacterium_prausnitzii",1
"Ruminococcus_gnavus","Blautia_sp_CAG_257",1
"Ruminococcus_gnavus","Erysipelatoclostridium_ramosum",1
"Ruminococcus_gnavus","Eggerthella_lenta",1
"Ruminococcus_gnavus","Dorea_sp_CAG_317",1
"Ruminococcus_gnavus","Clostridium_innocuum",1
"Ruminococcus_gnavus","Prevotella_copri",1
"Ruminococcus_gnavus","Bacteroides_uniformis",1
"Ruminococcus_gnavus","Oscillibacter_sp_57_20",1
"Ruminococcus_gnavus","Odoribacter_splanchnicus",1
"Ruminococcus_gnavus","Coprococcus_eutactus",1
"Ruminococcus_gnavus","Parabacteroides_merdae",1
"Ruminococcus_gnavus","Gemmiger_formicilis",1
"Ruminococcus_gnavus","Alistipes_putredinis",1
"Ruminococcus_gnavus","Eubacterium_sp_CAG_180",1
"Ruminococcus_gnavus","Alistipes_shahii",1
"Ruminococcus_gnavus","Clostridium_symbiosum",1
"Ruminococcus_gnavus","Bifidobacterium_adolescentis",1
"Ruminococcus_gnavus","Clostridium_bolteae",1
"Ruminococcus_gnavus","Veillonella_parvula",1
"Ruminococcus_gnavus","Tyzzerella_nexilis",1
"Ruminococcus_gnavus","Blautia_producta",1
"Ruminococcus_gnavus","Blautia_hansenii",1
"Roseburia_intestinalis","Faecalibacterium_prausnitzii",1
"Roseburia_intestinalis","Roseburia_inulinivorans",1
"Roseburia_intestinalis","Clostridium_sp_CAG_167",1
"Blautia_wexlerae","Flavonifractor_plautii",1
"Blautia_wexlerae","Clostridium_clostridioforme",1
"Blautia_wexlerae","Eggerthella_lenta",1
"Blautia_wexlerae","Dorea_sp_CAG_317",1
"Blautia_wexlerae","Agathobaculum_butyriciproducens",1
"Blautia_wexlerae","Anaerostipes_hadrus",1
"Blautia_wexlerae","Eubacterium_hallii",1
"Blautia_wexlerae","Eubacterium_sp_CAG_274",1
"Blautia_wexlerae","Bacteroides_nordii",1
"Blautia_wexlerae","Bifidobacterium_pseudocatenulatum",1
"Blautia_wexlerae","Tyzzerella_nexilis",1
"Blautia_wexlerae","Clostridium_sp_CAG_299",1
"Blautia_wexlerae","Clostridium_scindens",1
"Eubacterium_eligens","Faecalibacterium_prausnitzii",1
"Eubacterium_eligens","Lachnospira_pectinoschiza",1
"Eubacterium_eligens","Collinsella_stercoris",1
"Eubacterium_eligens","Roseburia_sp_CAG_303",1
"Eubacterium_eligens","Eubacterium_limosum",1
"Bacteroides_thetaiotaomicron","Flavonifractor_plautii",1
"Bacteroides_thetaiotaomicron","Clostridium_innocuum",1
"Bacteroides_thetaiotaomicron","Bacteroides_uniformis",1
"Bacteroides_thetaiotaomicron","Parabacteroides_distasonis",1
"Bacteroides_thetaiotaomicron","Bacteroides_ovatus",1
"Bacteroides_thetaiotaomicron","Bacteroides_fragilis",1
"Bacteroides_thetaiotaomicron","Bacteroides_xylanisolvens",1
"Bacteroides_thetaiotaomicron","Enterococcus_faecium",1
"Bacteroides_thetaiotaomicron","Bacteroides_faecis",1
"Bacteroides_thetaiotaomicron","Phascolarctobacterium_faecium",1
"Bacteroides_thetaiotaomicron","Clostridioides_difficile",1
"Faecalibacterium_prausnitzii","Coprococcus_comes",1
"Faecalibacterium_prausnitzii","Flavonifractor_plautii",1
"Faecalibacterium_prausnitzii","Escherichia_coli",1
"Faecalibacterium_prausnitzii","Fusicatenibacter_saccharivorans",1
"Faecalibacterium_prausnitzii","Ruthenibacterium_lactatiformans",1
"Faecalibacterium_prausnitzii","Roseburia_inulinivorans",1
"Faecalibacterium_prausnitzii","Coprococcus_eutactus",1
"Faecalibacterium_prausnitzii","Gemmiger_formicilis",1
"Faecalibacterium_prausnitzii","Coprococcus_catus",1
"Faecalibacterium_prausnitzii","Ruminococcus_bicirculans",1
"Faecalibacterium_prausnitzii","Clostridium_sp_CAG_167",1
"Faecalibacterium_prausnitzii","Acidaminococcus_intestini",1
"Faecalibacterium_prausnitzii","Mogibacterium_diversum",1
"Faecalibacterium_prausnitzii","Oribacterium_sinus",1
"Faecalibacterium_prausnitzii","Solobacterium_moorei",1
"Faecalibacterium_prausnitzii","Anaerofustis_stercorihominis",1
"Faecalibacterium_prausnitzii","Enterococcus_thailandicus",1
"Coprococcus_comes","Ruthenibacterium_lactatiformans",1
"Coprococcus_comes","Collinsella_aerofaciens",1
"Coprococcus_comes","Dorea_longicatena",1
"Coprococcus_comes","Blautia_obeum",1
"Coprococcus_comes","Anaerostipes_hadrus",1
"Coprococcus_comes","Eubacterium_hallii",1
"Coprococcus_comes","Eubacterium_ramulus",1
"Coprococcus_comes","Streptococcus_sp_oral_taxon_058",1
"Ruminococcaceae_bacterium_D16","Butyricimonas_virosa",1
"Ruminococcaceae_bacterium_D16","Citrobacter_werkmanii",1
"Ruminococcaceae_bacterium_D16","Enterobacter_mori",1
"Ruminococcaceae_bacterium_D16","Megamonas_rupellensis",1
"Ruminococcaceae_bacterium_D16","Gemmiger_sp_An120",1
"Streptococcus_thermophilus","Streptococcus_pasteurianus",1
"Streptococcus_thermophilus","Roseburia_sp_CAG_309",1
"Streptococcus_thermophilus","Turicimonas_muris",1
"Streptococcus_thermophilus","Hafnia_alvei",1
