"from","to","weight"
"Bacteroides_vulgatus","Bacteroides_thetaiotaomicron",1
"Bacteroides_vulgatus","Prevotella_sp_CAG_279",1
"Bacteroides_vulgatus","Bacteroides_stercoris",1
"Bacteroides_vulgatus","Parabacteroides_distasonis",1
"Bacteroides_vulgatus","Bacteroides_ovatus",1
"Bacteroides_vulgatus","Alistipes_shahii",1
"Bacteroides_vulgatus","Bacteroides_clarus",1
"Bacteroides_vulgatus","Firmicutes_bacterium_CAG_555",1
"Bacteroides_vulgatus","Mitsuokella_multacida",1
"Roseburia_faecis","Roseburia_hominis",1
"Roseburia_faecis","Eubacterium_sp_CAG_38",1
"Roseburia_faecis","Alistipes_putredinis",1
"Roseburia_faecis","Bifidobacterium_adolescentis",1
"Roseburia_faecis","Actinomyces_oris",1
"Roseburia_faecis","Butyrivibrio_crossotus",1
"Roseburia_faecis","Prevotella_corporis",1
"Roseburia_faecis","Zymomonas_mobilis",1
"Ruminococcus_gnavus","Parabacteroides_johnsonii",1
"Ruminococcus_gnavus","Bacteroides_fragilis",1
"Ruminococcus_gnavus","Bacteroides_xylanisolvens",1
"Ruminococcus_gnavus","Clostridium_sp_CAG_590",1
"Ruminococcus_gnavus","Roseburia_sp_CAG_182",1
"Ruminococcus_gnavus","Bacteroides_plebeius",1
"Ruminococcus_gnavus","Megasphaera_elsdenii",1
"Ruminococcus_gnavus","Morganella_morganii",1
"Roseburia_intestinalis","Clostridium_sp_CAG_253",1
"Roseburia_intestinalis","Victivallis_vadensis",1
"Roseburia_intestinalis","Prevotella_sp_CAG_1092",1
"Blautia_wexlerae","Dorea_formicigenerans",1
"Blautia_wexlerae","Collinsella_aerofaciens",1
"Blautia_wexlerae","Gemmiger_formicilis",1
"Blautia_wexlerae","Firmicutes_bacterium_CAG_83",1
"Blautia_wexlerae","Catenibacterium_mitsuokai",1
"Blautia_wexlerae","Eubacterium_hallii",1
"Blautia_wexlerae","Roseburia_sp_CAG_471",1
"Blautia_wexlerae","Methanobrevibacter_smithii",1
"Blautia_wexlerae","Lactobacillus_mucosae",1
"Eubacterium_eligens","Escherichia_coli",1
"Eubacterium_eligens","Roseburia_inulinivorans",1
"Eubacterium_eligens","Ruminococcus_torques",1
"Eubacterium_eligens","Eubacterium_sp_CAG_251",1
"Eubacterium_eligens","Lachnospira_pectinoschiza",1
"Eubacterium_eligens","Eubacterium_sp_CAG_38",1
"Eubacterium_eligens","Eubacterium_rectale",1
"Eubacterium_eligens","Collinsella_massiliensis",1
"Eubacterium_eligens","Collinsella_intestinalis",1
"Eubacterium_eligens","Ruminococcus_sp_CAG_403",1
"Eubacterium_eligens","Allisonella_histaminiformans",1
"Eubacterium_eligens","Enterococcus_hirae",1
"Eubacterium_eligens","Eubacterium_coprostanoligenes",1
"Eubacterium_eligens","Cetobacterium_somerae",1
"Bacteroides_thetaiotaomicron","Phascolarctobacterium_succinatutens",1
"Bacteroides_thetaiotaomicron","Odoribacter_splanchnicus",1
"Bacteroides_thetaiotaomicron","Paraprevotella_xylaniphila",1
"Bacteroides_thetaiotaomicron","Bacteroides_massiliensis",1
"Bacteroides_thetaiotaomicron","Parabacteroides_johnsonii",1
"Bacteroides_thetaiotaomicron","Alistipes_finegoldii",1
"Bacteroides_thetaiotaomicron","Alistipes_putredinis",1
"Bacteroides_thetaiotaomicron","Akkermansia_muciniphila",1
"Bacteroides_thetaiotaomicron","Phascolarctobacterium_faecium",1
"Faecalibacterium_prausnitzii","Escherichia_coli",1
"Faecalibacterium_prausnitzii","Prevotella_copri",1
"Faecalibacterium_prausnitzii","Actinomyces_sp_S6_Spd3",1
"Faecalibacterium_prausnitzii","Phascolarctobacterium_succinatutens",1
"Faecalibacterium_prausnitzii","Roseburia_inulinivorans",1
"Faecalibacterium_prausnitzii","Gemmiger_formicilis",1
"Faecalibacterium_prausnitzii","Eubacterium_rectale",1
"Faecalibacterium_prausnitzii","Agathobaculum_butyriciproducens",1
"Faecalibacterium_prausnitzii","Turicimonas_muris",1
"Faecalibacterium_prausnitzii","Eubacterium_sulci",1
"Faecalibacterium_prausnitzii","Enterococcus_gallinarum",1
"Faecalibacterium_prausnitzii","Haemophilus_haemolyticus",1
"Coprococcus_comes","Dorea_formicigenerans",1
"Coprococcus_comes","Ruminococcus_bromii",1
"Coprococcus_comes","Slackia_isoflavoniconvertens",1
"Coprococcus_comes","Dorea_longicatena",1
"Coprococcus_comes","Clostridium_sp_CAG_253",1
"Coprococcus_comes","Eubacterium_hallii",1
"Coprococcus_comes","Ruminococcus_obeum_CAG_39",1
"Coprococcus_comes","Methanobrevibacter_smithii",1
"Coprococcus_comes","Lactobacillus_crispatus",1
"Coprococcus_comes","Roseburia_sp_CAG_182",1
"Coprococcus_comes","Prevotella_sp_AM42_24",1
"Coprococcus_comes","Clostridium_sp_CAG_510",1
"Coprococcus_comes","Weissella_confusa",1
"Coprococcus_comes","Proteus_mirabilis",1
"Streptococcus_thermophilus","Lachnospira_pectinoschiza",1
"Streptococcus_thermophilus","Eubacterium_sp_CAG_38",1
"Streptococcus_thermophilus","Bifidobacterium_dentium",1
"Streptococcus_thermophilus","Holdemanella_biformis",1
"Streptococcus_thermophilus","Streptococcus_anginosus_group",1
"Streptococcus_thermophilus","Eubacterium_sp_OM08_24",1
"Streptococcus_thermophilus","Lactobacillus_rogosae",1
"Streptococcus_thermophilus","Eubacterium_sp_CAG_786",1
"Flavonifractor_plautii","Hungatella_hathewayi",1
