"from","to","weight"
"Bacteroides_vulgatus","Bacteroides_thetaiotaomicron",1
"Bacteroides_vulgatus","Prevotella_copri",1
"Bacteroides_vulgatus","Bacteroides_uniformis",1
"Bacteroides_vulgatus","Prevotella_sp_CAG_279",1
"Bacteroides_vulgatus","Bacteroides_stercoris",1
"Bacteroides_vulgatus","Bacteroides_dorei",1
"Bacteroides_vulgatus","Bacteroides_caccae",1
"Bacteroides_vulgatus","Bacteroides_ovatus",1
"Bacteroides_vulgatus","Firmicutes_bacterium_CAG_83",1
"Bacteroides_vulgatus","Bacteroides_massiliensis",1
"Bacteroides_vulgatus","Bacteroides_fragilis",1
"Bacteroides_vulgatus","Bacteroides_xylanisolvens",1
"Bacteroides_vulgatus","Bifidobacterium_adolescentis",1
"Bacteroides_vulgatus","Parasutterella_excrementihominis",1
"Bacteroides_vulgatus","Clostridium_sp_CAG_299",1
"Bacteroides_vulgatus","Lactobacillus_rogosae",1
"Bacteroides_vulgatus","Bacteroides_galacturonicus",1
"Roseburia_faecis","Bacteroides_thetaiotaomicron",1
"Roseburia_faecis","Faecalibacterium_prausnitzii",1
"Roseburia_faecis","Coprococcus_comes",1
"Roseburia_faecis","Roseburia_inulinivorans",1
"Roseburia_faecis","Dorea_longicatena",1
"Roseburia_faecis","Anaerostipes_hadrus",1
"Roseburia_faecis","Streptococcus_parasanguinis",1
"Roseburia_faecis","Clostridium_sp_CAG_253",1
"Roseburia_faecis","Eubacterium_hallii",1
"Roseburia_faecis","Eubacterium_sp_CAG_274",1
"Roseburia_faecis","Barnesiella_intestinihominis",1
"Roseburia_faecis","Actinomyces_odontolyticus",1
"Roseburia_faecis","Tyzzerella_nexilis",1
"Roseburia_faecis","Clostridium_lavalense",1
"Roseburia_faecis","Prevotella_disiens",1
"Ruminococcus_gnavus","Flavonifractor_plautii",1
"Ruminococcus_gnavus","Erysipelatoclostridium_ramosum",1
"Ruminococcus_gnavus","Eggerthella_lenta",1
"Ruminococcus_gnavus","Parabacteroides_distasonis",1
"Ruminococcus_gnavus","Hungatella_hathewayi",1
"Ruminococcus_gnavus","Bifidobacterium_adolescentis",1
"Ruminococcus_gnavus","Prevotella_bivia",1
"Ruminococcus_gnavus","Dialister_sp_CAG_357",1
"Ruminococcus_gnavus","Bifidobacterium_pseudocatenulatum",1
"Ruminococcus_gnavus","Mitsuokella_multacida",1
"Ruminococcus_gnavus","Clostridium_sp_CAG_678",1
"Roseburia_intestinalis","Faecalibacterium_prausnitzii",1
"Roseburia_intestinalis","Lachnospira_pectinoschiza",1
"Roseburia_intestinalis","Bifidobacterium_dentium",1
"Roseburia_intestinalis","Veillonella_dispar",1
"Roseburia_intestinalis","Bacteroides_cellulosilyticus",1
"Roseburia_intestinalis","Bacteroides_xylanisolvens",1
"Roseburia_intestinalis","Parabacteroides_goldsteinii",1
"Roseburia_intestinalis","Cronobacter_sakazakii",1
"Roseburia_intestinalis","Pseudomonas_lundensis",1
"Blautia_wexlerae","Eubacterium_hallii",1
"Blautia_wexlerae","Eisenbergiella_massiliensis",1
"Blautia_wexlerae","Acidaminococcus_intestini",1
"Blautia_wexlerae","Blautia_hydrogenotrophica",1
"Blautia_wexlerae","Phascolarctobacterium_sp_CAG_266",1
"Blautia_wexlerae","Rothia_mucilaginosa",1
"Blautia_wexlerae","Clostridium_lavalense",1
"Eubacterium_eligens","Dorea_formicigenerans",1
"Eubacterium_eligens","Clostridium_innocuum",1
"Eubacterium_eligens","Streptococcus_mitis",1
"Eubacterium_eligens","Roseburia_inulinivorans",1
"Eubacterium_eligens","Alistipes_inops",1
"Eubacterium_eligens","Clostridium_sp_CAG_58",1
"Eubacterium_eligens","Ruminococcus_lactaris",1
"Eubacterium_eligens","Veillonella_atypica",1
"Eubacterium_eligens","Clostridium_sp_CAG_253",1
"Eubacterium_eligens","Lactobacillus_salivarius",1
"Eubacterium_eligens","Streptococcus_mutans",1
"Eubacterium_eligens","Clostridium_leptum",1
"Eubacterium_eligens","Parabacteroides_goldsteinii",1
"Eubacterium_eligens","Muribaculum_intestinale",1
"Bacteroides_thetaiotaomicron","Flavonifractor_plautii",1
"Bacteroides_thetaiotaomicron","Prevotella_copri",1
"Bacteroides_thetaiotaomicron","Collinsella_aerofaciens",1
"Bacteroides_thetaiotaomicron","Bacteroides_dorei",1
"Bacteroides_thetaiotaomicron","Parabacteroides_distasonis",1
"Bacteroides_thetaiotaomicron","Bacteroides_ovatus",1
"Bacteroides_thetaiotaomicron","Holdemania_filiformis",1
"Bacteroides_thetaiotaomicron","Clostridium_bolteae",1
"Bacteroides_thetaiotaomicron","Clostridium_asparagiforme",1
"Faecalibacterium_prausnitzii","Fusicatenibacter_saccharivorans",1
"Faecalibacterium_prausnitzii","Clostridium_spiroforme",1
"Faecalibacterium_prausnitzii","Clostridium_clostridioforme",1
"Faecalibacterium_prausnitzii","Roseburia_inulinivorans",1
"Faecalibacterium_prausnitzii","Oscillibacter_sp_57_20",1
"Faecalibacterium_prausnitzii","Roseburia_hominis",1
"Faecalibacterium_prausnitzii","Gemmiger_formicilis",1
"Faecalibacterium_prausnitzii","Agathobaculum_butyriciproducens",1
"Faecalibacterium_prausnitzii","Alistipes_onderdonkii",1
"Faecalibacterium_prausnitzii","Streptococcus_mutans",1
"Faecalibacterium_prausnitzii","Turicimonas_muris",1
"Faecalibacterium_prausnitzii","Prevotella_bivia",1
"Faecalibacterium_prausnitzii","Tyzzerella_nexilis",1
"Faecalibacterium_prausnitzii","Clostridium_sp_CAG_299",1
"Faecalibacterium_prausnitzii","Prevotella_sp_CAG_924",1
"Faecalibacterium_prausnitzii","Clostridium_aldenense",1
"Faecalibacterium_prausnitzii","Firmicutes_bacterium_CAG_424",1
"Coprococcus_comes","Clostridium_spiroforme",1
"Coprococcus_comes","Prevotella_stercorea",1
"Coprococcus_comes","Dorea_longicatena",1
