Sample,T2,Prediction T2,Q,Prediction Q,Combined,Prediction Combined
Sample1a,2.374186104920913,Healthy,10.60877425848896,Unhealthy,1.834315015226355,Unhealthy
Sample1b,0.9901969345442025,Healthy,3.1854453879128,Healthy,0.5618752367081861,Healthy
Sample5a,28.967690508475737,Unhealthy,46.474326793837506,Unhealthy,8.778469568698048,Unhealthy
Sample5b,28.782062525119265,Unhealthy,52.89721774978838,Unhealthy,9.824090118168955,Unhealthy
Sample6a,8.011652946007791,Healthy,28.044188377713297,Unhealthy,4.91842567336462,Unhealthy
Sample6b,18.19770711204214,Healthy,47.622443997945844,Unhealthy,8.535833985141672,Unhealthy
Sample3b,5.6459949464667245,Healthy,27.34117514251673,Unhealthy,4.708522869670885,Unhealthy
Sample3a,1.7797722902720032,Healthy,5.296595741728906,Healthy,0.939591255050884,Healthy
Sample7a,3.3022628731401866,Healthy,3.751370135419638,Healthy,0.7471580416784547,Healthy
Sample7b,3.2166415570711866,Healthy,3.6742333880910882,Healthy,0.7310858749876149,Healthy
Sample10a,11.15563708414091,Healthy,53.45132231407043,Unhealthy,9.209760999409587,Unhealthy
Sample10b,2.5195474318249174,Healthy,8.785032313600905,Unhealthy,1.5411239955174896,Healthy
Sample19a,1.375035130915639,Healthy,7.480587842488367,Unhealthy,1.2814692893984954,Healthy
Sample19b,1.3798466775366678,Healthy,7.505351658624721,Unhealthy,1.2857218651078184,Healthy
Sample20b,4.234203656446754,Healthy,4.7964321409370125,Healthy,0.9557821365415449,Healthy
Sample20a,0.9901969345442025,Healthy,3.1854453879128,Healthy,0.5618752367081861,Healthy
Sample23a,2.4850482667567877,Healthy,7.792775332915175,Unhealthy,1.3770611098540004,Healthy
Sample23b,2.393562649919971,Healthy,4.699431599389298,Healthy,0.866240646625194,Healthy
Sample25a,35.17585855417575,Unhealthy,138.11000158781752,Unhealthy,24.05070598129492,Unhealthy
Sample25b,5.452385143620351,Healthy,8.566756246206921,Unhealthy,1.622670427025737,Healthy
Sample26a,1.9385125870629252,Healthy,9.934367158636125,Unhealthy,1.706314630940486,Healthy
