"","b","hub","c"
"Bacteroides_vulgatus",0,1,17
"Ruminococcus_gnavus",0.00693301997649824,3,3
"Bacteroides_thetaiotaomicron",5.87544065804935e-05,1,17
"Coprococcus_comes",0,1,19
"Ruminococcaceae_bacterium_D16",0.0103407755581669,5,2
"Blautia_sp_CAG_257",0.0560838365186191,7,2
"Flavonifractor_plautii",0,1,3
"Lactococcus_lactis",0,1,29
"Firmicutes_bacterium_CAG_94",0,0,2
"Erysipelatoclostridium_ramosum",0.00693301997649824,4,3
"Clostridium_disporicum",0,1,22
"Firmicutes_bacterium_CAG_646",0,10,4
"Clostridium_clostridioforme",0.0168037602820212,3,3
"Dorea_sp_CAG_317",0.0517038777908343,4,2
"Clostridium_innocuum",0.0249118683901293,3,8
"Streptococcus_oralis",0.000783392087739913,10,9
"Klebsiella_pneumoniae",0.000783392087739913,9,9
"Streptococcus_mitis",0,1,9
"Actinomyces_sp_S6_Spd3",0,2,14
"Collinsella_aerofaciens",0,1,23
"Prevotella_sp_CAG_520",0,3,7
"Bacteroides_uniformis",0,0,17
"Prevotella_sp_CAG_279",0,1,27
"Prevotella_sp_CAG_873",0,3,12
"Oscillibacter_sp_57_20",5.87544065804935e-05,1,19
"Lachnospira_pectinoschiza",0,1,21
"Prevotella_stercorea",0,2,7
"Haemophilus_parainfluenzae",0,1,20
"Bacteroides_sp_CAG_144",0,1,11
"Clostridium_sp_CAG_58",0,1,3
"Bifidobacterium_dentium",0,4,11
"Veillonella_infantium",0,1,20
"Veillonella_atypica",5.87544065804935e-05,0,20
"Bifidobacterium_animalis",0.00246768507638073,4,1
"Catenibacterium_mitsuokai",0,0,27
"Eubacterium_ventriosum",0,1,26
"Firmicutes_bacterium_CAG_238",0,1,25
"Alistipes_putredinis",0,1,24
"Veillonella_sp_T11011_6",0.00543478260869565,3,1
"Ruminococcus_bicirculans",0,0,26
"Coprobacillus_cateniformis",0.0102232667450059,4,8
"Bifidobacterium_bifidum",0.00246768507638073,2,6
"Candidatus_Gastranaerophilales_bacterium",0.00255161994292429,3,2
"Asaccharobacter_celatus",0.00352526439482961,2,10
"Adlercreutzia_equolifaciens",0,0,10
"Alistipes_onderdonkii",0.00543478260869565,2,1
"Gordonibacter_pamelaeae",0,1,2
"Collinsella_stercoris",0,0,23
"Ruminococcus_obeum_CAG_39",0,2,12
"Anaerotruncus_colihominis",0.013572267920094,2,10
"Harryflintia_acetispora",0.00482981569938092,3,2
"Clostridium_symbiosum",0,0,10
"Enterorhabdus_caecimuris",0.00375731462687984,10,2
"Lactobacillus_salivarius",0.00176263219741481,9,7
"Methanobrevibacter_smithii",0,0,25
"Streptococcus_anginosus_group",6.60987074030552e-05,9,7
"Lactobacillus_mucosae",0,2,8
"Lactobacillus_delbrueckii",0.0115158636897767,9,9
"Bacteroides_salyersiae",0,1,6
"Ruminococcus_sp_CAG_403",0,1,14
"Alistipes_indistinctus",0,1,28
"Gemella_sanguinis",0.0115158636897767,8,9
"Clostridium_leptum",0,0,24
"Clostridium_citroniae",0,0,3
"Pseudoflavonifractor_capillosus",0,1,2
"Methanosphaera_stadtmanae",0,4,6
"Victivallis_vadensis",0,0,28
"Phascolarctobacterium_faecium",0.00705052878965922,2,1
"Clostridium_bolteae",0,0,19
"Anaerotruncus_sp_CAG_528",0.00188014101057579,9,9
"Bacteroides_coprocola",0.00246768507638073,1,6
"Bacteroides_faecis_CAG_32",2.61130695913305e-05,10,5
"Bacteroides_coprophilus",0.000705052878965922,2,5
"Firmicutes_bacterium_CAG_555",0,2,13
"Bacteroides_pectinophilus",0,0,29
"Dialister_sp_CAG_357",0.00176263219741481,9,5
"Bacteroides_sp_CAG_633",2.61130695913305e-05,8,5
"Acidaminococcus_fermentans",0.00649236192714454,6,1
"Klebsiella_variicola",0.00188014101057579,8,9
"Bifidobacterium_catenulatum",0.0164512338425382,2,1
"Streptococcus_gordonii",6.60987074030552e-05,8,7
"Enterococcus_faecalis",0,2,15
"Prevotella_sp_CAG_1185",0,1,1
"Parabacteroides_sp_CAG_409",0.0102232667450059,2,8
"Firmicutes_bacterium_CAG_145",0,0,2
"Pseudoflavonifractor_sp_An184",0.00352526439482961,0,2
"Prevotella_sp_CAG_1092",0,6,7
"Streptococcus_lutetiensis",0,9,4
"Butyricicoccus_pullicaecorum",0,8,4
"Absiella_dolichum",0,7,4
"Eubacterium_dolichum_CAG_375",0,6,4
"Tyzzerella_nexilis",0,2,8
"Clostridium_sp_CAG_242",0.0334312573443008,9,2
"Prevotella_sp_AM42_24",0,1,9
"Butyrivibrio_sp_CAG_318",0,0,6
"Alistipes_sp_An66",0,3,6
"Megasphaera_elsdenii",0.0301997649823737,2,1
"Acidaminococcus_intestini",0.0299647473560517,6,4
"Blautia_hydrogenotrophica",0.00352526439482961,1,3
"Anaerotignum_lactatifermentans",0.0455052878965922,1,3
"Prevotella_sp_CAG_617",0,0,5
"Flavonifractor_sp_An10",0,0,22
"Alistipes_timonensis",0.00246768507638073,2,1
"Clostridium_sp_CAG_299",0,1,3
"Anaerofilum_sp_An201",0,1,8
"Pseudomonas_aeruginosa_group",0,3,11
"Dialister_succinatiphilus",0,0,8
"Enterobacter_cloacae_complex",0,4,4
"Bacteroides_sp_CAG_530",0,0,7
"Ruminococcus_callidus",2.61130695913305e-05,7,5
"Mitsuokella_jalaludinii",5.87544065804935e-05,2,16
"Dielma_fastidiosa",0,0,2
"Clostridium_sp_CAG_964",0.0356051703877791,3,6
"Lactobacillus_acidophilus",0.00152761457109283,3,1
"Desulfovibrionaceae_bacterium",0.0253819036427732,0,9
"Ruminococcus_sp_CAG_563",0,1,6
"Fretibacterium_fastidiosum",0.00481786133960047,0,1
"Streptococcus_australis",0.00188014101057579,7,9
"Lactobacillus_ruminis",0,0,16
"Fusobacterium_sp_CAG_439",0.00375731462687984,8,2
"Rothia_mucilaginosa",0,4,9
"Eubacterium_sp_OM08_24",0,1,18
"Bacteroides_sp_CAG_927",0.00152761457109283,2,1
"Lactobacillus_rogosae",0,0,21
"Hafnia_alvei",0,2,11
"Clostridium_asparagiforme",0.0103113983548766,0,3
"Clostridium_lavalense",0.00693301997649824,0,10
"Lactobacillus_sakei",0,1,15
"Enterococcus_durans",0,1,11
"Bacteroides_galacturonicus",0.00482981569938092,2,2
"Clostridium_bolteae_CAG_59",0,0,2
"Prevotella_sp_CAG_1031",0,1,12
"Bacteroides_sp_CAG_598",0.00173325499412456,1,8
"Mitsuokella_multacida",0,0,16
"Klebsiella_quasipneumoniae",0.00188014101057579,5,9
"Streptococcus_infantis",0.00188014101057579,4,9
"Streptococcus_sp_A12",0.00188014101057579,3,9
"Firmicutes_bacterium_CAG_534",2.61130695913305e-05,6,5
"Ruminococcus_champanellensis",0,0,14
"Megamonas_hypermegale",0.00916568742655699,0,1
