"","b","hub","c"
"Firmicutes_bacterium_CAG_94",0,1,8
"Dorea_formicigenerans",0,1,32
"Streptococcus_salivarius",0,1,30
"Streptococcus_pasteurianus",0,1,31
"Eggerthella_lenta",0,1,23
"Klebsiella_pneumoniae",0,2,12
"Lachnoclostridium_sp_An118",0.00413419913419914,5,2
"Atopobium_parvulum",0.0446320346320346,8,2
"Clostridiales_bacterium_CHKCI006",0,3,5
"Prevotella_sp_CAG_520",0.00199134199134199,7,4
"Prevotella_sp_CAG_279",0,1,21
"Alistipes_inops",0,2,11
"Paraprevotella_xylaniphila",0,1,9
"Dorea_longicatena",0,0,32
"Parabacteroides_johnsonii",0,1,11
"Bacteroides_finegoldii",0,1,9
"Streptococcus_parasanguinis",0,0,30
"Asaccharobacter_celatus",0,1,28
"Adlercreutzia_equolifaciens",0,0,28
"Gordonibacter_pamelaeae",0,0,23
"Parvimonas_micra",0,1,3
"Collinsella_stercoris",0,2,8
"Collinsella_massiliensis",0.000324675324675325,2,8
"Gemella_morbillorum",0.00357841083647535,39,1
"Atopobium_rimae",0.00357841083647535,38,1
"Enterorhabdus_caecimuris",0,0,8
"Lactobacillus_salivarius",0,2,1
"Lactobacillus_paragasseri",0.00636363636363637,2,1
"Lactobacillus_gasseri",0.0187515710096355,3,1
"Parascardovia_denticolens",0.0262337662337663,30,5
"Lactobacillus_gastricus",0,1,27
"Lactobacillus_mucosae",0,1,15
"Lactobacillus_oris",0.00357841083647535,36,1
"Lactobacillus_fermentum",0,0,1
"Bacteroides_eggerthii",3.24675324675325e-05,3,9
"Clostridium_sp_CAG_590",0,3,7
"Ruminococcus_sp_CAG_403",0.00199134199134199,6,4
"Parasutterella_excrementihominis",0,1,25
"Proteobacteria_bacterium_CAG_139",0,0,25
"Bacteroides_faecis",0,2,9
"Bacteroides_coprocola",0,1,9
"Bacteroides_faecis_CAG_32",0.00100649350649351,2,9
"Blastocystis_sp_subtype_1",0,2,2
"Prevotella_bivia",0,28,1
"Paraprevotella_clara",0.00038961038961039,0,9
"Sutterella_parvirubra",0,1,22
"Firmicutes_bacterium_CAG_555",0,0,21
"Bacteroides_pectinophilus",0,1,19
"Actinomyces_sp_oral_taxon_448",0,1,5
"Acidaminococcus_fermentans",0,0,19
"Klebsiella_variicola",0,1,12
"Prevotella_sp_CAG_1185",0,2,10
"Prevotella_sp_CAG_1092",0.00199134199134199,5,4
"Absiella_dolichum",0,1,18
"Eubacterium_dolichum_CAG_375",0,0,18
"Prevotella_sp_AM42_24",0,2,7
"Ruminococcus_sp_CAG_330",0,1,15
"Enorma_massiliensis",0,0,8
"Anaerofilum_sp_An201",0.0188311688311688,5,2
"Pseudomonas_aeruginosa_group",0.0862337662337662,3,3
"Lactobacillus_johnsonii",0.00314935064935065,3,1
"Ruminococcus_sp_CAG_488",0.0225974025974026,3,4
"Bacteroides_sp_CAG_530",0,1,7
"Mitsuokella_jalaludinii",0.0474675324675325,6,4
"Butyrivibrio_crossotus",0,0,9
"Lactobacillus_amylovorus",6.49350649350649e-05,0,15
"Varibaculum_cambriense",0.00357841083647535,34,1
"Desulfovibrionaceae_bacterium",0,0,11
"Ruminococcus_sp_CAG_563",0.0726623376623377,3,4
"Streptococcus_australis",0,1,29
"Fusobacterium_sp_CAG_439",0,2,13
"Lactobacillus_sakei",0,4,2
"Prevotella_sp_CAG_1031",0,1,17
"Clostridium_sp_CAG_413",0,1,16
"Bacteroides_sp_CAG_598",0,1,26
"Mitsuokella_multacida",0,0,4
"Klebsiella_quasipneumoniae",0,0,12
"Alloscardovia_omnicolens",0.0262337662337663,27,1
"Streptococcus_infantis",0,0,29
"Clostridium_hylemonae",0.0152272727272727,2,2
"Firmicutes_bacterium_CAG_534",0.000194805194805195,1,7
"Lactobacillus_vaginalis",0.00357841083647535,32,1
"Bacteroides_fluxus",0,1,10
"Neisseria_flavescens",0,1,4
"Weissella_confusa",0,0,31
"Fusobacterium_nucleatum",0.103831168831169,27,3
"Finegoldia_magna",0,25,1
