"","b","hub","c"
"Bacteroides_vulgatus",0,1,1
"Ruminococcaceae_bacterium_D16",0,1,1
"Blautia_sp_CAG_257",0,1,18
"Firmicutes_bacterium_CAG_94",0,1,36
"Clostridium_disporicum",0,1,12
"Actinomyces_sp_ICM47",0,6,3
"Clostridium_saccharolyticum",0.00263014692544894,3,3
"Clostridium_celatum",0.0108833665880646,3,4
"Dorea_sp_CAG_317",0,1,27
"Streptococcus_oralis",0.00292943950662072,9,3
"Klebsiella_pneumoniae",0.00128484188886873,10,3
"Actinomyces_sp_S6_Spd3",0,3,9
"Phascolarctobacterium_succinatutens",0.000717999879073705,7,5
"Bacteroides_stercoris",0,1,13
"Alistipes_inops",0,3,1
"Bacteroides_dorei",0,1,35
"Lachnospira_pectinoschiza",0,3,1
"Bacteroides_caccae",0,1,24
"Haemophilus_parainfluenzae",0,1,22
"Firmicutes_bacterium_CAG_110",0,1,4
"Coprococcus_eutactus",0.00199528387447851,3,1
"Paraprevotella_xylaniphila",0.00108833665880646,2,1
"Bacteroides_sp_CAG_144",0,1,26
"Ruminococcus_lactaris",0,1,14
"Gemmiger_formicilis",0,0,35
"Bifidobacterium_dentium",0.0140803555233085,5,3
"Firmicutes_bacterium_CAG_83",0,1,16
"Desulfovibrio_piger",3.88691663859449e-05,10,2
"Bacteroides_massiliensis",0,1,13
"Parabacteroides_johnsonii",9.06947215672048e-05,1,14
"Veillonella_dispar",0,0,22
"Veillonella_atypica",0,1,34
"Bacteroides_finegoldii",9.06947215672048e-05,0,13
"Oscillibacter_sp_CAG_241",0.00018138944313441,2,6
"Firmicutes_bacterium_CAG_238",3.88691663859449e-05,9,2
"Alistipes_finegoldii",0.00018138944313441,1,6
"Alistipes_putredinis",9.06947215672048e-05,1,16
"Veillonella_sp_T11011_6",0,0,34
"Akkermansia_muciniphila",0,1,17
"Bacteroides_xylanisolvens",0,0,24
"Asaccharobacter_celatus",0,1,21
"Eisenbergiella_tayi",0.000906947215672048,2,5
"Adlercreutzia_equolifaciens",0,0,21
"Alistipes_onderdonkii",0,1,33
"Ruminococcaceae_bacterium_D5",0,1,10
"Hungatella_hathewayi",0,0,5
"Parvimonas_micra",0.00018138944313441,3,11
"Eubacterium_sp_CAG_274",0,1,20
"Flavonifractor_sp_An100",0,1,10
"Harryflintia_acetispora",0,0,36
"Clostridium_symbiosum",0.00217667331761291,3,5
"Firmicutes_bacterium_CAG_170",0,7,2
"Methanobrevibacter_smithii",0,0,6
"Coprobacter_fastidiosus",0,0,6
"Lactobacillus_paragasseri",0.00128484188886873,9,3
"Lactobacillus_gasseri",0,4,3
"Actinomyces_oris",0.00128484188886873,7,3
"Streptococcus_mutans",0,3,7
"Lactobacillus_crispatus",0,3,8
"Lactobacillus_delbrueckii",0,1,32
"Bacteroides_salyersiae",0.000906947215672048,4,5
"Barnesiella_intestinihominis",0,0,14
"Bacteroides_eggerthii",0,1,1
"Roseburia_sp_CAG_309",0,0,33
"Parasutterella_excrementihominis",9.06947215672048e-05,1,17
"Roseburia_sp_CAG_182",0,1,29
"Firmicutes_bacterium_CAG_95",0,0,29
"Alistipes_indistinctus",0,0,16
"Butyricimonas_synergistica",0,0,26
"Coprobacter_secundus",0,0,5
"Gemella_sanguinis",0,2,7
"Proteobacteria_bacterium_CAG_139",0,0,17
"Bacteroides_faecis",0.00362778886268819,1,1
"Bacteroides_clarus",0,1,23
"Parabacteroides_goldsteinii",3.88691663859449e-05,7,2
"Bacteroides_coprocola",0,2,1
"Bacteroides_faecis_CAG_32",0.0038091783058226,1,1
"Bifidobacterium_angulatum",3.88691663859449e-05,6,2
"Bacteroides_coprophilus",0.00108833665880646,0,1
"Prevotella_bivia",0,2,8
"Paraprevotella_clara",0.00326500997641937,2,1
"Sutterella_parvirubra",0.000113368401959006,4,5
"Cloacibacillus_porcorum",0,0,20
"Dialister_sp_CAG_357",0,2,12
"Enterococcus_faecalis",0.00018138944313441,1,12
"Bifidobacterium_pseudocatenulatum",0,0,23
"Prevotella_sp_CAG_5226",3.88691663859449e-05,5,2
"Firmicutes_bacterium_CAG_145",0.00018138944313441,1,10
"Roseburia_sp_CAG_303",0,2,2
"Absiella_dolichum",0,1,19
"Eubacterium_dolichum_CAG_375",0,0,19
"Eisenbergiella_massiliensis",0.00163250498820969,0,5
"Acidaminococcus_intestini",0,1,8
"Faecalitalea_cylindroides",0.00489751496462906,3,4
"Enorma_massiliensis",0,2,9
"Clostridium_sp_CAG_299",0,2,5
"Cloacibacillus_evryensis",0.00018138944313441,0,10
"Pyramidobacter_piscolens",0,1,25
"Dialister_succinatiphilus",3.88691663859449e-05,3,2
"Butyrivibrio_crossotus",0.00362778886268819,0,1
"Clostridium_sp_CAG_964",0,0,12
"Lactobacillus_acidophilus",0,0,11
"Desulfovibrionaceae_bacterium",0,0,1
"Streptococcus_sanguinis",0.00525273595743394,9,3
"Prevotella_corporis",0,0,3
"Mogibacterium_diversum",0.00128484188886873,5,3
"Lactobacillus_ruminis",3.88691663859449e-05,2,2
"Rothia_mucilaginosa",0.00525273595743394,7,3
"Lactobacillus_sakei",0.00340105205877018,1,4
"Clostridium_bolteae_CAG_59",0,0,18
"Streptococcus_infantis",0,1,7
"Megamonas_hypermegale",0,2,5
"Brachyspira_sp_CAG_700",0.00253945220388173,0,4
"Neisseria_flavescens",0,1,2
"Actinomyces_sp_HMSC035G02",0.00253945220388173,3,3
"Fusobacterium_nucleatum",0,1,11
"Eubacterium_sulci",0,1,9
"Clostridium_paraputrificum",0,0,7
"Megamonas_funiformis",0,1,31
"Prevotella_timonensis",0,3,3
"Porphyromonas_asaccharolytica",0.000906947215672048,3,3
"[Collinsella]_massiliensis",0,1,15
"Klebsiella_michiganensis",0,1,30
"Dialister_pneumosintes",0,0,11
"Campylobacter_ureolyticus",0.00292943950662072,3,3
"Streptococcus_sp_F0442",0.00292943950662072,2,3
