"","b","hub","c"
"Coprococcus_comes",6.96136442742778e-05,2,21
"Actinomyces_sp_oral_taxon_181",0.00595196658545075,15,3
"Streptococcus_oralis",0,1,3
"Klebsiella_pneumoniae",0,2,17
"Actinomyces_sp_HPA0247",0.00036202919948134,13,3
"Prevotella_sp_CAG_520",0.000487295509919944,5,7
"Prevotella_sp_CAG_279",0,1,30
"Ruminococcus_torques",0,0,21
"Prevotella_stercorea",3.48068221371389e-05,4,7
"Dorea_longicatena",0,0,21
"Desulfovibrio_piger",0,4,8
"Veillonella_dispar",2.32045480914259e-05,4,13
"Veillonella_infantium",2.32045480914259e-05,3,13
"Veillonella_atypica",2.32045480914259e-05,2,13
"Clostridium_perfringens",0,5,6
"Veillonella_sp_T11011_6",0,0,13
"Holdemanella_biformis",0,0,30
"Asaccharobacter_celatus",0,1,29
"Adlercreutzia_equolifaciens",0,0,29
"Parvimonas_micra",0,2,15
"Collinsella_stercoris",0,1,27
"Ruminococcus_obeum_CAG_39",0,1,25
"Anaerotruncus_colihominis",0,1,24
"Collinsella_intestinalis",0,0,27
"Atopobium_rimae",0.00036202919948134,12,3
"Clostridium_symbiosum",0,0,24
"Firmicutes_bacterium_CAG_170",0,2,3
"Lactobacillus_salivarius",0,5,5
"Streptococcus_anginosus_group",0,3,14
"Lactobacillus_paragasseri",4.64090961828518e-05,4,11
"Actinomyces_oris",0,2,3
"Lactobacillus_mucosae",0,4,6
"Lactobacillus_delbrueckii",0,3,1
"Enterococcus_faecium",0,15,2
"Lactobacillus_fermentum",0.00093978419770275,1,3
"Parasutterella_excrementihominis",0,2,18
"Gemella_sanguinis",0.00036202919948134,11,3
"Proteobacteria_bacterium_CAG_139",0,1,18
"Olsenella_scatoligenes",0,4,5
"Victivallis_vadensis",0,4,1
"Actinomyces_odontolyticus",0.00139227288548556,2,1
"Turicimonas_muris",0,0,18
"Anaerotruncus_sp_CAG_528",0,1,22
"Veillonella_parvula",0,0,13
"Bifidobacterium_angulatum",0,4,9
"Blastocystis_sp_subtype_1",0,2,16
"Bacteroides_coprophilus",1.74034110685694e-05,5,7
"Prevotella_bivia",0,1,4
"Allisonella_histaminiformans",0.00036202919948134,10,3
"Firmicutes_bacterium_CAG_555",0.00036202919948134,9,3
"Klebsiella_variicola",0,1,17
"Bifidobacterium_catenulatum",0,3,9
"Enterococcus_faecalis",0.00146188652975983,16,2
"Prevotella_sp_CAG_5226",0.000185636384731407,4,7
"Parabacteroides_sp_CAG_409",6.96136442742778e-05,1,22
"Prevotella_sp_CAG_1092",0.000185636384731407,3,7
"Streptococcus_lutetiensis",0,5,4
"Absiella_dolichum",0,3,8
