"","b","hub","c"
"Bacteroides_vulgatus",0.00353366585807192,13,2
"Roseburia_faecis",0.00526619352431882,8,2
"Roseburia_intestinalis",0.0160682627241282,4,2
"Blautia_wexlerae",0,1,2
"Eubacterium_eligens",0.00241212311043025,12,2
"Bacteroides_thetaiotaomicron",0.0192907361350637,11,2
"Faecalibacterium_prausnitzii",0.0607867512201185,18,2
"Coprococcus_comes",0.00680255381343931,16,2
"Ruminococcaceae_bacterium_D16",0.0124982188686411,13,2
"Streptococcus_thermophilus",0.0265109965940433,9,4
"Dialister_invisus",0.00371340474882445,9,2
"Blautia_sp_CAG_257",0.00399241827220138,19,3
"Flavonifractor_plautii",0.0182695444556388,8,2
"Firmicutes_bacterium_CAG_94",0.0106873558287865,21,4
"Turicibacter_sanguinis",0.0109641436171336,5,7
"Erysipelatoclostridium_ramosum",0.0327441419361053,4,1
"Fusicatenibacter_saccharivorans",0.0238497585364459,15,2
"Clostridium_disporicum",0.0116998755971289,9,2
"Intestinibacter_bartlettii",0.0125711191198224,6,2
"Clostridium_saccharolyticum",0.000791732147339936,21,4
"Dorea_formicigenerans",0.00681755768169793,11,2
"Streptococcus_salivarius",0.00103031437718146,2,7
"Clostridium_clostridioforme",0.00399241827220138,18,3
"Streptococcus_pasteurianus",0,7,6
"Eggerthella_lenta",0.0389401538408294,36,3
"Dorea_sp_CAG_317",0.0193075010533694,22,2
"Propionibacterium_freudenreichii",0.000692419527574689,17,2
"Clostridium_innocuum",0,1,1
"Actinomyces_sp_oral_taxon_181",0.00204891392608737,21,7
"Streptococcus_oralis",0.070108838483429,18,7
"Klebsiella_pneumoniae",0.00738108866517889,17,4
"Streptococcus_mitis",0.0385465679419217,8,2
"Ruthenibacterium_lactatiformans",0.0247060479164901,10,4
"Prevotella_copri",0.00359648081395101,18,7
"Collinsella_aerofaciens",0.0307945414161393,10,3
"Romboutsia_ilealis",0.0543786216306205,12,7
"Eubacterium_siraeum",0.00738108866517889,16,4
"Bacteroides_uniformis",0.0146821298368138,11,2
"Ruminococcus_bromii",0.00285504982976987,4,2
"Phascolarctobacterium_succinatutens",0.000692419527574689,16,2
"Roseburia_inulinivorans",0.0115246899749085,12,2
"Ruminococcus_torques",0.0312466662223539,6,2
"Bacteroides_stercoris",0.000431407517007329,6,2
"Oscillibacter_sp_57_20",0.00122251577651605,4,2
"Bacteroides_dorei",0,6,2
"Bacteroides_caccae",0.00710194717729004,5,2
"Parabacteroides_distasonis",0.0311608667695957,13,2
"Haemophilus_parainfluenzae",0.00085083542161447,5,7
"Odoribacter_splanchnicus",0.0103791978081862,13,2
"Firmicutes_bacterium_CAG_110",0.000791732147339936,18,4
"Paraprevotella_xylaniphila",0.0193075010533694,18,2
"Slackia_isoflavoniconvertens",0.0120858463972437,17,4
"Bacteroides_ovatus",0.00401717458080792,3,2
"Clostridium_sp_CAG_58",0.0354003369324378,9,4
"Roseburia_hominis",0.0297479231003057,13,2
"Dorea_longicatena",0,1,5
