Source,Target,Correlation,Dissimilarity
1,7,0.7983193277310926,0.26668101468212396
1,55,0.8487394957983194,0.24580636630051284
1,69,0.8487394957983194,0.2550761022013879
2,153,0.8319327731092437,0.2672164543676374
3,80,0.7647058823529412,0.19979890946710918
3,213,0.7983193277310926,0.23971193865460202
4,94,0.7983193277310926,0.11544747378002464
4,104,0.9495798319327733,0.098641528057981
4,113,0.73109243697479,0.2622501629875427
4,195,0.7983193277310926,0.12787764629860648
5,55,0.7983193277310926,0.2820649163148492
5,62,0.9663865546218487,0.11500352560168779
5,64,0.9327731092436976,0.2202617732169715
5,150,0.8823529411764707,0.22469686003409176
6,153,0.865546218487395,0.2995921041014068
6,195,0.8823529411764707,0.23832058698090136
8,82,0.73109243697479,0.13600359823279154
8,143,0.7142857142857144,0.14597269166217863
8,153,0.7142857142857144,0.23861399810039105
12,103,0.9058823529411766,0.18634258417486138
12,148,0.9002613999474233,0.09257142617677878
12,187,0.9764705882352942,0.2692491644565387
12,542,0.9058823529411766,0.22972972941562672
12,691,0.9764705882352942,0.14489650716420802
12,882,0.9764705882352942,0.19398173178703315
13,105,0.9532691695074738,0.16501501446759365
15,85,0.8583655653917318,0.2670611071226226
16,136,0.75,0.036458326809354596
16,289,0.75,0.2934472934472935
17,130,0.8583655653917318,0.24999998042994243
17,187,0.9764705882352942,0.2925356673755967
17,275,0.9294117647058824,0.15804657047475656
18,133,0.8677218312746247,0.2586068888791756
18,275,0.8406055240472927,0.2635306227910306
19,55,0.8487394957983194,0.2723296529589009
19,69,0.8487394957983194,0.2560830527453795
19,96,0.9159663865546219,0.21996537392672655
19,150,0.73109243697479,0.26977621764504944
20,66,0.96875,0.23357662878682345
20,103,0.8677218312746247,0.2796935043173113
20,133,0.8677218312746247,0.23900120119216567
20,542,0.8677218312746247,0.25189681939896963
26,82,0.73109243697479,0.2034927470166508
27,287,0.7267170336924982,0.06361191117151697
31,41,0.73109243697479,0.22002056431360714
33,66,0.96875,0.2387923016002061
33,103,0.8677218312746247,0.283429320659891
33,133,0.8677218312746247,0.2412150214920624
33,542,0.8677218312746247,0.250190119830332
34,124,0.8199778267512093,0.24534188293088352
34,350,0.7627700713964739,0.17438940031400285
41,140,0.865546218487395,0.26134138879293733
45,76,0.865546218487395,0.12674876177742372
46,201,0.9199999999999999,0.26566639279155196
49,76,0.8487394957983194,0.17779305114394844
55,62,0.7983193277310926,0.23346110160043723
55,64,0.9327731092436976,0.19813878194211884
55,150,0.8823529411764707,0.25926492725881034
56,70,0.9532691695074738,0.1485384758906233
56,92,0.8681558508014494,0.1803660528611386
56,116,0.8000651958366298,0.2319137985876155
56,213,0.9532691695074738,0.2415204533561397
57,67,0.73109243697479,0.28009199648838407
57,69,0.8487394957983194,0.24411649370579636
57,96,0.9159663865546219,0.22542949448959348
57,100,0.7142857142857144,0.295470652490217
60,65,0.865546218487395,0.22441557287959324
60,78,0.9495798319327733,0.18853489397461465
60,106,0.7142857142857144,0.2782210157528607
60,152,0.8319327731092437,0.20550251752151083
62,64,0.9327731092436976,0.23160161309678667
64,67,0.7815126050420169,0.29271017204723615
64,150,0.9159663865546219,0.16933454698613445
65,78,0.9495798319327733,0.14517876088605394
66,189,0.8406055240472927,0.25852587224248347
66,245,0.96875,0.2645161224245687
66,542,0.8406055240472927,0.27513228425294667
66,566,0.96875,0.11443850025061271
66,633,0.96875,0.10747184596799379
66,691,0.7592566023652966,0.27962086430761507
67,100,0.9831932773109244,0.08417584706166409
67,116,0.865546218487395,0.1912426162060587
