"","train_4007","train_4008","train_4009","train_4010","train_4011","train_4012","train_4013","train_4014","train_4015","train_4016","train_4017","train_4018","train_4019","train_4020","train_4021","train_4022","train_4023","train_4024","train_4025","train_4026"
"Bacteroides_vulgatus",0.89668,2.62721,3.20477,0.26799,6.09801,11.0775,1.06701,36.0027,4.32836,7.54208,1.07418,4.20178,1.31834,0.15727,5.23285,0.80828,4.47793,23.19116,0.07855,22.62613
"Roseburia_faecis",0.35048,0.45893,0.04369,0.06367,0.00404,0,0.42489,0.75308,0.13945,0,0.3145,0,0.10737,0.01449,0.55591,0.06306,0,1.02332,0.01608,0
"Ruminococcus_gnavus",0,0.11868,0,0.00026,0,0,0,0.19402,0.1874,0.01036,0,0,0.32986,0,0,0,0.03344,0,0,0.09549
"Roseburia_intestinalis",0,0.21548,0,0.48764,0,0.7337,0.01902,0,0,0,0,0.01133,0.09592,0.39521,0,0.27307,0,0.02592,0.0153,0.15461
"Blautia_wexlerae",0.0013,0,0.00241,0.03423,0.01608,0.00337,0,0,0.0291,0.01918,0.00358,0.07952,0,0,0.00077,0.04324,0.00717,0.01136,0.01837,0.00183
"Eubacterium_eligens",0,0.00921,0.2897,0.18571,0,0.31926,0.00719,0,4.33578,0.18231,0.03133,0.00424,0.01292,0,0,0.00729,1.1493,0.36647,0.11881,0.16534
"Bacteroides_thetaiotaomicron",0.06637,0.67775,0.27638,0.22543,0.25963,0.24643,0.12757,1.61708,0.07028,0.93123,0.086,1.09603,0.01299,0.25167,0.35657,0.00068,0.97934,0.52345,0.92394,0.55616
"Faecalibacterium_prausnitzii",0.50872,1.17655,2.67085,3.13482,0.99766,28.72165,4.31189,0.04699,0.2081,15.4732,2.60059,4.76872,1.16232,10.28653,4.36269,2.48225,4.40376,5.41879,2.43963,4.12019
"Coprococcus_comes",0,0.00699,0,0.03909,0,0.16071,0.00659,0,0,0.21929,0.0386,0.02188,0,0,0.00108,0,0.15165,0.20102,0.05841,0.05425
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0,0,0,0,0,0,0.06488,0,0,0,1.33192,0,0,0
"Streptococcus_thermophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_invisus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_sp_CAG_257",0,0,0,0,0,0,0,0,0.01195,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_plautii",0.42999,0.10109,0.11747,0.03401,0.21366,0.1077,0.12949,9.19944,3.59968,0.10671,0.33159,1.48347,0.0341,3.57257,0.13096,0.05358,13.64805,0.03992,0.21035,0.56387
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",0.10885,0.76623,0.01971,0.0404,0.10129,0.20142,1.99571,0.89218,1.34616,0.10312,0.13362,6.14928,29.4945,0.8227,0.12642,1.6425,0.03629,0.23588,0.79874,0.31835
"Firmicutes_bacterium_CAG_94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13847,0,0,0
"Turicibacter_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00957,0
"Erysipelatoclostridium_ramosum",0,0,0,0,0,0,0,0,0.01991,0,0,0,0,0,0,0,0,0,0.00167,0
"Fusicatenibacter_saccharivorans",0.07466,0.0713,0.02829,0.41751,0.00097,0.13182,0.08132,0.24979,0.45633,0,0.10642,0.00058,0,0.26764,0.06084,0.0127,0,0.02994,0.00211,0.06704
"Clostridium_disporicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0.00496,0,0,0,0,0,0,0,0,0,0.01673,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_spiroforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03621,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0,0.69456,0,0,0,0,0,0,0,0,0,0,0
