"","train_1189","train_1248","train_1296","train_1363","train_1379","train_1380","train_1383","train_1384","train_1390","train_1395","train_1399","train_1404","train_1407","train_1414","train_1418","train_1419","train_1422","train_1429","train_1438","train_1440","train_1442","train_1445","train_1447","train_1460","train_1689","train_1702","train_1709","train_1713","train_1716","train_1750","train_1763","train_1791","train_1802","train_1826","train_1831","train_1835","train_1848","train_1850","train_1856","train_1900","train_1903","train_1912"
"Bacteroides_vulgatus",7.71726,13.89787,11.10884,0,6.97233,0.00156,9.38615,0.02734,1.37391,0.60555,6.93303,10.19685,9.84312,3.38791,15.58092,0.30788,0.03564,8.41428,10.9934,0.00542,0,3.47215,5.52338,0,3.73592,3.09307,8.65702,1.62781,4.73458,2.73959,3.09722,8.67419,3.83922,0,1.27723,1.21502,2.31763,0.13673,0.18172,0.44475,0.32743,5.02784
"Roseburia_faecis",2.39136,0.36381,8.86591,0.06971,1.59173,0.10795,6.17504,0,1.44046,1.09849,2.08257,0.01442,0.44768,4.43947,1.6621,0.00597,0.73879,1.18283,0,0,0.20233,1.25917,3.26411,0,0.09782,0,0.26687,0.70318,9.44696,1.06372,3.54573,7.51539,0,12.7828,1.35773,0.43291,0.20508,1.88958,3.03845,5.23352,1.89772,5.35633
"Ruminococcus_gnavus",0.24584,0.4025,0.24721,0,0,0,0,0.02503,0,0,0.32982,0.13165,0,0.09544,0.03289,0,0,0,0,0.34095,0,0,0.01214,0.6561,0,0,0.02483,0,0,0.03663,0,0,0.11151,0.0082,0,0,0.00735,0,0,0,0,0
"Roseburia_intestinalis",0,0,8.64159,0.01446,0,1.83639,2.8152,1.27304,0.02406,0,1.00191,0,0.0185,2.14015,0.30684,0.04801,0,0.30875,0.02821,0,1.15617,0.35877,0.82899,0,0.07553,1.41357,4.13632,2.62432,0.99932,0.01628,0,0.32023,1.04006,0.08258,0.00511,1.02427,0.04318,0.05715,0,0.70141,0.03633,0.48173
"Blautia_wexlerae",0,0,0.09507,0,0.00164,0.14849,0.00196,0.17564,0.02816,0.03185,0.03177,0.30627,0.00906,0.01355,0,0.05224,0.01625,0.01941,0.11851,1.75682,0.01135,0.04871,0.03176,1.27058,0.00905,0.62899,0.24257,0.62612,0.00753,0.02943,0.01992,0.01347,0.00333,0.05877,0,0.06402,0.01748,0.1864,0.01646,0.08708,0.03707,0.12636
"Eubacterium_eligens",0,1.44767,0,3.76619,0.12323,3.85361,5.26927,9.72453,0,3.3904,8.2312,4.40736,0,0,0.21448,1.2075,1.67982,5.4691,0,0,3.53784,0,4.45726,0,0.03003,4.42359,0.50692,0.74155,1.09282,0.91292,2.61287,1.26253,0,0.10357,0.17037,1.20026,0.92494,5.02293,0.35901,2.39024,2.22932,0
"Bacteroides_thetaiotaomicron",1.85675,0.04243,0,0.49605,0.44812,0,0.53375,0.87986,0,2.41917,0.3543,5.28853,2.11741,0.28698,1.51818,1.58936,0,0.66294,2.62569,4.14289,0.036,0.1892,0.95065,0,1.25031,1.13013,2.17268,0,0.0107,0.35539,1.28253,0.21046,0.29059,1.35807,0.03497,0.72657,0.45165,0.15135,0.06808,1.90626,0.02377,1.22792
"Faecalibacterium_prausnitzii",0,8.11213,3.84208,4.28387,2.98634,5.61634,9.43145,12.02219,4.36368,14.99985,8.65522,4.82513,0.62568,7.40823,3.62206,3.03914,2.8299,7.8067,0.62199,0,3.69399,5.05706,8.374,5.10158,9.54402,2.72863,1.56602,9.49692,7.57405,10.65924,3.16522,5.60319,1.55718,14.55186,1.01083,5.26215,4.30493,4.96841,4.56139,5.36722,6.32338,1.28323
"Coprococcus_comes",0.02044,0.04298,1.59444,0.11298,0.01804,0.27977,0.15147,0.94685,0.82182,0.4971,0.47203,0.29079,0.30378,0.32525,0.36425,0.1467,0.18093,1.21222,0.02112,0,0.02286,0.22064,0.25462,0,0.4815,0.29467,0.29086,0.49941,0.75251,0.15147,0.03549,0.2321,0.21357,0.84115,0.13776,0.10605,0.2269,0.10263,0.03215,0.25298,0.12967,0.04308
"Ruminococcaceae_bacterium_D16",0,0,0.09758,0,0,0,0,0,0,0,0.00023,0,0,0.01539,0,0,0,0,0,0,0,0,0,0.0033,0,0,0,0,0,0,0,0,0.65776,0.00097,0,0,0,0,0.0034,0,0,0
