"","train_1382","train_1387","train_1423","train_1427","train_1699","train_1723","train_1756","train_1815","train_1822","train_1825","train_1839","train_1842","train_1845","train_1878","train_1902","train_1906"
"Bacteroides_vulgatus",2.19912,5.14337,15.04958,0.69353,0,0.91008,2.09301,0.39203,9.43068,2.61716,3.54934,0,8.82171,2.25679,5.50136,10.79389
"Roseburia_faecis",1.63837,1.39572,1.93835,2.32586,4.36633,0.39519,0.00466,3.52108,1.88782,0.62316,0.27497,1.44081,1.89043,0.12003,0,0
"Ruminococcus_gnavus",0,0.00304,0,0,0.00111,0,0,0,0.14299,0,0,0,0,0,0,0.03357
"Roseburia_intestinalis",1.90393,0.47542,1.27411,0.57697,1.27937,0,0.42744,0,0.12358,0.21258,0.3332,0.0323,0,0.00889,0,0
"Blautia_wexlerae",0.01271,0.04428,0.10985,0.02109,0.10099,0.02129,0.11853,0.01228,0.06045,0,0,0.54252,0,0,0.01742,0.02794
"Eubacterium_eligens",0.012,2.04061,3.044,1.38648,1.70968,1.62203,0,0.83564,0.63759,0.54029,0.91072,0.26368,4.70678,0.19689,0.8618,0
"Bacteroides_thetaiotaomicron",0.01538,0,1.08575,0.02451,0,0.03258,0,0.53205,2.18718,0.05386,3.16083,0,0.07729,0.1706,0,1.70327
"Faecalibacterium_prausnitzii",5.15406,2.27378,7.80778,3.74213,10.83238,2.53126,3.26423,6.30514,2.02606,9.39802,6.70632,4.63006,1.767,4.85849,16.36502,0
"Coprococcus_comes",0.26062,0.0767,0.16067,0.18756,0.2281,0.19622,0.21484,0.29189,0,1.62675,0.88358,0,0.50044,0.58912,0.83976,0
"Ruminococcaceae_bacterium_D16",0,0.01999,0.00673,0,0,0,0.02273,0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0.3534,0,0.31051,0,0.0175,0.02273,0,0,0,0.58108,0.05269,0,0,0,0.0195,0
"Dialister_invisus",0,0,0.00864,0,0.82553,0.19576,0,0,0,0,0,1.34859,0,0,0,0
"Blautia_sp_CAG_257",0,0,0,0,0,0,0,0,0.0053,0,0,0.00252,0,0,0,0.17176
"Flavonifractor_plautii",0.05879,0,0.07273,0.03527,0.15859,0.0457,0.12442,0,0.17498,0,0.23882,0.13973,0,0.11396,0,0.44991
