"","train_229","train_230","train_235","train_240","train_242","train_244","train_245","train_246","train_247","train_248","train_249","train_250","train_251","train_252","train_254","train_2007","train_2008","train_2009","train_2010","train_2011","train_2012","train_2013","train_2014","train_2015","train_2016","train_2017","train_2018","train_2019","train_2020","train_2021","train_2022","train_2023","train_2024","train_2025","train_2026","train_2027","train_2028","train_2029","train_2030","train_2031","train_2032","train_2033","train_2034","train_2035","train_2036","train_2037","train_2038","train_2039","train_2040","train_2041","train_2042","train_2043","train_2044","train_2045","train_2046","train_2047","train_2048","train_2049","train_2050","train_2051","train_2052","train_2053","train_2054","train_2055","train_2056","train_2057","train_2058","train_2059","train_2060","train_2061","train_2062","train_2063","train_2064","train_2065","train_2066","train_2067","train_2068","train_2069","train_2070","train_2071","train_2072","train_2075","train_2076","train_2098","train_2099","train_2100","train_2101","train_2103","train_2106","train_2107","train_2109","train_2110","train_2111","train_2112","train_2115","train_2116","train_2117","train_2120","train_2121","train_2129","train_2130","train_2133","train_2135","train_2136","train_2137","train_2138","train_2141","train_2142","train_2143","train_2144","train_2145","train_2146","train_2147","train_2148","train_2149","train_2150","train_2151","train_2152","train_2154","train_2155","train_2158","train_2159","train_2160","train_2161","train_2162","train_2163","train_2164","train_2165","train_2166","train_2167","train_2171","train_2172","train_2174","train_2175","train_2179","train_2180","train_2182","train_2183","train_2184","train_2185","train_2190","train_2192","train_2194","train_2195","train_2196","train_2197","train_2198","train_2199","train_2200","train_2201","train_2202","train_2203","train_2204","train_2205","train_2207"
"Bacteroides_vulgatus",3.28299,0.0581799999999999,0,0,8.8013,3.70371,5.42759,26.49587,0.42239,0.00291,0.0293399999999999,0.01893,0.0218,12.76256,18.33252,0.89497,2.33715,13.22004,4.41022,4.29136,1.2767,1.85867,1.27529,0.67231,0.46467,13.47494,20.86923,3.79878,1.53247,0,0.0063,1.03389,6.44961,13.82898,10.94858,4.29924,5.69283,18.68838,5.87821,2.78449,0.54749,0.79939,26.9522,28.46707,0,0,1.42946,0.8983,7.33177,11.04479,3.19414,16.60891,6.23942,4.4127,4.65853,2.31843,7.84085,44.70838,0,0,9.78154,15.16383,2.99202,4.32547,4.92204,0,0,7.11697,6.56145,9.53858,11.35255,0.1568,0.00954,5.45492,1.7262,3.71582,4.30439,1.3358,2.1685,2.21229,9.19459,10.88565,6.7126,1.60309,5.90354,38.33876,0.01379,0,25.3118,16.34835,15.05712,15.43651,30.04509,29.67894,27.59669,36.41511,44.12362,0,0.02509,42.01961,12.48887,17.57131,13.70106,10.14192,40.70476,1.49425,0,0,4.03756,0.00491,9.48198,0.53878,0.28781,1.49835,1.72465,7.7405,57.47003,0,2.68347,4.77796,6.52206,12.18171,12.30361,13.65169,14.88943,10.25152,4.45742,0.80042,2.39035,2.27189,1.392,0.5563,7.82491,14.73684,10.37524,11.69195,9.03404,0.01159,7.38192,10.69521,1.39587,8.82845,0,25.91,3.2892,0.00252,11.69059,4.45137,8.44452,0.14729,0.09925,2.37892,0.36333,1.88091,6.0364
"Roseburia_faecis",0,0,0,0,0.00106,1.11092,0.48441,0.00098,14.41391,2.645,0.0012699999999999,0.16923,0.62386,3.45415,2.09438,61.10209,35.27391,0,0,8.63607,7.75764,1.318,0.64797,3.26222,1.85439,0.04192,0.32827,0.6191,1.45617,0,0,15.27165,0.63083,1.82839,0.83366,17.73211,6.41822,1.92703,0.5042,0.01503,1.92634,1.43261,0,0,12.79074,6.73349,0.69266,0.46684,3.41642,1.79904,8.92998,2.23564,2.01123,3.61587,0.94991,1.12488,0.78228,1.23642,10.71803,11.17683,2.6791,0.18734,0.02778,0,0.00357,13.34368,10.22251,0.36797,1.56068,8.48079,0,3.68545,3.71426,10.72913,8.04422,5.88475,17.56882,1.90497,0.0083,1.96181,5.73231,4.71883,10.4181,3.85613,4.0865,0,0.08034,0,2.89293,1.12076,0,0,3.87138,0.16378,0,0.00355,0,0,0,0.10341,20.04726,16.43482,0,0,0,0,1.2111,3.60064,7.70603,0,0,0.92118,7.78084,0,0.00155,1.12146,2.02674,11.69706,3.95743,0.79001,0.97418,0,11.28393,0,1.91453,2.63846,0,1.13771,2.83657,4.95783,6.24806,1.83211,1.5761,12.40353,14.00304,12.21427,0.0258,0.00077,0.30777,0,0.20945,6.0205,0.0138,1.40078,2.73474,0,1.35435,6.51325,8.02515,3.28875,0.87993,7.11373,2.70094,1.83374,4.87046
"Ruminococcus_gnavus",0.19183,5.18844,0,1.73954,0.21718,1.32158,0.01097,6.93737,7.38634,0,3.02923,2.26261,0.02414,0.22441,0.80472,0,0.00647,0,0,0,0,0,0,0,0,0,0.44761,0,0,2.42854,0.41168,0,0,0,0.0036,0,0,0.01165,0.03671,0.01493,0,0,6.638,9.30396,0.01375,0,0,0,0.00069,0.56439,0,0,0,0.00677,0.0204199999999999,0.04618,0,0.01977,0,0,0.03613,0.63588,1.03578,0.11738,0.10985,0,0,0,0,0,0,0,0,0,0,0.15206,0.0928399999999999,0,0,0,0.00597,0.0234,0.0564,0,0.00633,0.93105,0.73366,6.70508,0.92799,2.40014,4.21377,2.95325,1.80394,0.00998,1.67324,1.06895,0.67648,0.36427,0.23591,1.39664,0.88611,0.01693,0.15312,0.12184,10.96613,15.54759,0.10373,0,0,0.82806,0.33496,0,0,0,0,0,3.25644,0.32202,0,0.14296,0,0,0,0,0.71414,0,0.04509,0.29039,0,0,0,0,0.22251,0.08569,0.06981,0.01253,0,0.15798,0.0588799999999999,0,0,0.0144,0.12543,0.42031,0.00422,0.01853,0.456,0.00692,0.13189,0,0,0.21554,0.0063,0,0.01617
"Roseburia_intestinalis",0,0,0,0,0,0.09437,5.17423,24.30088,0,0.69003,0.00103,0.00116,1.09313,0.31087,5.73607,0,0.3463,0.34955,0.30195,3.34702,0.18661,0.52726,0.04801,2.07611,0.05724,0,0.0150099999999999,0.25971,0.73848,0.19522,0.06899,0.03758,0,1.36241,0.12301,2.09646,0.58198,1.74666,1.94971,0,0.0294199999999999,0.01215,0,0,0.0654,0.14836,0.27302,0.14962,0.15543,0.63207,0.16105,0.04974,0.02289,0.12153,0.00592,0.00583,0.01105,2.69898,0.70851,0.03945,0.34848,0.13456,5.91464,1.70098,1.60463,1.02195,1.61032,0.13485,0.00952,0.57754,0.47936,0,0,0,0.01272,1.12905,0,0.05055,0.00346,0.23065,0.01232,1.43749,5.97263,2.86174,0.0166,0,0,0.02882,1.35564,1.16296,6.20083,0,0,0,0.94822,0,0.01283,0,2.85689,0.7825,0.00211,1.26147,0.37525,0.01792,0,0,0.00945,0.03428,0.03498,0,0,0.05792,0.77719,0,0.08251,0.33178,0.23134,0,0.36925,0,0,0,1.06733,0,5.61894,4.7536,5.21346,0.79659,0,0.02193,0.57262,0,2.46913,3.27192,0.11294,0.20948,0.17026,0.12902,0.89171,0,0.36977,0.43427,0.05513,1.03383,0.03161,0.17487,0.21037,0.61183,0.42695,0,0,0.86897,0.31328,0.14222,0.68541
"Blautia_wexlerae",0,0,0,1.31463,0.04049,1.0772,1.22204,1.30755,0,0.0513,2.22746,0.96061,1.79416,0.16279,0.64115,0.0365,0.15076,0.06976,0.03578,0.0652,0.25455,0.04105,0.06883,0.02607,0.51837,0.05702,0.30974,0.06182,0.05006,0,0.15607,0.72574,1.24317,0.34084,0.36203,0.03316,0.32153,0.09457,0.14778,0,0.0229699999999999,0.27978,1.07188,0.03966,0.51754,0.20741,0.82214,0.46446,0.24136,0.23733,0.19883,0.05616,0.10787,0.09957,0.08868,0.06389,0.02339,0.1495,0.95389,0.86438,0.00462,0.33269,0.73768,0.62033,0.46253,0.7589,0.12483,0.17341,0.43633,0.21654,0.09901,0.06507,0.02562,0.18434,0.43313,0.3365,0.20238,0.04625,0.04664,0.48634,0.56093,0.25249,0.38658,0.50301,0.33854,0.8194,0.01697,1.13942,0.96297,0.01509,0.26692,0.00252,0.13332,0.88424,0.53366,0,0.31297,0,0,15.56946,23.74107,0.4767,0.44606,0.64096,11.40667,25.28837,0.78096,0.01929,0.07528,1.41545,2.35697,0.67965,0.46395,0,0.01172,0.18901,0.09811,1.21358,0.15795,0,0.05454,0.0139199999999999,0.10527,0.11861,0.87364,0.40735,1.12003,0,1.00017,0.06921,0.77192,0.25522,4.09742,1.10626,0.03879,0.07365,1.61572,0.1448,1.53033,2.91675,0.0887,0.3544,0.0396399999999999,0.06762,0.37761,0,0.22112,0.08327,0.22996,0.10559,0.02898,0.74611,0.74051,0.18784,0.0333199999999999
"Eubacterium_eligens",0,0,0,0,0.53236,0,8.04347,0,0.00185,0,2.17936,0.45225,1.66573,3.83562,1.25835,9.13223,1.71031,4.21624,5.30502,7.84549,0.18392,0.71358,2.32591,9.31447,19.7411,0,0.02645,2.57989,0.27849,0,0,0.08262,0.48514,21.25257,17.41689,1.27076,1.34134,7.83237,2.15155,4.88621,6.13978,4.19913,0,0,11.63472,20.32491,0.64228,0.46394,0.24476,3.05996,2.07243,3.26361,0.3021,0.54802,4.54101,3.04342,4.44225,3.66867,1.96883,2.59473,1.25547,10.0123,4.06637,3.26268,3.56111,4.59829,2.19479,1.15162,0.39641,7.72893,1.64866,0.30774,0.72986,1.94524,3.44418,2.99458,1.73003,3.05491,1.71692,1.52448,0.298,1.14801,0.73599,1.60406,4.75595,5.98219,0.00118,0,0,4.22183,0,0,0,0,0.0484,0,0,0,0,0,0,0.1327,15.58141,0,0.0059299999999999,0,0.31991,2.40627,1.8313,0,0,0.48771,1.78376,3.82967,3.92075,14.88088,0.00602,13.19159,0.15704,0.79599,2.08478,2.90326,23.76639,15.28428,2.36501,3.64629,4.00871,0.36627,1.13404,4.35232,0.44262,0.58304,1.39475,3.66754,4.51994,2.542,4.29268,1.45481,0.94227,0.88088,1.38446,2.29249,9.38782,5.26858,0.56648,0.52348,7.22615,4.8259,7.34861,0.29953,0.73951,3.93974,0.8127,3.67704,0.48576
"Bacteroides_thetaiotaomicron",16.88433,1.89675,0,0.07919,0.00355,0,0.1716,0,0.09641,1.9118,0.28164,2.45828,0.18156,1.36353,0,0,0,0.02009,0.0814,0,0,0.27724,0.18248,0,0.02876,0.9323,3.07469,0.39526,0.03591,1.79489,4.01638,0.22004,2.30151,0.23754,0.19292,0.36645,0.12704,1.78062,1.09009,1.4882,0.00455,0.02708,0.66589,1.92168,0,0,0,0,0.22534,0.27531,0,0,0.33526,0.01376,0.33914,0.23209,0.03912,0,0,0,0.22521,0,0,0.33371,0.37258,0,0,0.25699,0.32668,0.15587,0.37944,0.34668,0.1341,0.02611,0,0,0.01091,0.03864,0.27728,0.00326,0.26006,1.37001,0.37477,0.61819,0.5474,0.25137,0,10.08934,5.59814,1.7999,1.04808,1.15633,0,0,0.62722,0.00029,0,3.04695,2.49362,0,0,0,1.17021,0.88414,0.54798,0.2392,0.40884,0.44723,0.00936,0.9977,2.32136,0,0,1.58382,0.69025,0,0.01569,0,0.36536,0.34461,1.11685,0.72722,0.29947,1.10421,0.3728,0.33977,0,5.45076,0,0,0,0.06832,0,0,1.88753,1.27836,0.55794,0.45263,0.97399,0.13473,0.10365,0.5353,1.92167,0.07151,0.00827,0.6478,0,0.02327,0.0978899999999999,0.30868,0.26759,0,0.00074,0,0.53318
"Faecalibacterium_prausnitzii",9.08217,3.90278,0,0.61985,12.06676,3.7896,17.54907,0,0.00518,10.02109,14.37366,8.63153,9.08016,6.37603,12.42055,8.77828,13.43724,5.7707,8.85176,2.05321,4.9088,0.53065,1.6294,5.74049,10.86902,2.39118,4.96579,4.3667,6.82817,0,0.17237,5.58593,7.39737,4.48507,3.67321,4.18784,4.36625,5.09906,7.94969,1.92015,3.55333,7.94414,0,0,6.85213,7.96165,1.72157,1.57133,4.00811,3.36015,6.83237,6.70564,4.20681,7.25974,8.94976,8.05975,1.98835,1.88383,4.5891,2.82392,11.04579,2.50593,1.50561,7.1297,5.77829,4.87167,10.14651,7.76582,5.46174,4.51948,3.41033,4.09798,3.31896,4.87555,6.92545,2.94235,1.54822,2.38023,0.63406,3.39281,4.04364,5.89966,2.98066,8.3191,13.28457,1.29692,0.03209,0,2.52686,4.56126,0.00073,0.00094,4.03205,1.08894,0,0.47348,0.41043,0,0,0.00421,0,3.8627,0.45342,0.63476,0,0,1.57862,10.6713,16.59047,0.03294,0.43169,3.41161,9.16508,0,0.86343,4.02408,0.0058,11.73084,1.07666,0.22793,7.61522,10.81836,5.09222,6.8482,5.90645,10.2648,5.22489,0.20654,4.6077,2.53026,5.61892,5.92661,5.2006,6.2604,2.6835,3.09831,11.67236,10.74671,2.69965,9.53957,1.82263,3.27275,4.32396,3.52278,6.13524,1.77038,3.69436,5.55364,4.52296,6.70277,2.38736,4.83413,3.71811,5.39775,6.97199
"Coprococcus_comes",0,0,0,0,1.34676,3.89068,1.25199,0,1.02225,0.62757,0,3.34306,1.09207,0.4655,0.60053,0.5125,2.54937,3.66576,3.87816,0.99944,1.56135,1.24054,1.98253,0.39573,1.16925,0.11161,5.47829,0.90954,1.80913,0,0,1.76597,1.99822,3.09986,2.37553,0.42538,1.16639,1.63447,2.79344,0.9255,0.82333,1.35371,0,0,0.81846,0.70491,3.04158,2.85678,2.2589,1.60286,10.33248,0.67043,1.21495,1.39626,2.2836,3.09471,0.20611,0.08804,1.05085,0.65412,1.42955,0,0,0,0,0,0.23561,0.85272,0.93002,0.63007,0.59789,0.81442,0.23729,0.80412,2.0391,1.15795,1.36218,0.82651,1.46489,2.22965,2.72158,0.77511,1.21936,2.96666,1.44293,0.55281,0.00243,0,0,0.04221,4.3133,3.3894,4.02092,0.93796,0.31593,0,0,0.30368,0.48377,0.01658,4.19148,0.85697,0.01433,0,5.48412,4.45448,0,0.43131,0.76161,0,0,6.38344,1.46457,0,0,2.14826,0.00095,1.56592,0.29938,1.19988,1.57148,1.52774,0.13206,1.01509,1.43641,2.52187,6.27234,1.22206,1.98031,0.11346,2.05946,1.07756,1.47315,2.93497,0.16825,0.04776,0.92506,5.66348,1.41009,3.20807,2.83148,4.72958,0,1.16312,2.05128,1.15865,0.00231,0.24432,0.77892,0.86945,0.20507,1.53703,3.82902,0.08416,1.84364
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0.17866,0,0,0,0,0.12881,0.0031,0,0.05822,0.04603,0.04034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00473,0,0,0,0,0,0,0,0,0,0,0.00379,0,0,0.0374899999999999,0.01835,0.01424,0.0437,0,0.03707,0.00411,0,0,0,0.01514,0.00343,0,0.03856,0,0,0.00156,0,0,0.01113,0.00981,0,0.05835,0,0,0,0,0,0,0.00193,0.00043,0,0,0,0,0.0072,0,0.10882,0.01594,0.00285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00121,0,0.00511,0.0435399999999999,0.12895,0,0,0,0,0,0,0.00778,0,0,0,0,0,0,0.01006,0.0232199999999999,0,0,0.00619,0,0.0070599999999999,0,0.11384,0.09423,0,0.00011,0.21068,0.05161,0,0.02556,0.01761,0.03721,0.14212,0,0.06229,0.00969,0,0,0,0,0,0,0.00912,0,0.00078
