"","train_84","train_85","train_89","train_91","train_92","train_94","train_96","train_98","train_99","train_100","train_102","train_103","train_104","train_107","train_109","train_111","train_127","train_128","train_129","train_130","train_131","train_132","train_133","train_134","train_135","train_136","train_137","train_138","train_139","train_140","train_142","train_143","train_144","train_145","train_146","train_147","train_148","train_149","train_150","train_151","train_152","train_153","train_164","train_167","train_170","train_171","train_255","train_256","train_257","train_258","train_259","train_260","train_261","train_262","train_263","train_264","train_265","train_266","train_267","train_268","train_269","train_270","train_271","train_272","train_273","train_274","train_275","train_276","train_277","train_278","train_2998","train_2999","train_3002","train_3014","train_3016","train_3018","train_3019","train_3020","train_3021","train_3022","train_3028","train_3029","train_3043","train_3057","train_3432","train_3438","train_3448","train_3449","train_3458","train_3465","train_3471","train_3485","train_3499","train_3505","train_3510","train_3520","train_3521","train_3538","train_3544","train_3574","train_3575","train_3580","train_3581","train_3601","train_3606","train_3608","train_3609","train_3612","train_3620","train_3622","train_3623","train_3632","train_3634","train_3637","train_3659","train_3676","train_3685","train_3690","train_3703","train_3710","train_3722","train_3725","train_3727","train_3729","train_3731","train_3733","train_3735","train_3737","train_3739","train_3740","train_3746","train_3753","train_3754","train_3756","train_3761","train_3832","train_3838","train_3862","train_3863","train_3864","train_3865","train_3881","train_3882","train_3883","train_3886","train_4156","train_4159","train_4161","train_4175","train_4179","train_4180","train_4184","train_4185","train_4188","train_4191","train_4192","train_4200","train_4205","train_4207","train_4208","train_4214","train_4216","train_4217","train_4221","train_4224","train_4225","train_4229","train_4230","train_4232","train_4234","train_4242","train_4246","train_4247","train_4249","train_4256","train_4257","train_4262","train_4263","train_4269","train_4273","train_4274","train_4275","train_4279","train_4283"
"Bacteroides_vulgatus",1.08404,0,0.03755,0.00744,5.07379,1.45809,0.30488,0.44105,0.20253,0.74486,0.62055,1.84607,0.04166,0.79908,0.00237,0.0209,0.01371,0.0038399999999999,0.02373,13.55619,0.00103,0.49077,0.31698,0.70446,0,0.01178,0.31616,0.49584,0.00528,0.0138199999999999,0.0716,0.00263,0.1287,0.78895,1.05194,1.88741,0.12012,9.27432,0.31454,0,0.33411,10.32627,0.02943,0,8.12623,1.6259,0,0.04989,0,0.00419,0,0,0.93312,0.31429,0,0,0,0,0,0,0,0,0.11857,0,0,0.02893,0.13825,0,0,0,3.50254,0.02501,0.5613,4.98867,2.80359,11.3005,0.51993,3.78273,37.26554,0.00263,3.99807,0.30534,0.29725,5.92328,0.64883,0.00142,2.91819,11.80404,0,4.19913,7.08736,17.29627,20.10741,7.19193,0.00662,0,17.76647,24.02844,0.00287,25.76057,5.74237,0,0,0,0.19171,24.79268,17.43169,8.25846,0,4.54227,18.59186,10.31645,0,6.91532,26.57788,0.40842,0,15.76363,0,3.02071,0.72122,2.94376,14.66756,26.14309,4.83144,1.75135,0,0,0,2.94609,0.02367,1.21294,0,13.81846,6.85131,0,9.1398,1.37262,54.37628,6.34596,12.74311,11.21198,33.87163,0,4.2492,4.60263,4.53439,0.38861,6.96197,2.44082,4.53652,9.29547,0.72476,1.20707,2.20391,1.91719,8.28085,1.92072,1.62768,23.96412,0.00227,24.4136,0.58754,0,1.52723,0.75325,3.6541,0.42152,10.18575,18.57972,4.7574,2.65304,2.85005,3.72809,0.00266,2.72182,3.54375,16.89118,8.06723,12.4453,4.24366,0.01349,1.51194,1.81282
"Roseburia_faecis",4.50667,0.00386,0.005,0.12749,0.03305,4.39405,0,3.30833,0,7.6792,0.41073,4.45836,0.0912299999999999,0,0.28895,0,0.27456,0.25443,1.25096,1.7107,0,0.3888,1.09942,4.21165,0.0035299999999999,5.19128,1.16626,0,0.20478,0,14.26196,0,1.00967,15.75568,3.40704,0.94105,4.95027,0.00015,0.42597,0,0.24952,9.13969,0,7.02734,9.02131,17.92095,0.87096,0.0344,0.60402,3.04571,0.72881,0.62254,0,0,0,0,0,0.05113,0.04955,0.24945,0,0,0,0,0,0.20436,6.55724,0,0.26532,0.17073,0.322,0.01287,0.31467,0.18872,2.34947,0,0.00114,1.74254,0.64082,1.4458,1.91925,1.42148,0,1.06783,0.02149,0,0,4.28133,0,0,2.10868,3.23446,0.11224,0,0,0,3.79467,0.04813,3.84805,0,2.35072,1.55539,0.01031,3.51137,0,0,4.34242,0,0,0.89518,0,0,0.27215,0,0,0.05327,1.75635,0.2665,0,0.83366,0.65048,0,2.12535,9.78698,0,0.25168,0,0.28392,1.30945,0,0,1.2455,1.9811,0,1.60597,0.85307,1.28691,0.05564,0,1.32706,0,0,0,0,3.47061,0.26561,4.73625,0.8168,8.87762,2.02944,0,0.01032,0.99723,14.68772,1.16657,1.76271,3.74117,0.50312,7.25428,0.06256,2.8389,0.89172,3.38826,0.02061,7.70467,4.68241,3.94285,0.05834,0.33706,13.96825,3.60641,3.98424,1.3563,1.23297,0.1203,0,0.95386,0,0,1.18941,0.93903,1.0956,0,0.84615
"Ruminococcus_gnavus",0.0752299999999999,5.70885,0.0006799999999999,0.01189,0,0.01056,15.88748,20.76684,0.00551,0.09606,0.01517,0.02463,0.34086,0.11935,0.37076,2.0872,0,0.35927,0,0.01434,0.00839,0,0,0.51324,0.06373,0,0.04247,0.10151,6e-04,5.38206,0.01756,0.00655,0.27622,0.17439,0,0.00276,0,5.32212,0,0.15776,0.00067,0,14.99448,0.0105,0.25715,0,1.85254,0.84762,0.25199,0.01634,0,0,0,0.95989,0,0.79782,0,0,0,0,0,2.65385,0,0,0,7.12119,0,1.78776,0,0,0,0.00039,0,0,0.00488,0,0,0,1.31705,0,0,0.00701,0,0,0.14846,32.71025,5.51545,0.34609,0.42261,0,0.107,0.09455,0,0.54374,0.42948,2.1987,0.01806,1.80598,0.5575,0.54764,0.44358,0,0.25216,0,0.0045,14.61161,0.45639,2.73115,1.29026,0.05965,0.02302,0.05254,0.04245,0.60373,1.87596,0,0.14845,0.08171,5.32908,0.04329,0.03687,3.19586,0.44235,1.47032,0.0144,0,26.09478,0.27722,7.59676,0.1314,18.46247,0,0.21677,0.16191,0,0.09558,0,0,3.26467,0.24229,0.1358,2.05355,2.53376,2.43099,0.08635,0.28339,0,0,0,0.01115,1.11618,1.6442,0.0657,0,0.01423,0,0.00692,0,0.2515,0.77675,0.00489,1.27408,0.26319,1.39187,0.00547,0.84612,0.3942,0,0,8.949,0,0,0.02407,0.00848,0,0.73448,0.00142,0.42163,0.00644,0.12702,0.00697,0,0.00949,0
"Roseburia_intestinalis",0.55377,0,0.01212,0.43701,0.01913,5.48644,0.10342,0.10314,0.00314,0.08849,0.12464,0.11537,0.04844,0,0.00279,0,0.14476,0.0011099999999999,0.09902,0.70155,0,0.09675,0.05857,3.34078,0.02105,0,2.12106,0,0.0214,0,0.00548,0.00788,0.00165,5.18235,0.01115,1.53182,0.0025,2.05401,0.61465,0.07873,0.18747,0.00943,0,0.1359,1.24817,2.76185,0.70901,0.02472,0.36812,0.03417,0.33716,0,0.35353,0,0.0154,0,0,0,0,0.30524,0.06246,0,0.81249,0.15556,0,0.33314,0,0,0.04787,0,0.05995,0,0.18513,0.03921,0,0,0,0,0.03178,0,0.82352,0.09057,0,0,0,0,0,1.23282,0.7989,0,0,0.49951,0.05157,1.04764,0,0,10.20737,0,0,0,8.36206,0.13996,0,0.22982,0,0,4.76964,0,0,0.22116,2.04895,0,0.0116,0,0,1.41376,0.33832,0.07767,0,0.19954,0.233,0,14.05614,0,3.92184,0.74454,16.14214,0.01848,0,0.02532,0,0.01832,0,0.25121,0.12952,0.00694,0.15961,0.04589,0,0.56186,1.26162,0,0,0,0.63955,0.37505,2.04138,0,0.33476,0.03057,3.7982,1.01381,0.21877,0.05192,0.04376,1.16593,0.24877,0.0074,0.34263,0.00332,0.64392,0.00597,0.52084,0.02141,0.66428,0.61035,0.98586,0,0,11.1524,0.20165,0.06021,0.01172,0.42583,0,0.04549,0.77929,2.49887,0.11645,0.00744,1.88893,0.00752,0.0631,1.56442
"Blautia_wexlerae",0.97802,37.7962,0.26875,0.94422,0.04411,0.37398,10.08343,0.5007,4.0958,0.04811,1.53507,0.11705,0.19187,47.38542,0.15591,0.02787,4.39116,0.07479,0.13111,0.65356,4.51066,0.0642799999999999,0.6163,0.93903,11.71244,0.09042,1.73783,0.18375,0.59054,0.00081,0.42724,2.26368,2.72485,6.19541,0.40679,0.28659,0.80592,11.05851,3.25819,4.84568,0.18223,0.04645,0.0010199999999999,0.36195,1.51859,0.17207,0.18775,0.45164,6.79829,1.05369,0,0.48251,2.86874,6.18711,0.67427,19.71789,1.11282,0.83577,1.84855,0.62009,9.33524,5.67707,0.98234,3.97184,0,20.70436,0.58527,14.83568,2.34407,0.61727,0.01886,0,0,0,0,0,0,0.04251,0,0,0,0,0,0.38174,0.01198,0,0.01514,0.24176,0.02821,0.0403,0.04411,0.2413,0.02459,0.1004,0.22676,0.15922,0.02887,0.2163,0.82466,0.34567,1.99214,0.59583,0,0.07347,0.00832,0.1043,0.02295,0,0.87733,0.02145,0.63387,0.05691,0.00267,0.12746,0.07827,0.00996,0.38819,0.17251,3.35354,0.13285,0.0678,0.01359,3.25362,0.00125,0.01646,0.00446,0,0.29192,2.39847,0.11062,0,0.02295,0.03919,0.09724,0.0247,0.06,0.31649,0.26062,1.08786,0.00475,0,0.24971,0.04126,0,0.1614,0.01554,0.99578,0.01555,0.01432,0.27529,0.25582,0.0088,0.17729,0.12539,0.06128,0.02382,0.0429,0.05447,1.02049,0.08933,0.03615,0.67569,0.07497,0.24592,0.36297,0.03136,0.20742,0.19072,0,0.04056,1.04081,1.07866,0.15666,0.21929,0.12551,0.10168,0.00701,0,0.84476,0.0196,0.76232,0.04089,1.42593,0.03804
"Eubacterium_eligens",0.67544,0.04601,0.00584,0.10402,0.0528,0.26738,0,0.05136,0,1.88002,0.28692,0.41694,0.30408,0.01257,0.00358,0.00228,0,0,0.09854,0.34038,0.0186199999999999,0.0160599999999999,1.55762,0.21658,0.02723,0.40942,0.0683,1.2833,0.03609,0,0.23536,0,0.00015,4.3968,1.02568,1.02927,0.1287,0.73222,0.95639,0,0.39311,4.66895,0,0.29067,0,1.00759,0,0,0,0,0.87885,0,0,0.20632,0,0,0,0,0,0,0,0,0,2.3236,0,0,0,0.02444,0,0,0.0117,0,0.05114,0.07025,0,0.04166,0.03053,0.31068,0,0,0.20541,0.84998,0,0,0,0,0,0.01548,0,0.90461,0,1.62281,0.448,0,0,0,0,0.58418,1.33859,0,2.82255,0.31563,3.46829,3.76874,0,0,0,0,0,0.35985,0,0,0,0,0,9.74317,0.16126,1.4463,0,2.80705,0.02816,0,0,0,1.08499,4.77626,0.01006,0,0,1.34367,0,1.39085,0.56308,0,6.61527,2.97074,6.24527,0,2.08909,0.02404,0,0.50604,0,0,0.48456,3.47854,2.13826,0,4.4286,0.02559,0,0,0.29516,0.29723,0.51908,1.40669,6.6696,3.98859,11.15066,1.53919,3.43345,0,5.36477,0,1.73034,1.98212,0.00709,0,8.37454,0,4.08942,10.36575,2.27518,1.60052,0,0,8.3143,0,0.64885,0.52464,0.16754,11.83684,0,0.62654
"Bacteroides_thetaiotaomicron",0,0,5e-04,0,4.46653,0.28543,0,0,0.00013,0.3206,0.0215199999999999,0.05347,0.0019399999999999,0.15444,0,0,0.0015199999999999,0,0,1.01912,0.00573,0.06879,0.07404,0,0,0.44874,0,0.04551,0,0,0,0,0.38568,0.3668,0.03901,0.82242,0.53074,4.70468,0.14188,0,0.07901,0.39129,0,0.68138,0,0.02818,0,0,0,0.07884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11198,0,0,0,0,0,0,0.42788,0,0,0.0866,0,0.06342,0,1.10825,0.33689,0,0.03531,0,0,0.3429,0,0.15282,1.86321,0.75934,1.10578,0.23146,0.37753,0.99123,1.83607,2.58063,1.43845,2.09218,0.18771,0,0.93603,1.28587,0,0.09927,0.31484,0.94189,0,0,0.78804,7.72339,8.62733,1.05131,0.44767,1.3225,0.0259,0.59151,1.77165,0.08808,0.61988,1.0027,1.42325,0.06749,0.52377,2.52317,1.31234,0,1.16655,0.94869,0,1.36671,0,0.09614,1.79321,0.52996,1.12357,0.17325,2.08682,0.26687,0.4618,0.38336,2.76201,20.48606,2.07893,0.19646,0.12075,0,0.27295,0.19473,0.84231,0.28241,0.09446,0.11659,0.00038,0.29858,0.08864,0,0.05475,0.14482,0,0.0355,0.04526,2.88956,2.88993,1.18732,0.08506,0,0.03261,0.78272,0.46782,0.04685,0.07059,0.38179,0.49259,0.60669,0.31187,1.17149,0,0.73394,0.10092,1.53572,0.45885,1.41345,0.92619,1.23064,0.26925,0
"Faecalibacterium_prausnitzii",2.79834,1.11645,1.225,2.19214,0.89529,13.69419,0,2.78345,7.88913,7.18614,5.63508,6.02659,4.13566,0.00862,2.49508,0.29966,0.93016,0.8442,1.00752,4.91597,0.03861,2.42904,12.83973,11.85645,1.62448,12.37953,0.72815,10.77581,1.95845,0.05401,9.96179,0.84738,6.60051,7.66599,5.78491,16.80452,6.93681,5.58116,9.92038,0.00148,1.80714,10.88404,10.32645,8.68457,3.81722,7.31385,0.38178,11.43481,19.03681,4.92748,0.4765,7.03012,0.43245,0.67963,0.93237,0.18622,8.02297,0.20777,19.39049,1.22547,0,1.32086,3.62318,2.2921,0,0,12.41079,0.10022,0.32986,0.17024,11.0258,0.13711,22.62669,5.15477,12.78569,5.33112,0.32909,19.36722,5.06237,16.08052,38.17727,7.20369,3.08247,7.01704,0.12985,0,0,4.32816,0.60285,3.8461,0.70122,0.90649,4.2767,0.08671,1.47858,0.48826,16.31782,4.58823,3.76068,4.2733,7.36652,3.81512,1.69811,7.259,1.24271,0,7.23993,0,7.18159,5.51001,8.02489,1.98785,1.92417,0,3.02454,7.39052,2.51928,1.09913,0.78434,6.20638,1.13447,0.31161,2.09871,9.38827,7.81821,3.15948,0,6.18903,1.26355,1.26794,0.01831,2.59071,0.15056,1.38933,2.20548,13.53029,9.30991,1.99712,0.0863,0.41688,3.36869,2.86111,0,0,1.90115,1.50169,9.96962,2.25186,3.20818,2.34688,1.57981,6.42898,8.54685,17.29518,7.92649,7.35897,24.50237,1.38729,5.01746,7.03873,6.11253,0.31098,4.21926,0.03556,6.11867,9.84239,4.02393,7.65064,2.30991,2.79911,17.20484,5.19964,6.84164,5.32611,1.68648,4.04677,5.82699,5.46004,16.85294,0.85459,6.45079,3.88539,3.8784,6.59773
"Coprococcus_comes",1.21981,0.00245,3.03235,8.23966,0.76147,2.75882,0,0.68217,3.00855,1.10921,2.15798,1.12447,3.01524,0,2.62509,0.02992,3.43274,4.36382,2.23265,0.90285,0.32004,0.50136,0.20512,1.49681,2.87878,1.89246,3.32919,1.28405,1.8821,0.24396,0.59469,6.21267,1.41089,1.22757,0.73914,1.90832,0,2.40353,0.65857,0,0.34645,1.16371,0.00119,1.3229,0,1.36377,8.22138,1.52286,11.1289,2.50809,0.34253,0,0,0,4.86451,0,0.76852,0.59531,2.22887,0,0,0.21926,3.54067,0.89826,0,0,1.01095,0,0,0.04334,0,0,0.02805,0.01806,0.06572,0.25717,0.01107,0.16847,0.06995,0.00508,0.03255,0.0632,0.03573,0.60241,0,0,0,2.00618,0.15584,0,0,0,0.26461,0,0,1.30946,0.25841,0.74485,1.32395,1.22407,2.54722,0.47778,0.24714,0.1334,0.04605,0,0.33565,0,0,0.27852,1.91102,0,0,0,0,0.23533,0,0.05468,0,0.15998,0.57701,0,0,0,0.55075,0.23274,0,0,0,0.51192,0,0.1063,0,0.53921,0,1.583,0.70357,0.12381,0,0,0,0,0,0,0,0.00895,1.87213,1.83023,3.45104,3.38596,1.46269,0,0.36167,2.43393,1.3982,0.92742,0.79513,0.32649,0,0.68245,0.3691,4.21411,1.2578,5.16171,2.03827,0.82281,2.30334,1.33279,0.54465,0,1.79642,0.44448,1.5071,1.95668,0.63887,2.05548,1.13342,0.3924,3.63119,0.0013,4.21456,0.06026,0,0.97047
"Ruminococcaceae_bacterium_D16",0.00471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00351,0,0,0,0,0,0,0.01782,0,0.00021,0,0,0,0,0.00748,0,0,0.01927,0.00893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49955,0.08283,0,0,0,0.00764,0.05268,0.01097,0.29349,0.02447,0,0,0.03942,0,0.00315,0,0,0,0,0.00068,0,0.02676,0.10071,0,0,0,0.0242,0.23416,0,0,0,0,0,0,0,0,0.0138,0,0,0.01282,0.00451,0,0,0,0.01478,0,0.07766,0,0,0,0.00088,0,0,0,0,0,0,0.04958,0,0,0,0,0,0.01375,0,0,0,0,0,0,0,0,0,0,0.00971,0,0,0,0,0,0,0,0.01474,0.00254,0,0,0.00738,0,0.00059,0,0,0,0,0,0,0,0,0,0,0.02237,0,0.00082,0,0,0.00074,0.00054,0.02642,0,0,0.24837,0,0.00549,0,0
