"","train_1175","train_1177","train_1181","train_1182","train_1183","train_1184","train_1185","train_1186","train_1187"
"Bacteroides_vulgatus",0.07515,5.04014,8.27961,0.11745,0.53462,5.61363,0.02531,0.33146,1.92525
"Roseburia_faecis",0.00845,0.23263,1.63931,2.58112,0.34298,0,11.52877,1.2374,13.26226
"Ruminococcus_gnavus",0.00505,0.00795,0.32613,0,0,0,0.00424,0.0357,0
"Roseburia_intestinalis",0.00222,0.08045,0.23342,0.02393,0,0,0.34716,1.61583,0.96299
"Blautia_wexlerae",0.0517,5.90778,0.40235,0.10668,0,1.38094,0.06766,0.1778,0.0298
"Eubacterium_eligens",0,0.05659,0.39357,0.01646,0.02871,0.331,0.08444,0.81351,1.75007
"Bacteroides_thetaiotaomicron",0,0.27727,0.49919,0.00281,0,1.70852,0,0.00316,0.00029
"Faecalibacterium_prausnitzii",16.27892,8.89867,3.47629,6.52481,6.40876,22.68908,5.07326,5.90395,6.09555
"Coprococcus_comes",0.21788,0.0044,0.4118,1.63654,0.09586,2.37846,3.60913,5.78076,2.10722
"Ruminococcaceae_bacterium_D16",0,0.00325,0.0212,0,0,0,0,0.0011,0
"Streptococcus_thermophilus",0.00596,0.01535,0.02009,0,0,0,0,6.23094,5.08167
"Dialister_invisus",0,0,0.00437,0,0,4.39695,0,0,0
"Blautia_sp_CAG_257",0,0,0.0223,0,0,0,0,0.03018,0
"Flavonifractor_plautii",0.03613,0.42118,0.17122,0,0.10749,0.09587,0.01791,0.02465,0.07378
"Lactococcus_lactis",0,0,0,0,0,0,0,0.00844,0
"Escherichia_coli",0,0,0.47486,0.01604,0.79614,0,0.15228,0,0.13186
"Firmicutes_bacterium_CAG_94",0,0,0.02619,0,4.38703,0,0.9461,0.00372,0
"Turicibacter_sanguinis",0,0,0.01274,0,0,0,0,0,0.05425
"Erysipelatoclostridium_ramosum",0,0,0.00803,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",1.09096,5.86366,2.15515,6.83751,1.41262,0.38132,11.81875,3.44756,5.05963
"Clostridium_disporicum",0,0,0.00247,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0,0.00115,0,0,0,0,0,0,0.00313
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0.28841,0,0,0,0.10528,0.00213,0.07483
"Clostridium_spiroforme",0,0.01788,0.10403,0,0,0.03362,0,0.10936,0.00077
"Clostridium_saccharolyticum",0,0,0.01878,0,0.04329,0,0,0,0
"Dorea_formicigenerans",0.02087,0.83792,0.42857,1.01469,0.02599,1.81106,0.46559,1.62763,1.01155
"Streptococcus_salivarius",0,0.00517,0.04895,0,0,0.03958,0.02252,0.08592,0.49201
"Clostridium_clostridioforme",0,0,0.00058,0,0,0,0,0.00601,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0.01094,0,0,0,0,0,0
"Eggerthella_lenta",0,0.38375,0.02224,0,0.01465,0.005,0.01711,0.01196,0
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0.00257,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0
"Clostridium_innocuum",0,0.00338,0.00861,0,0,0,0,0.0018,0.00092
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0.00095,0,0
"Streptococcus_oralis",0,0,0,0,0,0,0,0,0
"Klebsiella_pneumoniae",0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0.00242
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0,0,0,0,0,0,0,0.00277,0
"Ruthenibacterium_lactatiformans",0.14768,0.37457,0.39131,0.01999,0.68847,0.27482,0.22261,0.06463,0.04504
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0
"Prevotella_copri",54.42871,0.02969,0.11151,4.61415,0.00793,4.39425,0,0.00791,0.00238
"Actinomyces_sp_S6_Spd3",0.0017,0,0,0,0,0,0,0,0.00775
"Collinsella_aerofaciens",2.57561,2.6694,3.06119,6.49098,12.0558,3.1664,0.032,8.5772,3.81713
"Romboutsia_ilealis",0,0,0.00205,0.00176,0,0,0,0.00269,0.00622
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0.00454,0,0,0,0,0
"Eubacterium_siraeum",0.02277,0,0.018,0.61962,0.00246,1.64893,0,0,0.69665
"Bacteroides_uniformis",0.05118,5.14376,5.47061,0.50388,1.00292,2.17298,0.13416,0.25767,1.81334
"Prevotella_sp_CAG_279",0.73492,0,0,0.47014,0,0,0,0,0
"Ruminococcus_bromii",0.31108,0.00134,6.38794,2.2295,0,0.79666,15.67746,7.93402,8.42425
"Phascolarctobacterium_succinatutens",0.00404,0.01942,0,5.04844,0.85465,0,0,0.00041,0.79551
"Prevotella_sp_CAG_873",0,0,0,0,0,0,0,0,0
"Roseburia_inulinivorans",0.37117,0.61448,0.87285,0.07924,0.00366,0.38078,0.0602,0.68943,0.37592
"Ruminococcus_torques",0.11258,0.04616,0.66409,0.31599,0.05827,3.08197,2.63123,0,1.98177
"Bacteroides_stercoris",0,0,0.0167,0,0,0,0.02984,0.32114,0.59607
"Eubacterium_sp_CAG_251",0,0,0.62338,0,1.2993,0,0,0,1.6323
"Alistipes_inops",0,0,0,0,0.36437,2.61475,0,0,0
"Oscillibacter_sp_57_20",0.21874,8e-04,0.07061,0.88244,0.27455,0.56454,0.05734,0,1.67401
