"","train_369","train_370","train_371","train_372","train_373","train_374","train_375","train_376","train_377","train_381","train_382","train_386","train_387","train_388","train_391","train_392","train_396","train_397","train_398","train_405","train_406","train_418","train_419","train_420","train_421","train_422","train_423","train_424","train_425","train_426","train_469","train_488","train_489","train_490","train_491","train_506","train_533","train_534","train_535","train_538","train_539","train_540","train_541","train_543","train_544","train_586","train_587","train_588","train_595","train_596","train_597","train_598","train_605","train_614","train_615","train_616","train_626","train_627","train_628","train_629","train_630","train_632","train_633","train_634","train_635","train_636","train_637","train_638","train_645","train_646","train_647","train_648"
"Bacteroides_vulgatus",1.9862,3.56707,2.87076,2.15534,1.74685,6.06821,6.05982,5.81869,2.74613,1.18603,5.74786,0,0,0,11.10726,9.48646,0,0,0,5.00527,15.93426,12.66347,12.57081,11.15248,18.89279,20.71103,18.48024,17.56899,18.08473,14.62502,10.67278,0,0,0,0,21.61491,12.68866,14.73646,12.84163,8.0388,2.7551,0,0,9.89825,10.31916,16.30742,29.45687,16.4678,21.9764,23.978,5.97097,28.17354,10.97366,0,0,0,0,0,0,0,0,0.84444,1.49706,6.37593,6.17261,8.65012,7.76559,10.36276,13.29011,2.27157,8.15401,15.77632
"Roseburia_faecis",0,0.0007599999999999,0,3.92029,3.68217,10.49789,10.57708,10.37889,0,0.41264,0.31558,0.02534,0.02303,0.00507,0,0,1.08692,0.91721,3.6874,0.38045,0.05646,0,0,0,0.0263899999999999,0,0,0,0,0,0,0.36447,0.13959,0.14171,0,1.27978,0.10652,0.46419,1.1858,2.22195,0.70704,0.01179,0.34326,0,0.00225,2.92824,1.64708,3.07641,1.10855,0.34034,0.73765,3.16541,0.23198,0,0.00811,0.00282,0,0,0,0,0,0,0,0,0,0,0,0,0.37026,0.17686,0.3969,0.56957
"Ruminococcus_gnavus",0,0,0,0,0,0.00191,0.00061,0,0,0,0,0.03855,0.03128,0.0338,0,0,0,0,0,0,0.0521,0,0,0,0.0292699999999999,0,0,0,0,0,0,0.03249,0,0.01605,0,0,0,0.04425,0.00286,0,0,0.01808,0.04427,0,0,0,0,0,0,0,0,0,0,0.01048,0.13217,0.01511,0.04197,0.0473899999999999,0.0947399999999999,0.0664,0.20039,0.03058,0.0090599999999999,0.01423,0.00591,0.00784,0.00867,0.12688,0,0,0,0
"Roseburia_intestinalis",0,0,0,0,0,0,0,0,0,0,0,2.42274,2.36041,2.3471,0,0,0.09539,0,0.63559,0.40689,1.09584,0.08777,0.08165,0,0.65299,0.1779,0,0,0,0,0.0013,0.22807,0.00414,1.02296,0.77459,0,0,0,0,0,0,0.04038,1.61256,0,0,1.49216,1.8036,2.05488,0,0,0,1.12646,0.08841,0.18586,3.38589,0.35386,0.83657,0.46563,1.84875,1.99152,2.9651,0,0,0,0,0,0,0,3.95944,0.07216,0,0
"Blautia_wexlerae",1.38333,0.08106,0.37317,0.12798,0.17671,0.11911,0.10829,0.51955,1.14069,0,0.02975,0.39096,0.36044,0.29052,0.12945,0.19976,0.18017,0,1.32893,0.00303,0.0255099999999999,0.00851,0.00905,0,0.23223,0.15517,0.45968,0.46315,0.19016,0.05066,0.16913,0.54033,0.52868,0.58158,0.24332,0.43041,0.04386,0.05607,0.01498,0.0166,0.03238,0.11155,0.25736,0,0.0311,1.45835,1.10208,0.72519,0.43463,0.16614,0.43849,1.19351,1.17605,0.06846,0.30159,0.12472,0.05816,0.0142199999999999,0.21387,0.22038,0.19914,0.21884,0.26657,0.09336,0.07117,0.57135,0.07901,0.26276,0.02634,0.01977,0.01902,0.01052
"Eubacterium_eligens",1.50919,0.47062,0.29827,0.68044,0.59063,0.73455,0.71655,0.58181,0.09998,0,0,4.2808,4.28949,3.94002,1.50091,1.1416,0,0,0,0.72678,0.64764,0.21717,0.2049,0.10678,1.79306,1.39544,2.14685,1.9716,1.54575,0.96265,0.43894,0.14401,0.01676,0.59232,0.36735,0.63193,0.85489,0.19438,0.7636,0,0,2.42231,2.47575,0,0,0.50113,1.31207,1.49426,0.76163,0.44238,1.82555,1.341,0.54434,0.77292,2.93955,2.12371,0.73021,0.24776,0.16326,0.15252,0.03449,1.93039,2.56982,0.3773,0.28711,2.24698,0.63777,7.18656,0.76184,0.29755,7.09084,2.71619
"Bacteroides_thetaiotaomicron",0,0,0,0,0,0,0,0,0,0,0.14266,1.08643,1.08026,0.97416,0.2216,0.16071,0,0,0,1.11673,2.59005,0.47237,0.46964,0.4314,0.70567,0.4112,2.23972,2.07187,1.80452,1.10738,0.14933,0.0315,0,0.12933,0.00851,0.01629,2.03371,3.44613,1.78046,0.83921,0.00216,2.79696,2.6118,8.67827,2.77908,0.25025,0.0797,0.04623,0,0,0,0,0.18432,1.13032,1.76456,2.7708,0.7306,3.30594,0.49848,1.50055,1.76809,0.58239,0.37074,0.51899,1.23691,1.53583,0.64291,1.19958,0,0,0.83516,1.27961
"Faecalibacterium_prausnitzii",6.49753,5.2356,5.8188,4.89499,5.29942,7.53148,7.51283,8.47959,11.95512,1.2197,7.53104,4.12459,4.38263,5.41445,7.17425,8.59741,0.47823,0.31136,2.97211,2.11913,0.64752,3.21752,3.10812,3.40851,7.06635,8.4598,5.26292,5.99024,6.30189,4.24939,2.5813,0.89152,0.67658,2.19073,1.90748,5.18275,0.70045,0.6645,0.70216,2.32065,1.35111,2.69022,2.78545,0.30384,0.0773,4.62901,1.90184,3.89412,4.48587,4.37854,6.18231,3.62485,3.15282,1.85238,4.72642,4.55588,8.24339,2.54191,4.74759,6.48215,3.38341,2.88705,3.64583,1.19912,0.35119,2.53904,1.10586,2.88823,4.37752,2.81089,3.27326,1.16501
"Coprococcus_comes",0.22388,0.13579,0.0640299999999999,0.20104,0.17036,0.24357,0.23685,0.15943,1.16727,0.03469,0.37135,0.0853,0.06576,0.03488,0.35286,0.1868,0.4387,0.14521,1.35819,0.75174,0.31454,0,0,0,0,0,0,0,0,0,0.27909,0.25745,0.11061,0.11787,0,0.04596,0.32847,0.29288,0.68996,0.29037,0.10421,0.04811,0.09194,0.0603799999999999,0.073,0.21799,0.08258,0.16695,0,0,0,0.18296,0.89256,0.11179,0.18281,0.21634,0.14871,0.22252,0.1709,0.18886,0.15485,0,0,0,0,0,0,0,0.66794,0.16603,0.20598,0.05275
"Ruminococcaceae_bacterium_D16",0.00324,0.02276,0.0115599999999999,0.00775,0,0.02309,0.0276,0.0028399999999999,0.10857,0,0,0,0,0,0,0,0,0,0,0,0,0.01519,0.01498,0,0.04431,0,0,0,0,0,0.03322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0,0,0,0.08291,0.0174199999999999,0.01492,0.00796,0,0.01218,0,0,0.01351,0.01078,0,0,0,0,0,0.01911,0,0,0.00611,0,0,0.07181,0,0,0,0,0.02029,0,0.004,0,0.00315,0,0,0,0,0,0.00566,0,0,0,0.15147,0.00688,0.01056,0,0,0,0,0,0,0,0,0.00176,0.00554,0.0090099999999999,0.05899,0.14111,0.0291,0.01443,0.00552,0,0,0.0356,0.10015,0.01956,0.00787,0.11709,0,0,0
"Dialister_invisus",0,0,0,0.00462,0,0.01825,0.01311,0.01277,0,0.12557,0.2677,0,0,0,0,0,0.235,0.18756,0.31646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53045,0.03282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_sp_CAG_257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00586,0.00279,0,0.05927,0,0,0,0,0,0,0,0,0.01687,0,0,0,0.00026,0,0,0,0.0008699999999999,0,0.49342,0.19406,0,0,0,0,0,0,0,0,0,0,0,0.0085,0.00056,0.00298,0,0,0,0,0,0,0.00026,0,0.00474,0,0,0,0
"Flavonifractor_plautii",0.0549,0.21383,0.23917,0.04167,0.01954,0.04858,0.04874,0.02333,0.48094,0,0,0.10118,0.10409,0.14788,0.00133,0,0,0,0,0.06912,0.26455,0.39298,0.37035,0.39539,0.44523,0.04665,0.2864,0.25501,0.17656,0.15936,0.29149,0.04188,0,0.03495,0,0,0.09682,0.08865,0.06551,0.00484,0,0.19292,0.05331,0.15664,0.23751,0.01288,0.01344,0.03379,0,0,0,0,0.06986,0.04676,0.65569,0.74979,0.0009199999999999,0.0316399999999999,0.00132,0.10421,0.09096,0.21725,0.80265,0.15963,0.03738,0.09093,0.0408399999999999,0.14609,0.24629,0.59515,0.56061,0.28213
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0090099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.0089,0,0,0,0,0,0,0,0.0008699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00315,0.0065299999999999,0.0019399999999999,0.00245,0,0,0,0,0,0,0,0.05636,0,0.00511
"Escherichia_coli",0,0.11481,0.06996,0,0,0,0,0,0.00883,0,0,0.11887,0.10655,0.04892,0.0023,0,0.0248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11625,0.00733,0,0.47138,0.52113,0,0,0,0,0.00455,0.00702,0.14907,0.55576,16.42459,8.63358,0.03091,0,0,0,0,0,0,0.03071,0.92713,0.12852,1.0071,0,1.47305,0.14013,0.06947,0,0.08656,0,0,0,0,0,0,0.02342,0.0181,0,0
"Firmicutes_bacterium_CAG_94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00211,0.02266,0.01626,0,0.06079,0,0,0,0,0,0,0.0101599999999999,0,0.01622,0,0,0.01966,0.02428,0.02815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04832,0,0.00953,0,0,0,0,0,0,0,0,0,0,0,0.12089,0.12492
"Turicibacter_sanguinis",0,0.00089,0,0.00686,0,0.0926,0.09416,0.05304,0,0,0,0.02646,0.0168199999999999,0,0,0,0.0671399999999999,0,0.2386,0,0,0.0142,0.0094,0,0,0,0,0,0,0,0,0.15524,0,0.7017,0.50327,0,0,0,0,0,0,0,0.00216,0.0004599999999999,0.0028,0,0,0,0,0,0,0,0,0.00658,0.0026,0.0619399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0,0,0,0,0,0.0275899999999999,0.02305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492,0,0,0,0.00033,0,0.01396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362,0,0,0,0,0,0,0.00197,0,0,0,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",0.6013,0.23698,0.20143,0.56581,0.56709,1.12856,1.14944,1.1903,2.79951,0.12493,0.41525,2.67475,2.80837,3.09153,1.17303,1.06121,0.70629,0.3411,1.24283,1.35327,1.03619,0.22536,0.22575,0.18778,1.37942,1.78622,0.33711,0.38661,0.25653,2.45136,1.06457,2.16388,1.97823,1.35797,1.22645,0.79521,1.92529,1.98554,2.15305,0.34552,0.20464,0.98588,1.35087,0.03662,0.09409,1.12921,0.54467,0.7161,1.15704,0.59374,1.41489,0.71064,0.75697,0.34308,2.7663,2.14018,5.01051,1.82538,1.85781,3.61288,1.46987,1.59731,4.74321,0.63432,0.20669,2.50706,0.57968,1.78065,1.28753,0.83682,5.69828,1.14252
"Clostridium_disporicum",0,0,0,0.00583,0,0,0,0,0,0,0,0.08535,0.09804,0.04196,0,0,0.03736,0,0.15745,0,0,0,0,0,0,0,0,0,0,0,0,0.03117,0,0.48492,0.28685,0,0,0,0,0,0,0.08334,0.07859,0,0,0,0,0,0,0,0,0,0,0,0,0.00548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0.05411,0.19193,0.122,0.14762,0.09936,0.13674,0.13505,0.08133,0.13219,0,0,0.39875,0.38306,0.3413,0.07429,0,0.0045299999999999,0,0,0,0,0.00411,0.0011,0,0.0067,0,0,0,0,0,0.08656,0.92318,0.75737,1.25274,1.04371,0,0,0,0,0.01165,0,0.01177,0.07034,0,0.0269699999999999,0,0,0.0469399999999999,0,0,0,0,0,0.07111,0.03211,0.0836399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0.0097,0,0,0
"Clostridium_spiroforme",0,0,0,0,0,0.0021,0.0014,0,0.00517,0,0,0.003,0,0,0,0,0,0,0,0,0,0.04,0.0324,0,0.08484,0,0,0,0,0,0.00716,0.01305,0,0.0008699999999999,0,0,0.00877,0.0033299999999999,0,0,0,0.01734,0.006,0,0,0.01483,0,0,0,0,0,0,0,0,0,0,0.01774,0,0.02118,0,0.00249,0,0,0,0,0,0,0,0,0.00547,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.0169099999999999,0.01784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0.16714,0.1124,0.04031,0.15018,0.08,0.30735,0.31011,0.24432,0.47182,0.00657,0.11374,0.07533,0.06088,0.0458,0.16542,0.0135699999999999,1.10141,0.7415,0.74872,0.35537,1.23185,0.04492,0.05252,0,0.0964899999999999,0,0.07841,0.07497,0,0.14839,0.13802,0.37268,0.1629,0.45953,0.35606,0.05626,0.15741,0.51543,0.17,0.04202,0.00834,0.06721,0.06784,0.28561,0.18062,0.11786,0.05994,0.14126,0,0,0.02947,0.09386,0.40971,0.05647,0.0946299999999999,0.21445,0.0824299999999999,0.06913,0.19179,0.15904,0.11036,0.05126,0.14505,0.02429,0.02265,0.127,0.02411,0.16269,0.05583,0.06318,0.07002,0.03885
"Streptococcus_salivarius",0,0.01283,0,0.08357,0.057,0.07657,0.07551,0.04917,0,0,0.0639,0,0,0,0.00713,0,0.2356,0.0717,1.41924,0,0,0.0075099999999999,0.0064,0,0.06597,0,0,0,0,0,0,0.03648,0,0.14524,0,0,0.00754,0.00475,0.00221,0.00063,0.00382,0,0.16695,0,0,0,0,0,0,0,0,0,0,0.28622,0.0558799999999999,0.12583,0.00571,0,0,0.00159,0.00894,0,0.0212,0.00479,0.00106,0.0187,0.00533,0,0.02161,0,0.00238,0.00037
"Clostridium_clostridioforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0.00283,0,0.00323,0,0,0,0,0,0,0,0,0.00109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
