"","train_18","train_19","train_20","train_21","train_22","train_23","train_24","train_25","train_26","train_27","train_28","train_29","train_30","train_31","train_32","train_33","train_34","train_35","train_36","train_37","train_38","train_39","train_40"
"Bacteroides_vulgatus",6.17006,0.40975,2.77511,5.93037,2.07133,17.31363,3.95366,5.24284,0.15165,0,0.0628,1.51277,1.52658,0.45923,1.13562,0.8281,19.64903,6.97426,0.37954,3.00112,5.59569,12.80617,12.75202
"Roseburia_faecis",0.14983,0.38708,3.02107,0.00213,0.16427,0,0.61276,0.35021,0.83245,2.15051,0.0712,0.80808,1.07235,0,0.25049,4.24098,0.63094,0,0.02732,0.26298,0,0.02976,1.81159
"Ruminococcus_gnavus",0,0,0,0,0,0,0.02125,0,0,0,0,0,0,0,0,0,12.69377,0,0,0,0,0,0
"Roseburia_intestinalis",0,0,0,0.426,1.64374,0.59217,0.04674,0,0.70759,0,0.02583,0,0.43162,0,0.00228,0.04316,0,3.36742,0,1.96271,0.00362,0,1.99661
"Blautia_wexlerae",0,0.02874,0.08642,0.18538,0.02038,0.03756,0,0.20677,0.26691,0,0.01312,0,0,0,0.00255,0,0.30112,0.05796,0,0.05459,0,0.71855,0.03822
"Eubacterium_eligens",0.45682,0.54157,0.34031,6.52359,0.95772,0,0.16343,2.05468,0.55751,1.70479,0.18879,0.9563,1.72706,0,0.59855,2.17342,4.43714,0.71088,0,1.40369,0.3053,0.0285,2.59349
"Bacteroides_thetaiotaomicron",0.92365,0.0326,1.68726,0,0,0.75843,0.03941,0.09336,0,0,3.94641,0.24921,0.28887,0.02133,0.2859,0,0.26942,0,0,0.38012,0.17778,0.33962,0.89127
"Faecalibacterium_prausnitzii",0.33211,4.08433,2.26783,8.31788,4.17748,3.0261,2.34445,9.18334,6.17977,2.72296,2.51301,12.29601,4.5713,10.746,17.81462,6.50586,3.27885,25.44127,7.55396,5.11001,19.7835,1.66364,12.86616
"Coprococcus_comes",1.22511,0.38976,1.0068,0.34037,0.23629,0.71839,0.25452,0.05771,0.16421,0.58052,0.72827,0.69996,1.90881,0,0.07614,0,0.11696,0.10862,0,0.64571,0.39146,0.38611,0.08391
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0,1.24095,0,0.17989,0,0.01718,0,0,0,0,0.00275,0.25186,0,0,0,0,0,0,0,0.19377,0,0,0
"Dialister_invisus",0,0,0,0.50859,0.38761,0,0,0,0.0772,0,0.26819,0,0,0,0,0,0,0,0,0.25147,0.35028,0,0
"Blautia_sp_CAG_257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_plautii",0.22657,0,0,0,0,0.01295,0,0.08627,0,0,0.03703,0,0.1543,0.12191,0.22875,0,0.96659,0.38848,0.78169,0.30297,0.0292,0.08462,0
"Lactococcus_lactis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",0.52802,0,0,2.42588,0.25096,0,0,0.33458,16.43501,0,0.05077,0,0.08857,1.44731,2.15799,0,6.16567,0,0,0,0.15002,0,0
"Firmicutes_bacterium_CAG_94",0,0,0,0,0.00559,0,0,0.47713,0,0,0.05219,0,0,0.42083,0,0,0.37126,0.23416,0,0.74743,0,0,0
"Turicibacter_sanguinis",0,0,0,0.02258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35316,0,0,0,0,0,0
"Fusicatenibacter_saccharivorans",0,1.93511,0.78924,0.6987,0.89484,0.24764,0.96377,2.78059,2.72304,0,0.14779,0.57113,3.69445,1.62134,1.31149,0.50563,0.60392,0.74861,0.71665,2.97414,4.86555,0.11375,1.29091
"Clostridium_disporicum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0,0.00848,0,0.01537,0,0,0,0,0,0,0,0,0,0,0.06229,0,0,0,0,0,0
"Clostridium_spiroforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0,0.26498,0.03456,0.31318,0.24768,0.19186,0,0.04893,0.26509,0,0.32628,0.23276,0,0,0.04793,0,0,0.05166,0.02973,0.1047,0.24479,0.00938,0.44992
"Streptococcus_salivarius",0,0,0,0.02848,0.12223,0.0853,0.03958,0,0,0,0.01769,0,0,0,0.09897,0,0.03327,0,0,0,4.13492,0,0
"Clostridium_clostridioforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0,0,0,0,0,0,0,0.06244,0,0.01234,0,0,0.16612,0,0,0,0,0.89543,0,0,0,0
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0.08968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00966,0,0
"Clostridium_innocuum",0,0,0,0,0,0,0,0,0,0,0.00833,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_pneumoniae",0,0,0,0,0,0,0,0,0.09042,0,0,0,0,0,0,0,0,0,0,0,0.21896,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0,0,0,0,0.00568,0.00745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruthenibacterium_lactatiformans",4.77666,3.21339,0.17021,0.03488,0.14338,0.09494,1.13525,0.4774,0.02517,0,1.36848,0,0.20118,6.21463,1.76959,0.58595,0.41858,0.35997,8.39258,0.19006,0.41038,0.07,0.04451
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_copri",0.01132,0,0,0.94237,0.01041,0.03302,0,0,0,36.50182,0.01081,24.80766,0,0,8.8863,1.51919,0.66795,0.07223,0.03708,0.00757,0.02994,0,0
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0.80809,6.47047,0.16401,0.21825,0.53654,0.5134,0.20271,0,1.68177,0.49241,1.14931,0.97359,0.35178,3.89524,4.58484,14.82671,1.21043,7.17593,13.24246,0.87612,1.85214,1.003,1.18899
"Romboutsia_ilealis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium_CHKCI006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_siraeum",0.38841,0.25404,2.80778,1.3618,3.48302,1.50001,2.41066,0.2304,5.48634,0.37749,1.29383,2.52191,0.55189,0.13749,0.07767,0,0.99057,0.26671,0,14.38046,0.31615,9.77016,3.05079
"Bacteroides_uniformis",1.09313,3.01957,0.00356,13.45852,11.72971,3.5492,33.30232,0.40914,5.20057,2.20676,15.10157,0.50481,8.16941,1.97901,3.77311,1.08753,3.05222,1.40262,0.73318,1.3658,1.10235,22.4405,5.91996
