"","train_2786","train_2787","train_2788","train_2789","train_2790","train_2791","train_2792","train_2793","train_2794","train_2797","train_2798","train_2799","train_2800","train_2801","train_2803","train_2804","train_2805","train_2806","train_2807","train_2808","train_2809","train_2810","train_2811","train_2812","train_2813","train_2815","train_2816","train_2817","train_2818","train_2819","train_2824","train_2827","train_2828","train_2829","train_2830","train_2831","train_2832","train_2834","train_2835","train_2836","train_2837","train_2838","train_2839","train_2841","train_2842","train_2845","train_2846","train_2847","train_2848","train_2849","train_2850","train_2851","train_2852","train_2853","train_2854","train_2856","train_2857","train_2858","train_2859","train_2860","train_2861","train_2862","train_2864","train_2865","train_2866","train_2867","train_2868","train_2869","train_2870","train_2871","train_2872","train_2873","train_2874","train_2875","train_2876","train_2877","train_2878","train_2888","train_2890","train_2892","train_2895","train_2917","train_2921","train_2926","train_2927","train_2936","train_2940","train_2943","train_2948","train_2954","train_2957","train_2960","train_2961","train_2963","train_2964","train_2965","train_2967","train_2969","train_2970","train_2971","train_2972"
"Bacteroides_vulgatus",0,0,0.08104,0.00087,0.00708,0.31096,0,0.01876,0,0,0,0.03519,0,0.04814,0,0,0.00551,0,1.08885,0.10204,0,0,0,0,2.31494,0,0,0,0.03664,0,0.18429,0,0,0,0,0,1.39722,0,0,0,0.00203,0,2.42603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24805,0,0,0.03736,0.01887,0,1.13114,0,0,0.62544,0,0.15975,0,0,0,0.00978,1.38292,0,0,0,0,0.3794,14.70538,0.02296,0.09455,0,0,0,0,0,0,0,0,0.3934,0.00593,0,0,0,0,0,0
"Roseburia_faecis",1.39946,2.35266,0.99906,1.96898,0.70208,0.02399,0.5384,0.01233,0.02822,0.11556,0.8427,0.07622,0.26153,0.07442,0.32787,0.97183,2.72426,0.01828,0.07602,1.57154,1.5731,2.09757,0.3178,0,0,4.00839,0.25446,1.2924,0.11522,1.203,0.24199,0,1.82096,0,0.07377,0.16468,0.65435,4.17591,1.41679,0.03912,0.31226,3.16897,0.47586,2.2961,0.2009,0,0,0,3.42242,0.64955,5.00664,0.69662,0.99048,0,0,0.17137,4.59714,0,0.09982,0,0.20087,0,1.43486,2.3286,8.02539,0.33345,0.53739,0.39924,0.62434,0.06847,0.26115,1.07896,0.0204,0,0,1.29545,0,1.21655,2.85859,0.33728,0,4.61007,2.42756,1.86512,1.93678,0.028,0.1094,2.1413,10.9741,0.11544,0.0657,10.48484,5.46752,2.4774,0.71824,0,0.71403,0.57566,0.13506,0,0
"Ruminococcus_gnavus",0,0,0,0,0.00489,0,0,0,0,0,0,0,0,0,0,0,0,0.01614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41953,0,0,0,0,0,0,1.67458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07481,0,0,0.01705,0,0,0,0.04806,0,0,0,0,0,0,0,0,0,0,0,1.76539,0,0,0,0,0,0,0,0,0,0,1.72565,0,0,0,0,0,0,0
"Roseburia_intestinalis",0.00382,0,0.01,5e-04,0.00148,0,0.01031,0.0032,0.00602,0.00842,0,0.01015,0,0.00449,0.00281,0,0.08712,0.13506,0.00882,0,0.3927,0.35411,0.02321,0,0,0,0,0,0,0.0264,0.07748,0.12333,0.09249,0.01055,0.05238,0,0.063,0.07786,0,0,0,0.01733,0,0.06186,0.40084,0.14776,0,0,0.53648,0.01433,0,0,0.01704,0.00546,0,0,0,0,0,0.03728,0.18265,0.06818,0,0,0.01213,0.06863,0,0,0,0,0.21347,0.14648,0.10209,0,0,0,0,0,0.04188,0,0.06884,0.05218,0.1902,0,0.03616,0,0.28264,0.02138,0.04211,0.68362,0.37168,0,0,0.02833,0.03876,0,0.40489,0.3125,0.0236,0.08257,0
"Blautia_wexlerae",1.06974,0.14248,0.38056,0.15025,0.12702,0.06791,0.18484,0.61466,0.75636,3.3934,0.32282,3.7916,0.33731,0.52726,0.71965,0.93987,0.20649,0.42865,0.08209,0.01978,0,0,0.04289,0.03169,0,0.20056,0.00113,0.14039,0,0.04304,0.016,0,0.01972,0.09585,0,0,0.02113,0,0,0.05399,0,0,0,0,0.04753,0,0,0,0,0,0.0686,0.08963,0.05073,0.01019,0.05165,0.16081,0,0,0.06812,0.01217,0,0.0434,0.00506,0,0.11268,0.05561,0.10326,0.10153,0.09268,0,0,0,0,0,0,0.02734,0,0.24144,0.0482,0,0.0023,0.07845,0.11038,0,0.01162,0.02635,0,0.05358,0,0.12135,0,0,0.09732,0,0.2976,0,0.26405,0.09394,0,0.09998,0.15999
"Eubacterium_eligens",0.43441,0.85406,3.48283,4.04168,0.43213,0.2489,3.65629,3.49329,0.35732,0.07308,0.10018,0.34283,0.83226,0.92183,1.68928,0.11701,0.80106,0.09511,3.5534,0.13502,0.88798,1.45707,0.84667,0.55226,0,2.28891,0.82951,1.82485,0.48354,1.13837,0.03913,4.8758,1.90883,0.08407,1.3662,1.36856,0.98234,1.01756,0,0.27132,0.24552,0.29234,0.76334,3.31745,0.68333,5.26914,1.22884,0.06659,0.4648,1.44238,0.89513,1.019,2.01813,8.00903,6.68587,0.44813,0.39458,0,1.34202,1.57472,1.80765,3.09895,0,0.70701,0.59538,3.30864,3.60049,0.19514,0.0149,15.33454,11.94026,2.99404,0.30859,0.16575,5.6161,1.18519,0,1.66066,0.39427,0.13342,2.91185,6.73627,2.77383,2.51262,3.32768,6.66476,0.57511,1.60128,0.63845,2.17892,0.41884,0.138,1.6574,2.98429,1.6873,5.81543,0.71814,0.36012,3.5795,0.4015,0.03679
"Bacteroides_thetaiotaomicron",0,0,0.01849,0.00087,0,0.68436,0,0,0.00139,0,0,0,0.00124,0,0,0,0,0.01164,0.3504,0,0,0.04847,0,0,0.1383,0,0,0,0,0,0,0,0,0,0,0.05539,0.25639,0,0,0,0,0,0,0.55017,0,0,0,0,0,0,0,0,0,0.03901,0,0,0,0,0,0.01988,0.03816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2761,3.73457,0,0,0,0,0,0.67751,0,0.0955,0,0,0,0,0,0,0,0,0,0
"Faecalibacterium_prausnitzii",0.86969,4.04663,0.77696,8.28313,0.60402,0.35195,7.91992,0.50602,0.75661,0.69045,1.48461,0.41314,2.68062,1.18081,13.76793,4.16879,4.43171,6.88767,1.86069,3.16783,2.9449,1.56377,2.88428,2.35724,0.51457,5.08052,2.4996,4.20641,4.43764,1.37134,1.69438,2.02849,1.25995,1.48943,1.39492,3.95708,1.90364,0.90822,4.36646,4.25944,1.641,0.79124,1.4115,3.90257,2.52807,0.52218,2.80718,1.48697,1.69954,2.98879,1.14145,2.92447,2.17311,1.93968,3.70589,4.7557,1.45167,0.43903,2.45588,1.89028,2.79466,7.35634,0.23741,5.88144,2.38251,3.44512,3.2319,5.0901,3.15673,6.10034,3.94721,2.74803,3.20985,1.8395,2.98732,5.64664,1.28279,3.68393,3.09705,6.10266,2.31287,1.25086,3.12726,1.02604,7.41433,5.78959,3.98334,2.3951,2.7991,3.1002,4.04407,4.95012,2.76194,2.60093,2.92987,6.17024,2.45086,1.37108,8.0989,14.34549,2.99667
"Coprococcus_comes",0.61644,0.14801,1.43975,0.13465,0.16107,1.71461,0.14118,1.31353,0.66718,0.7891,0.07541,2.75864,0.89907,0.68404,0.43759,0.79843,0.34366,0.49991,0.10183,0,0.08433,0,0.06102,0,0,0.15148,0,0,0.12929,0.07982,0.13849,0,0.11169,0.00509,0.04535,0.85467,0.11926,0.05836,0,2.72605,0.01772,0.00476,0.00443,0.36244,0.0764,0.05808,1.28118,0.09492,0.04355,0.41375,0.26495,0.10164,0.17057,0.02267,0.19305,0,1.12467,0.22843,0.09853,0.01733,0.11254,0.2604,0.16169,0,0.22817,0.58036,0.01038,0.15587,0.52833,0.84594,0.04972,0.03567,0,0.26659,0.20414,0.90082,0,0,0,0.25916,0,0.23287,0.30138,0,0.02919,0.2292,0.05089,0.03607,0.23603,0.02607,0,0,0.2041,3.27544,0,0,0,0,0.01924,0,0
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
