"","train_474","train_475","train_476","train_477","train_478","train_479","train_480","train_481","train_482"
"Bacteroides_vulgatus",0,18.02462,20.89082,0,12.63901,20.0318,13.03969,10.02265,7.51206
"Roseburia_faecis",0,0.02342,0.04181,0,3.23573,2.86189,3.13166,4.31,5.21276
"Ruminococcus_gnavus",0,0.38465,0.0815299999999999,0,0.26533,0.06711,0.24252,0.02434,0.03057
"Roseburia_intestinalis",0,0.1044,0.039,0,0.52838,0.68184,0.50111,0.55251,0.21005
"Blautia_wexlerae",0,0.82938,0.78937,0,0.42438,0.36074,0.34409,0.42288,0.73513
"Eubacterium_eligens",0,0.3212,0.56519,0,2.83768,4.20222,3.00192,1.22721,2.41835
"Bacteroides_thetaiotaomicron",0,0.32259,1.00523,0,0.36053,0.25096,0.36042,0.18354,0.03142
"Faecalibacterium_prausnitzii",0,3.35912,1.74413,0,5.05529,6.29299,5.08409,5.27842,5.68952
"Coprococcus_comes",0,0.10059,0.31745,0,0.25025,0.17182,0.23332,0.19294,0.31003
"Ruminococcaceae_bacterium_D16",0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0,0,0,0,0.00094,0,0.0021899999999999,0.01009,0
"Dialister_invisus",0,0,0,0,0,0,0,0,0
"Blautia_sp_CAG_257",0,0,0,0,0.00266,0.0036,0.00176,0,0
"Flavonifractor_plautii",0,0.03173,0.11355,0,0.06269,0.0641,0.06506,0.06986,0.08598
"Lactococcus_lactis",0,0,0,0,0,0.02205,0,0,0
"Escherichia_coli",0,0,0,0,0.24389,0.00221,0.21882,0,0
"Firmicutes_bacterium_CAG_94",0,0,0,0,0,0.00186,0,0,0
"Turicibacter_sanguinis",0,0,0,0,0.00788,0.0084599999999999,0.0072099999999999,0,0
"Erysipelatoclostridium_ramosum",0,0,0,0,0.0057399999999999,0,0.00882,0,0
"Fusicatenibacter_saccharivorans",0,0.14131,0.19881,0,1.89389,1.48628,1.8425,2.30612,3.5134
"Clostridium_disporicum",0,0,0,0,0.00218,0,0.00422,0,0
"Actinomyces_sp_ICM47",0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_646",0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0,0,0,0,0.00332,0.00549,0.0033,0.00725,0.03088
"Clostridium_spiroforme",0,0,0.00078,0,0.07039,0.02241,0.08881,0.01,0
"Clostridium_saccharolyticum",0,0,0,0,0,0,0,0,0
"Dorea_formicigenerans",0,0.08319,0.3548,0,0.30074,0.34954,0.2931,0.45998,0.29714
"Streptococcus_salivarius",0,0.10857,0,0,0.0018,0,0.00172,0,0
"Clostridium_clostridioforme",0,0,0,0,0,0,0,0,0
"Clostridium_celatum",0,0,0,0,0,0,0,0,0
"Streptococcus_pasteurianus",0,0,0,0,0,0,0,0,0
"Eggerthella_lenta",0,0.09245,0.03331,0,0.07912,0.04042,0.0959,0.00664,0.00985
"Dorea_sp_CAG_317",0,0,0,0,0,0,0,0,0
"Propionibacterium_freudenreichii",0,0,0,0,0.00214,0,0.0042299999999999,0,0
"Clostridium_innocuum",0,0.01066,0.00321,0,0.02326,0.00249,0.02454,0,0
"Actinomyces_sp_oral_taxon_181",0,0,0,0,0,0,0,0,0
"Streptococcus_oralis",0,0,0,0,0,0,0,0,0
"Klebsiella_pneumoniae",0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HPA0247",0,0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An118",0,0,0,0,0,0,0,0,0
"Streptococcus_mitis",0,0,0,0,0,0,0,0,0
"Ruthenibacterium_lactatiformans",0,0.09422,0.12057,0,0.07979,0.04426,0.08284,0.02286,0.08146
"Atopobium_parvulum",0,0,0,0,0,0,0,0,0
"Prevotella_copri",0,0,0,0,0,0,0,0,0
"Actinomyces_sp_S6_Spd3",0,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0,1.42922,3.07315,0,0.77057,1.30808,0.80786,1.26509,2.06529
"Romboutsia_ilealis",0,0,0.0131,0,0.00557,5e-04,0.0053,0,0
